Transcription-Units	Genes of transcription unit	Direction
TU8J2-100	BSU27370	-
TU8J2-489	BSU31460 // BSU31450	+
TU8J2-1225	BSU35270 // BSU35280	-
TU8J2-821	BSU16650 // BSU16640 // BSU16630 // BSU16620 // BSU16610 // BSU16600 // BSU16590	+
TU8J2-1560	BSU35050	+
TU8J2-474	BSU31960 // BSU31970 // BSU31980 // BSU31990 // BSU32000	-
TU8J2-1210	BSU00140 // BSU00150	-
TU8J2-807	BSU17580 // BSU17570	+
TU8J2-1546	BSU33400	-
TU8J2-46	BSU33540	-
TU8J2-1197	BSU00450	+
TU8J2-793	BSU17980 // BSU17990	-
TU8J2-1531	BSU32120	-
TU8J2-445	BSU33960	-
TU8J2-1182	BSU01070	+
TU8J2-778	BSU18630	-
TU8J2-1517	BSU30340	+
TU8J2-430	BSU35320 // BSU35330 // BSU35340 // BSU35350	-
TU8J2-763	BSU19360 // BSU19370	-
TU8J2-1502	BSU27290	+
TU8J2-998	BSU08090 // BSU08080 // BSU08070 // BSU08060	+
TU8J2-416	BSU35820 // BSU35810 // BSU35800	+
TU8J2-749	BSU21830	-
TU8J2-1489	BSU25569	+
TU8J2-332	BSU37930 // BSU37940 // BSU37950	-
TU8J2-401	BSU36140	-
TU8J2-734	BSU22090 // BSU22100 // BSU22110 // BSU22120	-
TU8J2-1474	BSU23350	+
TU8J2-317	BSU38260 // BSU38270 // BSU38280	-
TU8J2-388	BSU36520 // BSU36510	+
TU8J2-72	BSU37620	+
TU8J2-146	BSU13800	+
TU8J2-3039	G8J2-182 // G8J2-181	-
TU8J2-373	BSU36760	-
TU8J2-705	BSU23570 // BSU23580	-
TU8J2-1447	BSU19259	+
TU8J2-3024	BSU33070 // BSU33060 // BSU33050	+
TU8J2-359	BSU37150	-
TU8J2-690	BSU23860 // BSU23870	-
TU8J2-1432	BSU18380	+
TU8J2-3007	BSU16520 // BSU16510 // BSU16500 // BSU16490	+
TU8J2-344	BSU37570	-
TU8J2-676	BSU24330 // BSU24340 // BSU24350	-
TU8J2-1418	BSU14650	-
TU8J2-299	BSU38710	+
TU8J2-1173	BSU01820 // BSU01810	+
TU8J2-661	BSU25200 // BSU25210 // BSU25230	-
TU8J2-1403	BSU13370	-
TU8J2-994	BSU08240 // BSU08230	+
TU8J2-2964	BSU04230	+
TU8J2-1159	BSU02380	+
TU8J2-647	BSU25770	-
TU8J2-139	BSU23700 // BSU23710	-
TU8J2-98	BSU12840 // BSU12850	-
TU8J2-295	BSU38780	+
TU8J2-1144	BSU02780	-
TU8J2-632	BSU27580	+
TU8J2-1375	BSU10440	+
TU8J2-965	BSU08810	+
TU8J2-283	BSU38960	+
TU8J2-113	BSU19490	+
TU8J2-618	BSU27990 // BSU28000 // BSU28010 // BSU28020 // BSU28030	-
TU8J2-1360	BSU08800	-
TU8J2-950	BSU09400	+
TU8J2-269	BSU39330	-
TU8J2-1115	BSU03470	+
TU8J2-603	BSU28350	-
TU8J2-1346	BSU05750	+
TU8J2-936	BSU09840	+
TU8J2-254	BSU39810	+
TU8J2-1100	BSU03910 // BSU03900	+
TU8J2-59	BSU22800	-
TU8J2-1331	BSU05040	-
TU8J2-919	BSU10470	-
TU8J2-237	BSU40110 // BSU40120	-
TU8J2-1084	BSU04340	+
TU8J2-572	BSU29120 // BSU29130 // BSU29140	-
TU8J2-1314	BSU00080	-
TU8J2-904	BSU11570	-
TU8J2-222	BSU40480 // BSU40470	+
TU8J2-107	BSU22260	+
TU8J2-558	BSU29480	-
TU8J2-130	BSU28630 // BSU28640	-
TU8J2-890	BSU12440 // BSU12430	+
TU8J2-208	BSU40820	+
TU8J2-1055	BSU06130	+
TU8J2-543	BSU29720 // BSU29730 // BSU29740	-
TU8J2-1286	BSU09720 // BSU09710	+
TU8J2-876	BSU13330 // BSU13320	+
TU8J2-193	BSU10950 // BSU10940	+
TU8J2-1040	BSU06660	-
TU8J2-529	BSU30250	-
TU8J2-1271	BSU34690 // BSU34700 // BSU34710 // BSU34720	-
TU8J2-861	BSU13990	+
TU8J2-179	BSU33540	-
TU8J2-1026	BSU07430	+
TU8J2-514	BSU30740 // BSU30750 // BSU30760 // BSU30770	-
TU8J2-1257	BSU36230 // BSU36240 // BSU36250 // BSU36260	-
TU8J2-847	BSU14740 // BSU14730 // BSU14720 // BSU14710	+
TU8J2-164	BSU33640	+
TU8J2-1011	BSU07830	+
TU8J2-50	BSU38630	+
TU8J2-1242	BSU23240 // BSU23250 // BSU23260 // BSU23270 // BSU23280	-
TU8J2-832	BSU15630 // BSU15620 // BSU15610 // BSU15600 // BSU15590 // BSU15580 // BSU15570	+
TU8J2-1572	BSU38360	-
TU8J2-486	BSU31540	+
TU8J2-1222	BSU14071 // BSU14060	+
TU8J2-819	BSU16720	+
TU8J2-1558	BSU34729	+
TU8J2-471	BSU32130	+
TU8J2-1208	BSU_misc_RNA_2 // BSU00180	+
TU8J2-804	BSU17700	-
TU8J2-1543	BSU33030	+
TU8J2-457	BSU33070 // BSU33060 // BSU33050	+
TU8J2-1194	BSU00520 // BSU00510 // BSU00500	+
TU8J2-790	BSU18030 // BSU18020	+
TU8J2-1529	BSU32060	+
TU8J2-442	BSU34210	+
TU8J2-118	BSU18420	-
TU8J2-775	BSU18780	-
TU8J2-1514	BSU29970	+
TU8J2-428	BSU35380 // BSU35370	-
TU8J2-760	BSU19790 // BSU19780	+
TU8J2-150	BSU06630 // BSU06620 // BSU06610 // BSU06600	+
TU8J2-995	BSU08200 // BSU08190 // BSU08180	+
TU8J2-413	BSU35860	-
TU8J2-746	BSU21870	-
TU8J2-1486	G8J2-9	+
TU8J2-33	BSU_tRNA_44 // BSU_tRNA_43 // BSU_tRNA_42 // BSU_tRNA_41 // BSU_tRNA_40 // BSU_tRNA_39 // BSU_tRNA_38 // BSU_tRNA_37 // BSU_tRNA_36 // BSU_tRNA_35 // BSU_tRNA_34 // BSU_tRNA_33 // BSU_tRNA_32 // BSU_tRNA_31 // BSU_tRNA_30 // BSU_tRNA_29 // BSU_rRNA_18 // BSU_rRNA_17 // BSU_rRNA_22	+
TU8J2-4	BSU25290 // BSU25300	-
TU8J2-731	BSU22290	+
TU8J2-1471	BSU22869	+
TU8J2-314	BSU38380	-
TU8J2-385	BSU36550	-
TU8J2-717	BSU23110 // BSU23120 // BSU23130 // BSU23140 // BSU23150	-
TU8J2-1457	BSU19840	+
TU8J2-3036	BSU04990 // BSU04980 // BSU04970 // BSU04960 // BSU04950 // BSU04940 // BSU04930 // BSU04920 // BSU04910 // BSU04900 // BSU04890 // BSU04880 // BSU04870 // BSU04860 // BSU04850 // G8J2-173 // BSU04840 // BSU04839 // BSU04830	+
TU8J2-370	BSU36900	-
TU8J2-702	BSU23630	-
TU8J2-1444	BSU18900	-
TU8J2-302	BSU38610 // BSU38620	-
TU8J2-356	BSU37220	-
TU8J2-688	BSU23990	-
TU8J2-143	BSU18960	+
TU8J2-3004	BSU39400 // BSU39410 // BSU39420	-
TU8J2-673	BSU24550 // BSU24560 // BSU24570	-
TU8J2-1415	BSU14620	-
TU8J2-2984	BSU05470	-
TU8J2-1170	BSU02010	+
TU8J2-659	BSU25290 // BSU25300	-
TU8J2-1400	BSU13200	+
TU8J2-991	BSU08300 // BSU08290	+
TU8J2-2961	G8J2-159	-
TU8J2-1156	BSU02560 // BSU02550	+
TU8J2-644	BSU26560	-
TU8J2-1387	BSU11630	-
TU8J2-977	BSU08530 // BSU08520	+
TU8J2-2947	BSU01770 // BSU01760 // BSU01750	+
TU8J2-1141	BSU02870 // BSU02860 // BSU02850	+
TU8J2-63	BSU10610	-
TU8J2-1372	BSU09965	-
TU8J2-962	BSU08970	+
TU8J2-280	BSU39020	+
TU8J2-1127	BSU03150	+
TU8J2-615	BSU28080 // BSU28090	-
TU8J2-1358	BSU08770	+
TU8J2-948	BSU09420	+
TU8J2-266	BSU39440 // BSU39450	-
TU8J2-1112	BSU03540 // BSU03550	-
TU8J2-600	BSU28430 // BSU28440 // BSU28450	-
TU8J2-1343	BSU05390	+
TU8J2-933	BSU10100	-
TU8J2-251	BSU39850	-
TU8J2-1099	BSU03930 // BSU03920	+
TU8J2-587	BSU28700	-
TU8J2-1329	BSU04240	-
TU8J2-584	BSU28830	+
TU8J2-1326	BSU03690	-
TU8J2-916	BSU10630 // BSU10620	+
TU8J2-234	BSU40190	+
TU8J2-1081	BSU04390	+
TU8J2-57	BSU38540 // BSU38530 // BSU38520 // BSU38510 // BSU38500	+
TU8J2-1311	BSU06839	+
TU8J2-901	BSU11740 // BSU11750	-
TU8J2-22	BSU11310 // BSU11300	+
TU8J2-1067	BSU05450	-
TU8J2-555	BSU29520 // BSU29530	-
TU8J2-1298	BSU03359 // BSU03360	+
TU8J2-888	BSU12539 // BSU12550 // BSU12540 // BSU12530 // BSU12520	+
TU8J2-205	BSU40940	-
TU8J2-1052	BSU06210 // BSU06200 // BSU06190 // BSU06180	+
TU8J2-1091	BSU04040	+
TU8J2-540	BSU29790	-
TU8J2-58	BSU17030	+
TU8J2-1283	BSU_misc_RNA_55 // BSU33600	-
TU8J2-1321	BSU02880	-
TU8J2-873	BSU13640	+
TU8J2-911	BSU11260	+
TU8J2-190	BSU19610 // BSU19600	+
TU8J2-23	BSU03130	+
TU8J2-1038	BSU06880 // BSU06870	+
TU8J2-1077	G8J2-18 // BSU04530	-
TU8J2-526	BSU30350	-
TU8J2-565	BSU29250	-
TU8J2-1269	BSU33250 // BSU33240	+
TU8J2-1307	BSU27150 // BSU27140 // BSU27130 // BSU27120	+
TU8J2-859	BSU14020	-
TU8J2-898	BSU11950 // BSU11940	+
TU8J2-176	BSU02420 // BSU02430	-
TU8J2-215	BSU40630 // BSU40640	-
TU8J2-1023	BSU07480	+
TU8J2-1062	BSU05710	+
TU8J2-511	BSU30880	+
TU8J2-550	BSU29630	-
TU8J2-1254	BSU22490 // BSU22500 // BSU22440 // BSU22450 // BSU22460 // BSU22470 // BSU22480	-
TU8J2-1293	BSU38020	+
TU8J2-844	BSU14870	-
TU8J2-883	BSU13010 // BSU13020	-
TU8J2-161	BSU21440 // BSU21450 // BSU21460 // BSU21470 // BSU21480	-
TU8J2-200	BSU41030 // BSU41040	-
TU8J2-1009	BSU07900 // BSU07890 // BSU07880	+
TU8J2-1048	BSU06250	+
TU8J2-498	BSU31300	-
TU8J2-536	BSU29980	-
TU8J2-124	BSU26050	+
TU8J2-1279	BSU13300	+
TU8J2-83	BSU14480	+
TU8J2-869	BSU13710	+
TU8J2-157	BSU11130	+
TU8J2-186	BSU13580	+
TU8J2-483	BSU31670 // BSU31680	-
TU8J2-1033	BSU07330	-
TU8J2-122	BSU27500 // BSU27510 // BSU27520	-
TU8J2-521	BSU30530 // BSU30540	-
TU8J2-816	BSU16950	+
TU8J2-1264	BSU_tRNA_20 // BSU_tRNA_19 // BSU_tRNA_18 // BSU_tRNA_17 // BSU_tRNA_16 // BSU_tRNA_15 // BSU_tRNA_14 // BSU_tRNA_13 // BSU_tRNA_12 // BSU_rRNA_8 // BSU_rRNA_7 // BSU_rRNA_6	+
TU8J2-1555	BSU34530	+
TU8J2-854	BSU14250	-
TU8J2-469	BSU32410	-
TU8J2-171	BSU04520	+
TU8J2-1205	BSU00240	+
TU8J2-1019	BSU07570	+
TU8J2-801	BSU17850	-
TU8J2-507	BSU30940 // BSU30950 // BSU30960 // BSU30970 // BSU30980	-
TU8J2-1540	BSU32849	+
TU8J2-125	BSU17820	+
TU8J2-454	BSU33200	-
TU8J2-84	BSU16950	+
TU8J2-1191	BSU_tRNA_11	+
TU8J2-158	BSU25240 // BSU25250	-
TU8J2-787	BSU18239 // BSU18210 // BSU18220 // BSU18230 // BSU18240 // BSU18250 // BSU18260	-
TU8J2-1004	BSU07980	+
TU8J2-1526	BSU31590	-
TU8J2-493	BSU31390	-
TU8J2-44	BSU30630	-
TU8J2-1234	BSU04740 // BSU04730 // BSU04720 // BSU04710	+
TU8J2-1177	BSU01640	-
TU8J2-825	BSU16110	+
TU8J2-772	BSU18980	-
TU8J2-1565	BSU36350	+
TU8J2-1511	BSU29860	-
TU8J2-479	BSU31730	+
TU8J2-425	BSU35490 // BSU35500	-
TU8J2-1215	BSU00060 // BSU00050 // BSU00040 // BSU00030	+
TU8J2-758	BSU19850	-
TU8J2-811	BSU17410	-
TU8J2-1498	BSU26890	-
TU8J2-1550	BSU33850	-
TU8J2-341	BSU37640	-
TU8J2-464	BSU32650 // BSU32640	+
TU8J2-410	BSU35970	+
TU8J2-1200	BSU00420 // BSU00410	+
TU8J2-743	BSU21940	-
TU8J2-798	BSU17910 // BSU17900	+
TU8J2-1483	BSU25090	+
TU8J2-1536	BSU32320	+
TU8J2-326	BSU38070	-
TU8J2-45	BSU29610	-
TU8J2-397	BSU36300 // BSU36310	-
TU8J2-1187	BSU00820 // BSU00810 // BSU00800 // BSU00790 // BSU00780 // BSU00770 // BSU00760 // BSU00750 // BSU00740	+
TU8J2-729	BSU22520	-
TU8J2-782	BSU18580	+
TU8J2-1469	BSU22300	-
TU8J2-1521	BSU30850	-
TU8J2-311	BSU38430	-
TU8J2-435	BSU35100 // BSU35110 // BSU35120 // BSU35130	-
TU8J2-382	BSU36620	-
TU8J2-768	BSU19200 // BSU19190	+
TU8J2-714	BSU23230	+
TU8J2-1507	BSU29260	+
TU8J2-1456	BSU19669	+
TU8J2-420	BSU35720 // BSU35730 // BSU35740	-
TU8J2-3033	BSU12890 // BSU12880	+
TU8J2-753	BSU21720	-
TU8J2-368	BSU36960	-
TU8J2-1493	BSU26230	+
TU8J2-7	BSU34540	+
TU8J2-337	BSU37750	-
TU8J2-1441	BSU18850	+
TU8J2-406	BSU36050	-
TU8J2-3017	BSU14460 // BSU14470	-
TU8J2-739	BSU22010	-
TU8J2-353	BSU37290	-
TU8J2-1479	BSU24800	+
TU8J2-685	BSU24100	-
TU8J2-321	BSU38150 // BSU38160 // BSU38170 // BSU38140	-
TU8J2-1427	BSU17670	-
TU8J2-392	BSU36450	+
TU8J2-3001	BSU27020 // BSU27010	+
TU8J2-724	BSU22800	-
TU8J2-670	BSU24650	+
TU8J2-1464	BSU20580	+
TU8J2-1412	BSU14210	-
TU8J2-307	BSU38490	-
TU8J2-298	BSU38720	-
TU8J2-378	BSU36700	-
TU8J2-1168	BSU02060	+
TU8J2-71	BSU25540	-
TU8J2-656	BSU25430 // BSU25440 // BSU25450 // BSU25460 // BSU25470 // BSU25480 // BSU25490 // BSU25500 // BSU25510	-
TU8J2-1451	BSU19530	+
TU8J2-1399	BSU13050	-
TU8J2-3029	BSU22370 // BSU22380 // BSU22390	-
TU8J2-989	BSU08350	+
TU8J2-363	BSU37090	-
TU8J2-2959	BSU35490	-
TU8J2-695	BSU23810	-
TU8J2-1153	BSU02620	+
TU8J2-1437	BSU18760	-
TU8J2-641	BSU26680 // BSU26690 // BSU26700 // BSU26710 // BSU26720	-
TU8J2-3011	BSU04110	+
TU8J2-1384	BSU11110	-
TU8J2-349	BSU37470 // BSU37460	+
TU8J2-974	BSU08590 // BSU08580 // BSU08570	+
TU8J2-680	BSU24230	-
TU8J2-292	BSU38810 // BSU38820	-
TU8J2-1422	BSU15100	-
TU8J2-1139	BSU02970	-
TU8J2-2998	BSU28900 // BSU28910	-
TU8J2-627	BSU27750 // BSU27760	-
TU8J2-666	BSU24770	-
TU8J2-137	BSU27730 // BSU27740	-
TU8J2-1408	BSU13760	-
TU8J2-96	BSU35520 // BSU35510	+
TU8J2-2970	BSU19460 // BSU19470 // BSU19479	-
TU8J2-278	BSU39060	+
TU8J2-1163	BSU02120	+
TU8J2-1124	BSU03280 // BSU03290 // BSU03300 // BSU03310 // BSU03320	-
TU8J2-651	BSU25690	+
TU8J2-612	BSU28180	+
TU8J2-1394	BSU12229	-
TU8J2-1355	BSU07230	+
TU8J2-984	BSU08410	-
TU8J2-945	BSU09450	+
TU8J2-2954	BSU31322 // BSU31321	+
TU8J2-263	BSU39550 // BSU39560 // BSU39570	-
TU8J2-1149	BSU02700	+
TU8J2-111	BSU05500 // BSU05490 // BSU05480	+
TU8J2-637	BSU27160 // BSU27170	-
TU8J2-599	BSU28460	+
TU8J2-138	BSU24750	+
TU8J2-1340	BSU05360	-
TU8J2-97	BSU15420	+
TU8J2-930	BSU10280	-
TU8J2-288	BSU38860	-
TU8J2-249	BSU39870 // BSU39880	-
TU8J2-1134	BSU03040	+
TU8J2-1096	BSU03982 // BSU03990 // BSU03981	+
TU8J2-622	BSU27900 // BSU27910	-
TU8J2-581	BSU28900	-
TU8J2-1365	BSU09360	+
TU8J2-1323	BSU03160	-
TU8J2-955	BSU09270 // BSU09260	+
TU8J2-913	BSU10900	+
TU8J2-273	BSU39240	-
TU8J2-231	BSU40260 // BSU40270 // BSU40280	-
TU8J2-112	BSU30390 // BSU30400	-
TU8J2-1079	BSU04430 // BSU04440	-
TU8J2-608	BSU28230	-
TU8J2-567	BSU29220	-
TU8J2-1350	BSU06559	-
TU8J2-1309	G8J2-14	-
TU8J2-940	BSU09690	-
TU8J2-9	BSU33020 // BSU33010	+
TU8J2-259	BSU39610	+
TU8J2-217	BSU40560	-
TU8J2-1105	BSU03830 // BSU03820 // BSU03810 // BSU03800	+
TU8J2-1064	BSU05540	+
TU8J2-594	BSU28570	-
TU8J2-552	BSU29600	+
TU8J2-1336	BSU05280	+
TU8J2-1295	BSU37160	-
TU8J2-926	BSU10380	-
TU8J2-885	BSU12910	+
TU8J2-244	BSU39990	-
TU8J2-202	BSU40980	+
TU8J2-1089	BSU04120	+
TU8J2-105	BSU03210 // BSU03200	+
TU8J2-577	BSU28960	-
TU8J2-538	BSU29900	-
TU8J2-1319	BSU02720	+
TU8J2-1280	BSU28050	-
TU8J2-909	BSU11470 // BSU11460 // BSU11450 // BSU11440 // BSU11430	+
TU8J2-870	BSU13700	-
TU8J2-227	BSU40350	+
TU8J2-188	BSU30620 // BSU30610 // BSU30595	+
TU8J2-1074	BSU04600 // BSU04590	+
TU8J2-1035	BSU07310 // BSU07300 // BSU07290 // BSU07280 // BSU07270	+
TU8J2-562	BSU29400	+
TU8J2-523	G8J2-13 // BSU30410 // BSU30420 // BSU30430 // BSU30440 // BSU30450 // BSU30460	-
TU8J2-1304	BSU28850 // BSU28860 // BSU28870	-
TU8J2-1266	BSU00540	+
TU8J2-895	BSU12110	-
TU8J2-856	BSU14170 // BSU14160 // BSU14150	+
TU8J2-212	BSU40690 // BSU40680 // BSU40670	+
TU8J2-173	BSU09130	+
TU8J2-106	BSU32760 // BSU32770	-
TU8J2-1020	BSU07560	+
TU8J2-548	BSU29650	-
TU8J2-509	BSU30920	+
TU8J2-1290	G8J2-7 // BSU09958	+
TU8J2-1251	BSU11800 // BSU11809 // BSU11799	+
TU8J2-880	BSU13150	-
TU8J2-841	BSU15030	-
TU8J2-198	BSU37810 // BSU37820 // BSU37830 // BSU37840 // BSU37850 // BSU37860 // BSU37870 // BSU37880 // BSU37890 // BSU37900 // BSU37910	-
TU8J2-159	BSU33222 // BSU33230	-
TU8J2-1045	BSU06310	-
TU8J2-1006	BSU07940 // BSU07955	-
TU8J2-533	BSU30070	+
TU8J2-495	BSU31370	-
TU8J2-1276	BSU15340	+
TU8J2-1237	BSU02540 // BSU02530	+
TU8J2-866	BSU13840 // BSU13830	+
TU8J2-827	BSU16000 // BSU15990	+
TU8J2-183	BSU13570	-
TU8J2-1567	BSU36610	+
TU8J2-1030	BSU07370	+
TU8J2-480	BSU31720	-
TU8J2-519	BSU30560	+
TU8J2-1217	BSU02230	+
TU8J2-1261	BSU_misc_RNA_32 // BSU19230	-
TU8J2-813	BSU17050 // BSU17040	+
TU8J2-851	BSU14410	+
TU8J2-1552	BSU33890	+
TU8J2-169	BSU15650	+
TU8J2-466	BSU32520 // BSU32530	-
TU8J2-1016	BSU07640	-
TU8J2-1202	BSU00380	+
TU8J2-504	BSU31170	+
TU8J2-8	BSU35180	-
TU8J2-1247	BSU40890 // BSU40900 // BSU40910	-
TU8J2-1538	BSU32340	+
TU8J2-837	BSU15170	+
TU8J2-451	BSU33340	-
TU8J2-1577	BSU33490	-
TU8J2-1189	BSU00690	+
TU8J2-1001	BSU08020 // BSU08010	+
TU8J2-784	BSU18460	+
TU8J2-490	BSU31440	+
TU8J2-1523	BSU31140	+
TU8J2-123	BSU37030	+
TU8J2-437	BSU34520	-
TU8J2-823	BSU16170 // BSU16160 // BSU16150 // BSU16140	+
TU8J2-77	BSU28660	+
TU8J2-1562	BSU35660	-
TU8J2-1509	BSU29620	+
TU8J2-476	BSU31920	+
TU8J2-422	BSU35650	+
TU8J2-1212	BSU00090	+
TU8J2-755	BSU21700	+
TU8J2-809	BSU17460 // BSU17450	+
TU8J2-1495	BSU26630	+
TU8J2-1548	BSU33650	-
TU8J2-339	BSU37660	-
TU8J2-461	BSU35240	-
TU8J2-408	BSU36000 // BSU36010	-
TU8J2-1199	BSU00430	+
TU8J2-740	BSU22000	+
TU8J2-795	BSU17960	-
TU8J2-1480	BSU25040	+
TU8J2-1533	BSU32210	-
TU8J2-323	BSU38120	-
TU8J2-447	BSU33700 // BSU33710 // BSU33720 // BSU33730	-
TU8J2-394	BSU36380	+
TU8J2-1184	BSU00970 // BSU00960 // BSU00950 // BSU00940 // BSU00930 // BSU00920	+
TU8J2-726	BSU22770 // BSU22780	-
TU8J2-78	BSU09420	+
TU8J2-1466	BSU21080	-
TU8J2-1519	BSU30659	+
TU8J2-309	BSU38470	+
TU8J2-432	BSU35180	-
TU8J2-38	BSU24220	-
TU8J2-765	BSU19240	-
TU8J2-711	BSU23360	-
TU8J2-1504	BSU27680	-
TU8J2-1453	BSU19550	+
TU8J2-418	BSU35770	+
TU8J2-3030	BSU24020 // BSU24010	+
TU8J2-750	BSU21800	-
TU8J2-365	BSU37040 // BSU37050	-
TU8J2-1490	BSU25720	+
TU8J2-697	BSU23750 // BSU23760 // BSU23770 // BSU23780 // BSU23790	-
TU8J2-334	BSU37800	-
TU8J2-1439	BSU18800	+
TU8J2-403	BSU36090	+
TU8J2-3013	BSU31050 // BSU31060	-
TU8J2-736	BSU22060 // BSU22070	-
TU8J2-350	BSU37430 // BSU37420 // BSU37410 // BSU37400 // BSU37390 // BSU37380 // BSU37370 // BSU37360 // BSU37350	+
TU8J2-1476	BSU_tRNA_73	+
TU8J2-682	BSU24210	+
TU8J2-319	BSU38190 // BSU38200	-
TU8J2-1424	BSU15820	-
TU8J2-39	BSU37130	-
TU8J2-3	BSU00370	-
TU8J2-721	BSU22960	-
TU8J2-668	BSU24740	-
TU8J2-1461	BSU20520	+
TU8J2-141	BSU21520	+
TU8J2-3040	G8J2-183	+
TU8J2-2974	BSU15120 // BSU15110	+
TU8J2-375	BSU36740	-
TU8J2-1165	BSU02100	+
TU8J2-707	BSU23520	-
TU8J2-653	BSU25570 // BSU25580 // BSU25590	-
TU8J2-1449	BSU19340	-
TU8J2-1396	BSU12450	-
TU8J2-3026	BSU31960 // BSU31970 // BSU31980 // BSU31990 // BSU32000	-
TU8J2-986	BSU08390	+
TU8J2-360	BSU37140	+
TU8J2-2956	BSU16780	+
TU8J2-692	BSU23840	-
TU8J2-1150	BSU02690	+
TU8J2-1434	BSU18430	+
TU8J2-639	BSU27035 // BSU27030 // BSU27040 // BSU27050 // BSU27060 // BSU27070	-
TU8J2-3009	BSU36290 // BSU36300	-
TU8J2-1381	BSU10880	+
TU8J2-346	BSU37510	+
TU8J2-971	BSU08620	-
TU8J2-678	BSU24260	-
TU8J2-29	BSU36380	+
TU8J2-142	BSU20430 // BSU20440	-
TU8J2-1136	BSU03020	+
TU8J2-2992	BSU34110 // BSU34100	+
TU8J2-624	BSU27850 // BSU27860 // BSU27870	-
TU8J2-1175	BSU01740 // BSU01730	+
TU8J2-1367	BSU09660	-
TU8J2-663	BSU25110 // BSU25130	-
TU8J2-957	BSU09150	+
TU8J2-1405	BSU13630	-
TU8J2-275	BSU39110 // BSU39120	-
TU8J2-2966	BSU31180 // BSU31190 // BSU31200 // BSU31210 // BSU31220	-
TU8J2-1121	BSU03390	+
TU8J2-1160	BSU02310	+
TU8J2-61	BSU17420	+
TU8J2-649	BSU25750	-
TU8J2-1352	BSU06700	-
TU8J2-1391	BSU12100	+
TU8J2-942	BSU09500 // BSU09510 // BSU09520	-
TU8J2-981	BSU08460 // BSU08450	+
TU8J2-260	BSU39600	-
TU8J2-2951	BSU02350 // BSU02360	-
TU8J2-1107	BSU03780 // BSU03770	+
TU8J2-1146	BSU02760 // BSU02750	+
TU8J2-596	BSU28510	-
TU8J2-634	BSU27470	-
TU8J2-1338	BSU05300	+
TU8J2-1377	BSU10780	-
TU8J2-928	BSU10300	-
TU8J2-967	BSU_tRNA_44 // BSU_tRNA_43 // BSU_tRNA_42 // BSU_tRNA_41 // BSU_tRNA_40 // BSU_tRNA_39 // BSU_tRNA_38 // BSU_tRNA_37 // BSU_tRNA_36 // BSU_tRNA_35 // BSU_tRNA_34 // BSU_tRNA_33 // BSU_tRNA_32 // BSU_tRNA_31 // BSU_tRNA_30 // BSU_tRNA_29 // BSU_rRNA_18 // BSU_rRNA_17 // BSU_rRNA_22	+
TU8J2-246	BSU39960	+
TU8J2-285	BSU38940 // BSU38930	+
TU8J2-1093	BSU04020	-
TU8J2-1131	BSU03100 // BSU03090	+
TU8J2-1090	BSU04110 // BSU04100 // BSU04090 // BSU04080 // BSU04070 // BSU04060 // BSU04050	+
TU8J2-62	BSU09165	+
TU8J2-579	BSU28940	+
TU8J2-1362	BSU09120	-
TU8J2-1320	BSU02810	-
TU8J2-952	BSU09370	-
TU8J2-910	BSU11310 // BSU11300	+
TU8J2-270	BSU39320	-
TU8J2-229	BSU40310 // BSU40300	+
TU8J2-1117	BSU03440	-
TU8J2-1076	BSU04540	+
TU8J2-605	BSU28330	+
TU8J2-564	BSU29270	-
TU8J2-1348	BSU06540	-
TU8J2-1306	BSU36499 // BSU36480 // BSU36490 // BSU36500	-
TU8J2-938	BSU09750	-
TU8J2-897	BSU12050	-
TU8J2-256	BSU39780 // BSU39770	+
TU8J2-214	BSU40650	+
TU8J2-1102	BSU03880	+
TU8J2-1061	BSU05730 // BSU05740	-
TU8J2-591	BSU28630	-
TU8J2-55	BSU29760 // BSU29770 // BSU29780	-
TU8J2-1333	BSU05060	-
TU8J2-1292	BSU34400 // BSU34410 // BSU34420	-
TU8J2-923	BSU10410	-
TU8J2-882	BSU13040	+
TU8J2-241	BSU40021 // BSU40022	+
TU8J2-20	BSU35620 // BSU35630 // BSU35640	-
TU8J2-920	BSU10450 // BSU10460	-
TU8J2-1047	BSU06270 // BSU06280 // BSU06290	-
TU8J2-239	BSU40080 // BSU40070 // BSU40060 // BSU40050	+
TU8J2-535	BSU29990	+
TU8J2-1086	BSU04220 // BSU04210 // BSU04200 // BSU04190	+
TU8J2-1278	BSU12290 // BSU12280	+
TU8J2-574	BSU29060	-
TU8J2-868	BSU13789 // BSU13790 // BSU13780	+
TU8J2-1316	BSU02590	-
TU8J2-185	BSU13620 // BSU13610 // BSU13600 // BSU13590	+
TU8J2-906	BSU11520	+
TU8J2-1032	BSU07340	-
TU8J2-224	BSU40440	-
TU8J2-520	BSU30550	-
TU8J2-1071	BSU04660	+
TU8J2-1263	BSU_tRNA_20 // BSU_tRNA_19 // BSU_tRNA_18 // BSU_tRNA_17 // BSU_tRNA_16 // BSU_tRNA_15 // BSU_tRNA_14 // BSU_tRNA_13 // BSU_tRNA_12 // BSU_rRNA_8 // BSU_rRNA_7 // BSU_rRNA_6	+
TU8J2-56	BSU35310	-
TU8J2-853	BSU14370 // BSU14360 // BSU14350 // BSU14340	+
TU8J2-1301	BSU08880	+
TU8J2-170	BSU10960	-
