Proteins	Accession-1	Common-Name	Genes of polypeptide, complex, or RNA	Locations	Gene
BSU37030-MONOMER		chromosome-pole-anchoring protein RacA	BSU37030	CCI-CYTOSOL-GP	BSU37030
BSU13890-MONOMER		phosphotransferase system (PTS) glucose-specific enzyme IICBA component	BSU13890	CCI-PM-BAC-POS-GP	BSU13890
BSU04320-MONOMER		K<sup>+</sup> importer	BSU04320	CCI-PM-BAC-POS-GP	BSU04320
BSU16260-MONOMER		putative kinesin-like protein	BSU16260		BSU16260
BSU18760-MONOMER		putative transcriptional regulator (LysR family)	BSU18760		BSU18760
BSU23920-MONOMER		putative propionyl-CoA carboxylase beta chain	BSU23920	CCI-CYTOSOL-GP	BSU23920
BSU29980-MONOMER		putative promiscuous peptidase/deacylase	BSU29980		BSU29980
BSU33560-MONOMER		putative integral inner membrane protein	BSU33560	CCI-PM-BAC-POS-GP	BSU33560
BSU40620-MONOMER		putative ATP-binding cassette subunit of transporter	BSU40620		BSU40620
BSU27580-MONOMER		putative N-acetylmuramoyl-L-alanine amidase, family 3	BSU27580	CCI-CW-BAC-POS-GP // CCI-EXTRACELLULAR-GP	BSU27580
BSU07955-MONOMER		putative Fe-S oxidoreductase, radical SAM superfamily	BSU07955		BSU07955
BSU01860-MONOMER		putative enzyme; prophage 1 region	BSU01860		BSU01860
BSU12360-MONOMER		hexuronate transporter	BSU12360	CCI-PM-BAC-POS-GP	BSU12360
BSU05529-MONOMER		conserved hypothetical protein, sporulation-related	BSU05529		BSU05529
BSU37240-MONOMER		minor cardiolipin synthetase	BSU37240	CCI-PM-BAC-POS-GP	BSU37240
BSU18930-MONOMER		fragment of putative DNA phage repair protein; putative defective prophage 6	BSU18930		BSU18930
BSU22290-MONOMER		small acid-soluble spore protein	BSU22290		BSU22290
BSU17559-MONOMER		conserved hypothetical protein; defective phage region	BSU17559	CCI-PM-BAC-POS-GP	BSU17559
BSU40830-MONOMER		putative integral inner membrane protease	BSU40830	CCI-PM-BAC-POS-GP	BSU40830
BSU12550-MONOMER		phage PBSX; conserved protein of unknown function	BSU12550		BSU12550
BSU25930-MONOMER		conserved phage protein of unknown function; skin element	BSU25930		BSU25930
BSU31270-MONOMER		protein-glutamine gamma-glutamyltransferase (transglutaminase)	BSU31270		BSU31270
BSU22500-MONOMER		oxidized nucleotide pyrophosphohydrolase	BSU22500		BSU22500
BSU26150-MONOMER		putative nucleic acid-binding protein; skin element	BSU26150		BSU26150
BSU03970-MONOMER		putative reductase or disulfide isomerase	BSU03970	CCI-PM-BAC-POS-GP	BSU03970
BSU34830-MONOMER		conserved protein of unknown function	BSU34830		BSU34830
BSU04160-MONOMER		transcriptional regulator, PTS-dependent activator	BSU04160		BSU04160
BSU16100-MONOMER		succinyl-CoA synthetase (alpha subunit)	BSU16100	CCI-CYTOSOL-GP	BSU16100
BSU15880-MONOMER		transcription factor controlling fatty acid and phospholipid metabolism (FapR-malonyl-Coa)	BSU15880		BSU15880
BSU09220-MONOMER		conserved protein of unknown function	BSU09220		BSU09220
BSU29820-MONOMER		putative tRNA binding enzyme	BSU29820		BSU29820
BSU33400-MONOMER		promiscuous glyoxal/methylglyoxal reductase	BSU33400		BSU33400
BSU29600-MONOMER		branched-chain amino acid-Na+ symporter	BSU29600	CCI-PM-BAC-POS-GP	BSU29600
BSU03120-MONOMER		xenotiotic metabolite methyltransferase	BSU03120		BSU03120
BSU07790-MONOMER		putative spore germination protein	BSU07790	CCI-PM-BAC-POS-GP	BSU07790
BSU01680-MONOMER		N-acetylmuramic acid PTS permease-MurP subunit	BSU01680	CCI-PM-BAC-POS-GP	BSU01680
BSU33210-MONOMER		two-component sensor histidine kinase YvrG innvolved in cell wall processes [YvrH]	BSU33210	CCI-PM-BAC-POS-GP	BSU33210
BSU38499-MONOMER		conserved hypothetical membrane protein	BSU38499	CCI-PM-BAC-POS-GP	BSU38499
BSU37080-MONOMER		transcriptional terminator Rho	BSU37080		BSU37080
BSU18810-MONOMER		hypothetical protein	BSU18810		BSU18810
BSU07570-MONOMER		malate (2-oxoglutarate) transporter	BSU07570	CCI-PM-BAC-POS-GP	BSU07570
BSU20150-MONOMER		conserved protein of unknown function; phage SPbeta	BSU20150	CCI-PM-BAC-POS-GP	BSU20150
BSU40670-MONOMER		putative transcriptional regulator (LysR family)	BSU40670	CCI-CYTOSOL-GP	BSU40670
BSU12410-MONOMER		bacillithiol <i>S</i>-transferase	BSU12410		BSU12410
BSU01470-MONOMER		putative ECF transporter, T component	BSU01470	CCI-PM-BAC-POS-GP	BSU01470
MONOMER8J2-50		cell division inhibitor	G8J2-21		G8J2-21
BSU22340-MONOMER		endonuclease III, apurinic apyrimidic DNA lyase	BSU22340		BSU22340
BSU25980-MONOMER		putative phage baseplate assembly protein; skin element	BSU25980		BSU25980
BSU36870-MONOMER		ATP synthase (subunit a, component F0)	BSU36870	CCI-PM-BAC-POS-GP	BSU36870
BSU13760-MONOMER		putative transcriptional regulator (HGT island)	BSU13760		BSU13760
BSU04010-MONOMER		type I signal peptidase	BSU04010	CCI-PM-BAC-POS-GP	BSU04010
BSU15940-MONOMER		chromosome condensation and segregation SMC ATPase	BSU15940	CCI-CYTOSOL-GP	BSU15940
BSU18620-MONOMER		putative 4-hydroxyphenylacetate-3-hydroxylase	BSU18620		BSU18620
BSU23760-MONOMER		pantothenate kinase	BSU23760	CCI-CYTOSOL-GP	BSU23760
BSU29650-MONOMER		diguanylate cyclase	BSU29650	CCI-PM-BAC-POS-GP	BSU29650
BSU33240-MONOMER		oxalate decarboxylase	BSU33240	CCI-CW-BAC-POS-GP // CCI-CYTOSOL-GP	BSU33240
BSU40470-MONOMER		conserved hypothetical protein	BSU40470		BSU40470
BSU27440-MONOMER		putative L-glutamine ABC transporter substrate-binding lipoprotein	BSU27440	CCI-PM-BAC-POS-GP	BSU27440
BSU07620-MONOMER		putative metal-dependent hydrolase	BSU07620		BSU07620
BSU01520-MONOMER		conserved protein of unknown function	BSU01520		BSU01520
BSU12210-MONOMER		cytochrome P450 CYP109B1, monooxygenase	BSU12210		BSU12210
BSU05390-MONOMER		putative transcriptional regulator	BSU05390		BSU05390
BSU36920-MONOMER		D-ribose 5-phosphate epimerase (promiscuous)	BSU36920		BSU36920
BSU18669-MONOMER		putative permease, phage-related; defective prophage 6	BSU18669	CCI-PM-BAC-POS-GP	BSU18669
BSU22140-MONOMER		2-keto-3-deoxygluconate oxidoreductase	BSU22140		BSU22140
BSU17400-MONOMER		putative cofactor involved in deoxyribonucleotide synthesis	BSU17400		BSU17400
BSU40520-MONOMER		putative integral inner membrane protein	BSU40520		BSU40520
BSU12250-MONOMER		ABC family transporter ATP-binding protein YjkB	BSU12250	CCI-PM-BAC-POS-GP	BSU12250
BSU25770-MONOMER		site-specific DNA recombinase; skin element	BSU25770		BSU25770
BSU31110-MONOMER		conserved protein of unknown function	BSU31110	CCI-PM-BAC-POS-GP	BSU31110
BSU22180-MONOMER		cell division protein	BSU22180	CCI-CYTOSOL-GP	BSU22180
BSU25820-MONOMER		conserved protein of unknown function; skin element	BSU25820		BSU25820
BSU15720-MONOMER		peptide deformylase	BSU15720		BSU15720
BSU34680-MONOMER		putative 2-ketogluconate reductase; hydroxypyruvate / glyoxylate reductase	BSU34680	CCI-CYTOSOL-GP	BSU34680
BSU15770-MONOMER		protein serine/threonine kinase	BSU15770	CCI-PM-BAC-POS-GP	BSU15770
BSU29490-MONOMER		thiol peroxidase (lipid hydroperoxide reductase)	BSU29490		BSU29490
BSU29440-MONOMER		argininosuccinate lyase	BSU29440	CCI-CYTOSOL-GP	BSU29440
BSU09050-MONOMER		putative ABC efflux transporter membrane protein YhcE	BSU09050	CCI-PM-BAC-POS-GP	BSU09050
BSU33100-MONOMER		membrane component associated to the LiaRS two-component system	BSU33100	CCI-PM-BAC-POS-GP	BSU33100
BSU07440-MONOMER		N<sup>&epsilon;</sup>-lysine acetyltransferase	BSU07440		BSU07440
BSU33050-MONOMER		component of the GerA germination receptor	BSU33050	CCI-PM-BAC-POS-GP	BSU33050
BSU02960-MONOMER		putative carbohydrate transporter (possibly exporter)	BSU02960	CCI-PM-BAC-POS-GP	BSU02960
BSU01370-MONOMER		adenylate kinase	BSU01370	CCI-CYTOSOL-GP	BSU01370
BSU36760-MONOMER		UDP-N-acetylglucosamine 1-carboxyvinyltransferase	BSU36760	CCI-CYTOSOL-GP	BSU36760
BSU07390-MONOMER		transcriptional regulator (MerR family) of metal (copper) efflux transporter expression	BSU07390		BSU07390
BSU38340-MONOMER		putative sugar permease	BSU38340	CCI-PM-BAC-POS-GP	BSU38340
BSU18510-MONOMER		transition-dependent and sulfur-related metabolism protein	BSU18510		BSU18510
BSU40360-MONOMER		sporulation membrane serine protease	BSU40360	CCI-PM-BAC-POS-GP	BSU40360
BSU01320-MONOMER		ribosomal protein L18	BSU01320	CCI-RIBOSOME-GP	BSU01320
BSU19999-MONOMER		hypothetical protein	BSU19999		BSU19999
BSU12100-MONOMER		N-acetylmuramic acid deacetylase	BSU12100	CCI-PM-BAC-POS-GP	BSU12100
BSU22030-MONOMER		dynamin GTPase	BSU22030	CCI-PM-BAC-POS-GP	BSU22030
BSU36710-MONOMER		protein sulfur transferase involved in molybdenum cofactor synthesis	BSU36710	CCI-CYTOSOL-GP	BSU36710
BSU13600-MONOMER		2-hydroxy-3-keto-5-methylthiopentenyl-1- phosphatephosphatase (HK-MTPenyl-1-P phosphatase)	BSU13600		BSU13600
BSU25650-MONOMER		50S RNA-binding protein	BSU25650		BSU25650
BSU15610-MONOMER		uroporphyrinogen III and precorrin-1 C-methyltransferase	BSU15610		BSU15610
BSU18460-MONOMER		transcriptional regulator (LysR family) (GltC-glutamate)	BSU18460		BSU18460
BSU23600-MONOMER		putative nucleotide binding protein	BSU23600		BSU23600
BSU29330-MONOMER		monooxygenase (S-alkyl substrates)	BSU29330	CCI-CYTOSOL-GP	BSU29330
BSU32940-MONOMER		iron(III)-siderophore transporter (ATP binding component)	BSU32940	CCI-PM-BAC-POS-GP	BSU32940
BSU40310-MONOMER		secreted regulator of the activity of phosphatase RapG	BSU40310		BSU40310
BSU27280-MONOMER		putative AdoMet-dependent methyltransferase	BSU27280	CCI-CYTOSOL-GP	BSU27280
BSU07280-MONOMER		putative CDP-sugar-dehydratase/epimerase	BSU07280		BSU07280
BSU01210-MONOMER		ribosomal protein L22 (BL17)	BSU01210	CCI-RIBOSOME-GP	BSU01210
BSU12060-MONOMER		cys-tRNApro deacetylase; tRNA editing	BSU12060		BSU12060
BSU05240-MONOMER		putative PLP-dependent transcriptional regulator	BSU05240		BSU05240
BSU36600-MONOMER		transcriptional regulator regulating efflux transporters synthesis (Fur-independent bacillibactin export)	BSU36600	CCI-CYTOSOL-GP	BSU36600
BSU18350-MONOMER		D-alanyl-D-alanine carboxypeptidase	BSU18350	CCI-EXTRACELLULAR-GP	BSU18350
BSU21990-MONOMER		putative RNA binding protein (no RNase H activity)	BSU21990		BSU21990
BSU17240-MONOMER		conserved protein of unknown function involved in ethanol resistance	BSU17240		BSU17240
BSU11000-MONOMER		putative N-acetyltransferase	BSU11000		BSU11000
BSU40220-MONOMER		putative phosphohydrolase	BSU40220		BSU40220
BSU25600-MONOMER		putative NADPH-dependent reductase	BSU25600		BSU25600
BSU30950-MONOMER		glycogen (starch) synthase	BSU30950		BSU30950
BSU36570-MONOMER		putative integral inner membrane protein	BSU36570	CCI-PM-BAC-POS-GP	BSU36570
BSU18320-MONOMER		non-ribosomal plipastatin synthetase C involved in synthesis of plipastatin	BSU18320	CCI-CYTOSOL-GP	BSU18320
BSU15560-MONOMER		orotate phosphoribosyltransferase	BSU15560		BSU15560
BSU34520-MONOMER		spore coat protein; putative oxidoreductase	BSU34520		BSU34520
BSU10970-MONOMER		putative enolase superfamily enzyme (isomerase / dehydratase)	BSU10970		BSU10970
BSU40190-MONOMER		fructose-1,6-bisphosphatase	BSU40190		BSU40190
BSU29280-MONOMER		putative transporter	BSU29280	CCI-PM-BAC-POS-GP	BSU29280
BSU08899-MONOMER		putative HTH-type transcriptional regulator	BSU08899		BSU08899
BSU11929-MONOMER		hypothetical protein	BSU11929		BSU11929
BSU21850-MONOMER		putative 16S rRNA m(2)G1516 methyltransferase	BSU21850		BSU21850
BSU32890-MONOMER		hydratase of unidentified specificity (tautomerase superfamily)	BSU32890		BSU32890
BSU02800-MONOMER		conserved protein of unknown function	BSU02800		BSU02800
BSU25470-MONOMER		molecular chaperone, ATP-dependent	BSU25470		BSU25470
BSU15420-MONOMER		cell-division initiation protein	BSU15420	CCI-CYTOSOL-GP	BSU15420
BSU07230-MONOMER		putative flavin-dependent hydroxylase/monooxygenase acting on salicylate derivatives	BSU07230		BSU07230
BSU38190-MONOMER		galactose-1-phosphate uridyltransferase	BSU38190	CCI-CYTOSOL-GP	BSU38190
BSU29160-MONOMER		putative sporulation-related permease	BSU29160	CCI-PM-BAC-POS-GP	BSU29160
BSU32770-MONOMER		putative thiol-disulfide oxidoreductase with thioredoxin domain	BSU32770		BSU32770
BSU01160-MONOMER		ribosomal protein L3 (BL3)	BSU01160	CCI-RIBOSOME-GP	BSU01160
BSU19830-MONOMER		hypothetical protein; phage SPbeta	BSU19830		BSU19830
BSU07070-MONOMER		rhamnogalacturonan acetylesterase	BSU07070		BSU07070
BSU01020-MONOMER		ribosomal protein L11 (BL11)	BSU01020	CCI-RIBOSOME-GP	BSU01020
BSU29250-MONOMER		nanoRNase (oligoribonuclease) (3'->5'short substrates, 5'->3' long substrates), 3',5'-bisphosphate nucleotidase	BSU29250		BSU29250
BSU13450-MONOMER		RNA polymerase sigma factor (heat stress responsive)	BSU13450	CCI-CYTOSOL-GP	BSU13450
BSU36410-MONOMER		MreB-like morphogen	BSU36410	CCI-CYTOSOL-GP	BSU36410
BSU18170-MONOMER		putative conserved membrane protein possibly involved in arabinogalactan metabolism	BSU18170	CCI-PM-BAC-POS-GP	BSU18170
BSU32860-MONOMER		putative spore coat-like protein	BSU32860		BSU32860
BSU23450-MONOMER		RNA polymerase sporulation-specific sigma factor (sigma-F)	BSU23450		BSU23450
BSU10810-MONOMER		farnesyl diphosphate phosphatase	BSU10810		BSU10810
BSU40040-MONOMER		D-glycerate kinase	BSU40040		BSU40040
BSU07200-MONOMER		pH-sensitive Ca<sup>2+</sup> channel	BSU07200	CCI-PM-BAC-POS-GP	BSU07200
BSU27120-MONOMER		RNA polymerase ECF(extracytoplasmic function)-type sigma factor (sigma(V))	BSU27120		BSU27120
BSU11790-MONOMER		sporulation-specific protein	BSU11790	CCI-PM-BAC-POS-GP	BSU11790
BSU21690-MONOMER		peptide methionine S-sulfoxide reductase	BSU21690	CCI-CYTOSOL-GP	BSU21690
BSU01130-MONOMER		elongation factor Tu	BSU01130	CCI-CYTOSOL-GP	BSU01130
BSU05099-MONOMER		conserved phage protein of unknown function	BSU05099		BSU05099
BSU25310-MONOMER		undecaprenol kinase	BSU25310	CCI-PM-BAC-POS-GP	BSU25310
BSU15260-MONOMER		conserved hypothetical protein	BSU15260	CCI-PM-BAC-POS-GP	BSU15260
BSU36520-MONOMER		nitrogen-regulated PII-like regulator protein	BSU36520	CCI-CYTOSOL-GP // CCI-PM-BAC-POS-GP // CCO-CE-BAC	BSU36520
BSU17070-MONOMER		putative integral inner membrane protein	BSU17070	CCI-PM-BAC-POS-GP	BSU17070
BSU29000-MONOMER		negative regulator of transcription of ribonucleotide reductase nrd genes and operons	BSU29000		BSU29000
BSU32630-MONOMER		D-amino acid oxidase	BSU32630	CCI-CYTOSOL-GP	BSU32630
BSU18270-MONOMER		conserved hypothetical protein	BSU18270	CCI-PM-BAC-POS-GP	BSU18270
BSU30790-MONOMER		O-succinylbenzoyl-CoA synthetase	BSU30790		BSU30790
BSU06910-MONOMER		enzyme component of the inner spore coat	BSU06910		BSU06910
BSU00860-MONOMER		class III stress response-related ATPase, AAA+ superfamily	BSU00860		BSU00860
BSU10920-MONOMER		putative sulfate adenylyltransferase	BSU10920		BSU10920
BSU34360-MONOMER		protein tyrosine kinase involved in biofilm matrix formation	BSU34360		BSU34360
BSU36260-MONOMER		modulator of PtkA protein tyrosine kinase activity; modulation of biofilm formation	BSU36260	CCI-PM-BAC-POS-GP	BSU36260
BSU10650-MONOMER		DNA ATP-dependent repair enzyme	BSU10650		BSU10650
BSU40140-MONOMER		putative antimicrobial peptide ABC exporter, membrane subunit	BSU40140	CCI-PM-BAC-POS-GP	BSU40140
BSU08750-MONOMER		conserved hypothetical protein	BSU08750		BSU08750
BSU39890-MONOMER		putative S-adenosylmethionine-dependent methyltransferase	BSU39890		BSU39890
BSU11630-MONOMER		phosphorylated protein phosphatase E and diadenosine-polyphosphate hydrolase	BSU11630		BSU11630
BSU11890-MONOMER		putative ribosomal-protein-alanine N-acetyltransferase	BSU11890	CCI-CYTOSOL-GP	BSU11890
BSU02640-MONOMER		component of the twin-arginine pre-protein translocation pathway	BSU02640	CCI-PM-BAC-POS-GP	BSU02640
BSU21520-MONOMER		conserved phage protein of unknown function; phage SPbeta	BSU21520		BSU21520
BSU25160-MONOMER		1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate reductase	BSU25160		BSU25160
BSU21800-MONOMER		putative 1-acyl-sn-glycerol-3-phosphate acyltransferase	BSU21800		BSU21800
BSU38030-MONOMER		conserved protein of unknown function	BSU38030		BSU38030
BSU15100-MONOMER		putative acetyltransferase	BSU15100		BSU15100
BSU28830-MONOMER		conserved protein of unknown function	BSU28830	CCI-PM-BAC-POS-GP	BSU28830
BSU25420-MONOMER		putative Na+/anion cotransporter	BSU25420	CCI-PM-BAC-POS-GP	BSU25420
BSU19680-MONOMER		conserved protein of unknown function	BSU19680		BSU19680
BSU32470-MONOMER		xanthine dehydrogenase, iron-sulfur subunit	BSU32470		BSU32470
BSU06770-MONOMER		putative DNA helicase / endonuclease; HGT island	BSU06770		BSU06770
BSU15370-MONOMER		conserved protein with laccase domain	BSU15370		BSU15370
BSU36739-MONOMER		hypothetical protein	BSU36739		BSU36739
BSU00700-MONOMER		pantothenate kinase type III	BSU00700	CCI-CYTOSOL-GP	BSU00700
BSU36100-MONOMER		oxamate amidohydrolase	BSU36100		BSU36100
BSU29110-MONOMER		PhoP two-component response regulator	BSU29110	CCI-CYTOSOL-GP	BSU29110
BSU13290-MONOMER		conserved hypothetical protein	BSU13290		BSU13290
BSU10490-MONOMER		type I signal peptidase	BSU10490	CCI-PM-BAC-POS-GP	BSU10490
BSU39730-MONOMER		3D-(3,5/4)-trihydroxycyclohexane-1,2-dione hydrolase	BSU39730	CCI-CYTOSOL-GP	BSU39730
BSU32720-MONOMER		conserved protein of unknown function	BSU32720		BSU32720
BSU23300-MONOMER		conserved protein of unknown function	BSU23300		BSU23300
BSU11480-MONOMER		putative exporter	BSU11480	CCI-PM-BAC-POS-GP	BSU11480
BSU21360-MONOMER		conserved protein of unknown function; phage SPbeta	BSU21360		BSU21360
BSU07020-MONOMER		rhamnogalacturonan acetylesterase	BSU07020		BSU07020
BSU26960-MONOMER		putative spore coat protein	BSU26960		BSU26960
BSU14950-MONOMER		putative enzyme	BSU14950		BSU14950
BSU25030-MONOMER		conserved integral inner membrane protein of unknown function	BSU25030	CCI-PM-BAC-POS-GP	BSU25030
BSU00970-MONOMER		ribosome-dependent mRNA endonuclease	BSU00970		BSU00970
BSU04940-MONOMER		component of the ICEBs1 conjugation machinery	BSU04940		BSU04940
BSU28670-MONOMER		putative transcriptional regulator (glycolate degradation operon)	BSU28670		BSU28670
BSU06610-MONOMER		ATP-dependent DNA helicase	BSU06610	CCI-CYTOSOL-GP	BSU06610
BSU36360-MONOMER		large conductance mechanosensitive channel protein	BSU36360	CCI-PM-BAC-POS-GP	BSU36360
BSU16910-MONOMER		cell shape determination factor	BSU16910	CCI-PM-BAC-POS-GP	BSU16910
BSU00540-MONOMER		protein required for the switch from F to G during sporulation (anti sigma F)	BSU00540	CCI-CYTOSOL-GP	BSU00540
BSU35940-MONOMER		ribose ABC transporter ATP-binding protein	BSU35940	CCI-PM-BAC-POS-GP	BSU35940
BSU18120-MONOMER		H+/Na+:nitrogen-donor aminoacid symporter	BSU18120	CCI-PM-BAC-POS-GP	BSU18120
BSU30640-MONOMER		putative autolytic amidase	BSU30640	CCI-PM-BAC-POS-GP	BSU30640
BSU10330-MONOMER		iron(III) siderophore-binding lipoprotein	BSU10330	CCI-PM-BAC-POS-GP	BSU10330
BSU39570-MONOMER		lipocalin-like lipoprotein	BSU39570		BSU39570
BSU10760-MONOMER		putative integral membrane protein	BSU10760	CCI-PM-BAC-POS-GP	BSU10760
BSU34190-MONOMER		L-lactate permease	BSU34190	CCI-PM-BAC-POS-GP	BSU34190
BSU11310-MONOMER		putative late competence gene	BSU11310		BSU11310
BSU21220-MONOMER		conserved protein of unknown function; phage SPbeta	BSU21220		BSU21220
BSU40000-MONOMER		putative oxidoreductase	BSU40000		BSU40000
BSU08590-MONOMER		stress induced epoxide hydrolase	BSU08590		BSU08590
BSU14790-MONOMER		conserved hypothetical protein	BSU14790		BSU14790
BSU24870-MONOMER		membrane endopeptidase	BSU24870	CCI-PM-BAC-POS-GP	BSU24870
BSU11740-MONOMER		spore coat protein (insoluble fraction, crust layer)	BSU11740		BSU11740
BSU02490-MONOMER		glucarate dehydratase	BSU02490		BSU02490
BSU28510-MONOMER		&alpha;-L-arabinofuranosidase 2	BSU28510	CCI-CYTOSOL-GP	BSU28510
BSU06460-MONOMER		factor required for phosphoribosylformylglycinamidine synthetase activity	BSU06460	CCI-CYTOSOL-GP	BSU06460
BSU21630-MONOMER		aminoglycoside N3'-acetyltransferase	BSU21630		BSU21630
BSU37870-MONOMER		putative phosphoenolpyruvate-sugar pyruvyltransferase	BSU37870		BSU37870
BSU00380-MONOMER		methionyl-tRNA synthetase	BSU00380	CCI-CYTOSOL-GP	BSU00380
BSU32190-MONOMER		conserved protein of unknown function	BSU32190		BSU32190
BSU25270-MONOMER		glycyl-tRNA synthetase (alpha subunit)	BSU25270	CCI-CYTOSOL-GP	BSU25270
BSU19550-MONOMER		water forming NADH oxidase (nitroreductase)	BSU19550	CCI-CYTOSOL-GP	BSU19550
BSU35780-MONOMER		exported N-acetylglucosaminidase (major autolysin) (CWBP90)	BSU35780	CCI-CW-BAC-POS-GP // CCI-EXTRACELLULAR-GP	BSU35780
BSU10160-MONOMER		putative methyl-accepting protein	BSU10160	CCI-PM-BAC-POS-GP	BSU10160
BSU15210-MONOMER		factor for spore cortex peptidoglycan synthesis (stage V sporulation)	BSU15210	CCI-PM-BAC-POS-GP	BSU15210
BSU27185-MONOMER		hypothetical protein	BSU27185		BSU27185
BSU11150-MONOMER		putative carboxylesterase	BSU11150	CCI-PM-BAC-POS-GP	BSU11150
BSU39440-MONOMER		putative integral membrane protein	BSU39440	CCI-PM-BAC-POS-GP	BSU39440
BSU28950-MONOMER		threonyl-tRNA synthetase	BSU28950	CCI-CYTOSOL-GP	BSU28950
BSU13140-MONOMER		peroxiredoxin	BSU13140		BSU13140
BSU21060-MONOMER		conserved protein of unknown function; phage SPbeta	BSU21060		BSU21060
BSU14630-MONOMER		arginine decarboxylase	BSU14630	CCI-CYTOSOL-GP	BSU14630
BSU32580-MONOMER		fructosylamine ABC transporter membrane subunit FrlM	BSU32580	CCI-PM-BAC-POS-GP	BSU32580
BSU23130-MONOMER		factor required for cytochrome c synthesis	BSU23130	CCI-PM-BAC-POS-GP	BSU23130
BSU24710-MONOMER		pilin-like component of the DNA transport membrane pilin platform	BSU24710	CCI-PM-BAC-POS-GP	BSU24710
BSU28340-MONOMER		putative stress response protein	BSU28340		BSU28340
BSU06860-MONOMER		putative transcriptional regulator (TetR family)	BSU06860		BSU06860
BSU26800-MONOMER		putative anionic nitroalkane monoxygenase	BSU26800		BSU26800
BSU06310-MONOMER		gamma-aminobutyrate (GABA) permease; proline permease	BSU06310	CCI-PM-BAC-POS-GP	BSU06310
BSU00220-MONOMER		conserved protein of unknown function	BSU00220		BSU00220
BSU00810-MONOMER		tRNA-dihydrouridine synthase B	BSU00810		BSU00810
BSU04790-MONOMER		conserved protein of unknown function	BSU04790	CCI-CYTOSOL-GP	BSU04790
BSU32030-MONOMER		putative biotin ECF transporter, S component BioYB	BSU32030	CCI-PM-BAC-POS-GP	BSU32030
BSU35620-MONOMER		N-acetylmuramoyl-L-alanine amidase (major autolysin)	BSU35620	CCI-CW-BAC-POS-GP // CCI-EXTRACELLULAR-GP	BSU35620
BSU36210-MONOMER		conserved protein of unknown function	BSU36210		BSU36210
BSU16720-MONOMER		PRC barrel protein involved in sporulation	BSU16720		BSU16720
BSU10009-MONOMER		membrane protein of unknown function	BSU10009	CCI-PM-BAC-POS-GP	BSU10009
BSU03870-MONOMER		putative AI-2 degrading enzyme	BSU03870		BSU03870
BSU10600-MONOMER		copper storage protein Csp3	BSU10600		BSU10600
BSU30470-MONOMER		conserved protein of unknown function	BSU30470		BSU30470
BSU39290-MONOMER		antitoxin factor of the RttD-RttE toxin-antitoxin system	BSU39290		BSU39290
BSU20928-MONOMER		conserved protein of unknown function; phage SPbeta	BSU20928		BSU20928
BSU39840-MONOMER		putative oxidoreductase	BSU39840		BSU39840
BSU34030-MONOMER		component of an iron-sulfur oxidase for L-lactate utilization	BSU34030		BSU34030
BSU14490-MONOMER		two-component sensor potassium-responsive histidine kinase regulating cannibalism and biofilm formation	BSU14490	CCI-PM-BAC-POS-GP	BSU14490
BSU24550-MONOMER		glycine decarboxylase (subunit 2) (glycine cleavage system protein P)	BSU24550	CCI-CYTOSOL-GP	BSU24550
BSU11580-MONOMER		putative RNA/thiamine triphosphatase	BSU11580		BSU11580
BSU08425-MONOMER		phosphatidylglycerol lysyltransferase involved in tRNA-dependent lysinylation of phospholipids	BSU08425	CCI-PM-BAC-POS-GP	BSU08425
BSU28180-MONOMER		putative integral inner membrane protein	BSU28180	CCI-PM-BAC-POS-GP	BSU28180
BSU06160-MONOMER		H+-glucitol symporter; prophage region 3	BSU06160	CCI-PM-BAC-POS-GP	BSU06160
BSU21470-MONOMER		sublancin 168 maturation protease / ABC efflux transporter	BSU21470	CCI-PM-BAC-POS-GP	BSU21470
BSU02330-MONOMER		putative enzyme with rhodanese domain	BSU02330		BSU02330
BSU00060-MONOMER		DNA gyrase (subunit B)	BSU00060	CCI-CYTOSOL-GP	BSU00060
BSU31860-MONOMER		ESX secretion system; calcium-dependent phage SPP1 attachment site	BSU31860	CCI-PM-BAC-POS-GP	BSU31860
BSU15060-MONOMER		tRNA<sup>Met</sup> ac<sup>4</sup>C34 synthase	BSU15060	CCI-CYTOSOL-GP	BSU15060
BSU37710-MONOMER		alanine-anticapsin ligase	BSU37710		BSU37710
BSU35450-MONOMER		component of the DNA transport apparatus	BSU35450		BSU35450
BSU09860-MONOMER		K+/H+ antiporter for K+ efflux	BSU09860	CCI-PM-BAC-POS-GP	BSU09860
BSU28780-MONOMER		L-ribulose-5-phosphate 4-epimerase	BSU28780	CCI-CYTOSOL-GP	BSU28780
BSU19390-MONOMER		putative nitric-oxide reductase associated protein	BSU19390		BSU19390
BSU03730-MONOMER		putative ABC efflux transporter ATP-binding protein YclH	BSU03730	CCI-PM-BAC-POS-GP	BSU03730
BSU39139-MONOMER		conserved protein of unknown function	BSU39139		BSU39139
BSU32430-MONOMER		uric acid permease	BSU32430	CCI-PM-BAC-POS-GP	BSU32430
BSU21409-MONOMER		hypothetical protein; phage SPbeta	BSU21409		BSU21409
BSU20770-MONOMER		conserved protein of unknown function; phage SPbeta	BSU20770		BSU20770
BSU14330-MONOMER		ABC family transporter ATP-binding/membrane protein YknV	BSU14330	CCI-PM-BAC-POS-GP	BSU14330
BSU06720-MONOMER		diacylglycerol kinase	BSU06720		BSU06720
