Transcription-Units	Genes of transcription unit	Direction
TU1G01-4620	G1G01-4344 // G1G01-4343 // G1G01-4342 // G1G01-4341 // G1G01-4340 // G1G01-4339	+
TU1G01-900	G1G01-845 // G1G01-844	+
TU1G01-5300	G1G01-5008 // G1G01-5007 // G1G01-5006	-
TU1G01-5966	G1G01-5640 // G1G01-5639	-
TU1G01-1550	G1G01-1472	-
TU1G01-6626	G1G01-3870	-
TU1G01-326	G1G01-291	-
TU1G01-1434	G1G01-1349	-
TU1G01-6942	G1G01-2335	-
TU1G01-2214	G1G01-2097	-
TU1G01-3932	G1G01-3688 // G1G01-3687	-
TU1G01-4594	G1G01-4308 // G1G01-4307	-
TU1G01-872	G1G01-821 // G1G01-820	-
TU1G01-5272	G1G01-4980 // G1G01-4979	-
TU1G01-5938	G1G01-5617	+
TU1G01-1520	G1G01-1447	+
TU1G01-66	G1G01-49	+
TU1G01-3230	G1G01-3035	-
TU1G01-1404	G1G01-1317	+
TU1G01-6914	G1G01-2501	+
TU1G01-2186	G1G01-2077	+
TU1G01-3902	G1G01-3662	+
TU1G01-4562	G1G01-4287	+
TU1G01-842	G1G01-784	-
TU1G01-5242	G1G01-4955	+
TU1G01-5908	G1G01-5595	+
TU1G01-1492	G1G01-1413	+
TU1G01-6570	G1G01-4026	-
TU1G01-3200	G1G01-3007	+
TU1G01-1378	G1G01-1296	+
TU1G01-6884	G1G01-2592	-
TU1G01-2158	G1G01-2055	+
TU1G01-3874	G1G01-3643 // G1G01-3642 // G1G01-3641 // G1G01-3640	+
TU1G01-4530	G1G01-4257	-
TU1G01-814	G1G01-762	+
TU1G01-5214	G1G01-4924 // G1G01-4923	+
TU1G01-5878	G1G01-5560	-
TU1G01-1460	G1G01-1383	-
TU1G01-6540	G1G01-4165	+
TU1G01-3174	G1G01-2978	-
TU1G01-1348	G1G01-1270	+
TU1G01-6856	G1G01-2714	+
TU1G01-2128	G1G01-2026 // G1G01-2025	+
TU1G01-3844	G1G01-3612	-
TU1G01-4500	G1G01-4227	+
TU1G01-786	G1G01-747	+
TU1G01-5186	G1G01-4893	+
TU1G01-5848	G1G01-5532 // G1G01-5531	-
TU1G01-6512	G1G01-4253	+
TU1G01-3144	G1G01-2947 // G1G01-2946 // G1G01-2945 // G1G01-2944	+
TU1G01-132	G1G01-107	+
TU1G01-6826	G1G01-2782	-
TU1G01-210	G1G01-174	+
TU1G01-3816	G1G01-3582 // G1G01-3581	-
TU1G01-4472	G1G01-4204	-
TU1G01-758	G1G01-727 // G1G01-726	+
TU1G01-5158	G1G01-4864	-
TU1G01-582	G1G01-557 // G1G01-556 // G1G01-555	-
TU1G01-6482	G1G01-4406	+
TU1G01-3116	G1G01-2915 // G1G01-2914	-
TU1G01-1290	G1G01-1231	+
TU1G01-68	G1G01-50	-
TU1G01-2070	G1G01-1963	-
TU1G01-3788	G1G01-3560 // G1G01-3559	+
TU1G01-4442	G1G01-4187	-
TU1G01-7448	G1G01-1086 // G1G01-1085	+
TU1G01-2736	G1G01-2570 // G1G01-2569	-
TU1G01-5128	G1G01-4837	-
TU1G01-5792	G1G01-5472	+
TU1G01-6454	G1G01-4548	-
TU1G01-3086	G1G01-2882	+
TU1G01-126	G1G01-103	+
TU1G01-6770	G1G01-3149	+
TU1G01-2040	G1G01-1942	+
TU1G01-376	G1G01-336	-
TU1G01-4414	G1G01-4152 // G1G01-4151 // G1G01-4150 // G1G01-4149 // G1G01-4148	-
TU1G01-7432	G1G01-33	-
TU1G01-2706	G1G01-2539	+
TU1G01-510	G1G01-468	+
TU1G01-5762	G1G01-5440 // G1G01-5439 // G1G01-5438	+
TU1G01-6424	G1G01-4761	+
TU1G01-3056	G1G01-2854	-
TU1G01-1230	G1G01-1178	-
TU1G01-6740	G1G01-3362	-
TU1G01-2012	G1G01-1915	-
TU1G01-3730	G1G01-3497	+
TU1G01-4386	G1G01-4106	-
TU1G01-7402	G1G01-130	-
TU1G01-2678	G1G01-2510 // G1G01-2509 // G1G01-2508 // G1G01-2507	+
TU1G01-5070	G1G01-4774	-
TU1G01-5734	G1G01-5411 // G1G01-5410	+
TU1G01-6398	G1G01-4816	-
TU1G01-3024	G1G01-2828	-
TU1G01-1200	G1G01-1153	+
TU1G01-6712	G1G01-3518	+
TU1G01-1982	G1G01-1877	+
TU1G01-3700	G1G01-3460	+
TU1G01-4358	G1G01-4085	+
TU1G01-7376	G1G01-288	+
TU1G01-2648	G1G01-2480 // G1G01-2479	+
TU1G01-5040	G1G01-4747 // G1G01-4746	-
TU1G01-5704	G1G01-5385 // G1G01-5384	-
TU1G01-6368	G1G01-4887	+
TU1G01-2998	G1G01-2790 // G1G01-2789 // G1G01-2788	-
TU1G01-1168	G1G01-1108	+
TU1G01-1954	G1G01-1853	+
TU1G01-3672	G1G01-3438	-
TU1G01-4328	G1G01-4052 // G1G01-4051	+
TU1G01-7346	G1G01-350	-
TU1G01-262	G1G01-221	-
TU1G01-5012	G1G01-4727	+
TU1G01-5676	G1G01-5353 // G1G01-5352	-
TU1G01-634	G1G01-615 // G1G01-614	+
TU1G01-2968	G1G01-2764 // G1G01-2763	-
TU1G01-1138	G1G01-1081 // G1G01-1080	-
TU1G01-1924	G1G01-1831	-
TU1G01-3642	G1G01-3407 // G1G01-3406	+
TU1G01-430	G1G01-393	-
TU1G01-7318	G1G01-461	+
TU1G01-2592	G1G01-2438	+
TU1G01-4984	G1G01-4706	-
TU1G01-5646	G1G01-5329	+
TU1G01-6310	G1G01-5051	+
TU1G01-294	G1G01-255 // G1G01-254 // G1G01-253	-
TU1G01-1108	G1G01-1053	-
TU1G01-1896	G1G01-1800	-
TU1G01-3612	G1G01-3389	+
TU1G01-4270	G1G01-3983 // G1G01-3982 // G1G01-3981	-
TU1G01-7288	G1G01-621	-
TU1G01-2562	G1G01-2400 // G1G01-2399	-
TU1G01-4956	G1G01-4688 // G1G01-4687	+
TU1G01-5618	G1G01-5305 // G1G01-5304	-
TU1G01-6280	G1G01-5210	-
TU1G01-2910	G1G01-2713 // G1G01-2712	-
TU1G01-108	G1G01-87 // G1G01-86	-
TU1G01-1866	G1G01-1779 // G1G01-1778 // G1G01-1777 // G1G01-1776 // G1G01-1775 // G1G01-1774 // G1G01-1773 // G1G01-1772 // G1G01-1771 // G1G01-1770	+
TU1G01-3584	G1G01-3371	+
TU1G01-4240	G1G01-3951 // G1G01-3950	-
TU1G01-726	G1G01-702 // G1G01-701	-
TU1G01-2534	G1G01-2380	-
TU1G01-4922	G1G01-4664 // G1G01-4663 // G1G01-4662 // G1G01-4661 // G1G01-4660 // G1G01-4659 // G1G01-4658	-
TU1G01-5590	G1G01-5276	+
TU1G01-6252	G1G01-5315	+
TU1G01-2880	G1G01-2690 // G1G01-2689	+
TU1G01-1050	G1G01-990	-
TU1G01-1838	G1G01-1748 // G1G01-1747 // G1G01-1746 // G1G01-1745	-
TU1G01-3550	G1G01-3335	+
TU1G01-4212	G1G01-3926	+
TU1G01-7230	G1G01-1015	-
TU1G01-2504	G1G01-2350 // G1G01-2349	-
TU1G01-4886	G1G01-4620 // G1G01-4621	-
TU1G01-5560	G1G01-5247 // G1G01-5246	-
TU1G01-6222	G1G01-5451	+
TU1G01-2852	G1G01-2671	-
TU1G01-1020	G1G01-959	-
TU1G01-1808	G1G01-1720	+
TU1G01-3520	G1G01-3307 // G1G01-3306	-
TU1G01-4184	G1G01-3901	-
TU1G01-7200	G1G01-1150	+
TU1G01-2476	G1G01-2321	+
TU1G01-4856	G1G01-4587 // G1G01-4586	+
TU1G01-5532	G1G01-5220 // G1G01-5219	-
TU1G01-6196	G1G01-5508	-
TU1G01-2822	G1G01-2649	+
TU1G01-1780	G1G01-1694	+
TU1G01-3492	G1G01-3276	-
TU1G01-4156	G1G01-3886	+
TU1G01-7174	G1G01-1282	+
TU1G01-2444	G1G01-2297	+
TU1G01-4822	G1G01-4555 // G1G01-4554	-
TU1G01-5500	G1G01-5186	+
TU1G01-6166	G1G01-5598	+
TU1G01-2796	G1G01-2622 // G1G01-2621	-
TU1G01-1752	G1G01-1661 // G1G01-1660 // G1G01-1659 // G1G01-1658 // G1G01-1657 // G1G01-1656	+
TU1G01-1746	G1G01-1652 // G1G01-1651	+
TU1G01-3458	G1G01-3230	+
TU1G01-4120	G1G01-3853	+
TU1G01-714	G1G01-691	-
TU1G01-2410	G1G01-2270	+
TU1G01-4790	G1G01-4526 // G1G01-4525 // G1G01-4524 // G1G01-4523	+
TU1G01-5466	G1G01-5158 // G1G01-5157	+
TU1G01-6132	G1G01-5711	-
TU1G01-2760	G1G01-2595	-
TU1G01-1718	G1G01-1620 // G1G01-1619	-
TU1G01-3428	G1G01-3199	+
TU1G01-4092	G1G01-3824	-
TU1G01-7110	G1G01-1618	+
TU1G01-2382	G1G01-2250 // G1G01-2249	+
TU1G01-4760	G1G01-4490 // G1G01-4489	-
TU1G01-5438	G1G01-5128	+
TU1G01-6102	G1G01-5748	+
TU1G01-1688	G1G01-1593	-
TU1G01-34	G1G01-26	-
TU1G01-7080	G1G01-1821	+
TU1G01-2354	G1G01-2227	+
TU1G01-4732	G1G01-4463	-
TU1G01-5408	G1G01-5104 // G1G01-5103	-
TU1G01-6074	G1G01-5758 // G1G01-5757 // G1G01-5756	+
TU1G01-166	G1G01-141	+
TU1G01-3370	G1G01-3153 // G1G01-3152 // G1G01-3151	+
TU1G01-7052	G1G01-1922	+
TU1G01-2324	G1G01-2201	-
TU1G01-404	G1G01-366	+
TU1G01-4702	G1G01-4420	+
TU1G01-982	G1G01-916	+
TU1G01-5386	G1G01-5089	-
TU1G01-6044	G1G01-5703 // G1G01-5702	-
TU1G01-1630	G1G01-1544 // G1G01-1543	-
TU1G01-3340	G1G01-3125 // G1G01-3124 // G1G01-3123	+
TU1G01-7022	G1G01-1970	-
TU1G01-2296	G1G01-2181 // G1G01-2180 // G1G01-2179 // G1G01-2178	+
TU1G01-4010	G1G01-3766	+
TU1G01-4674	G1G01-4382	+
TU1G01-954	G1G01-891	+
TU1G01-5358	G1G01-5066	+
TU1G01-6016	G1G01-5681	-
TU1G01-1600	G1G01-1517 // G1G01-1516	+
TU1G01-668	G1G01-643	-
TU1G01-3312	G1G01-3097	-
TU1G01-6996	G1G01-2160	+
TU1G01-2266	G1G01-2143	+
TU1G01-3984	G1G01-3744	-
TU1G01-4644	G1G01-4360 // G1G01-4359	+
TU1G01-924	G1G01-866 // G1G01-865	-
TU1G01-5324	G1G01-5028	-
TU1G01-5990	G1G01-5661	+
TU1G01-1574	G1G01-1496	-
TU1G01-6650	G1G01-3801	-
TU1G01-3282	G1G01-3076	-
TU1G01-6966	G1G01-2273	+
TU1G01-2238	G1G01-2120	+
TU1G01-3956	G1G01-3710 // G1G01-3709 // G1G01-3708 // G1G01-3707	-
TU1G01-4616	G1G01-4335	+
TU1G01-896	G1G01-842 // G1G01-841	+
TU1G01-5296	G1G01-5004 // G1G01-5003	+
TU1G01-5960	G1G01-5635	-
TU1G01-1544	G1G01-1466	+
TU1G01-6620	G1G01-3903	+
TU1G01-3254	G1G01-3054	+
TU1G01-1428	G1G01-1339	+
TU1G01-6938	G1G01-2372	+
TU1G01-2208	G1G01-2093	+
TU1G01-3926	G1G01-3681	-
TU1G01-4588	G1G01-4304	-
TU1G01-866	G1G01-816 // G1G01-815 // G1G01-814 // G1G01-813	-
TU1G01-5266	G1G01-4974	-
TU1G01-5932	G1G01-5614	-
TU1G01-1516	G1G01-1444	-
TU1G01-6594	G1G01-3985	+
TU1G01-3224	G1G01-3032	-
TU1G01-140	G1G01-119 // G1G01-118	-
TU1G01-6908	G1G01-2512	-
TU1G01-2180	G1G01-2074	+
TU1G01-3898	G1G01-3660 // G1G01-3659 // G1G01-3658	+
TU1G01-4556	G1G01-4283	+
TU1G01-838	G1G01-781	+
TU1G01-5238	G1G01-4952	-
TU1G01-5902	G1G01-5590	+
TU1G01-1486	G1G01-1408 // G1G01-1407	+
TU1G01-6564	G1G01-4048	-
TU1G01-3198	G1G01-3006 // G1G01-3005	-
TU1G01-1372	G1G01-1291	-
TU1G01-688	G1G01-668 // G1G01-667 // G1G01-666 // G1G01-665	+
TU1G01-2152	G1G01-2048	-
TU1G01-3868	G1G01-3636 // G1G01-3635	-
TU1G01-4524	G1G01-4250 // G1G01-4249	-
TU1G01-808	G1G01-758	-
TU1G01-5208	G1G01-4919 // G1G01-4918 // G1G01-4917 // G1G01-4916 // G1G01-4915	-
TU1G01-5872	G1G01-5556 // G1G01-5555 // G1G01-5554	+
TU1G01-1456	G1G01-1381 // G1G01-1380 // G1G01-1379	+
TU1G01-6536	G1G01-4167	+
TU1G01-3168	G1G01-2974 // G1G01-2973	+
TU1G01-1342	G1G01-1266	-
TU1G01-6850	G1G01-2726	+
TU1G01-2122	G1G01-2017 // G1G01-2016	-
TU1G01-384	G1G01-341	+
TU1G01-4496	G1G01-4225	-
TU1G01-780	G1G01-744	-
TU1G01-5180	G1G01-4890 // G1G01-4889 // G1G01-4888	-
TU1G01-5842	G1G01-5528	-
TU1G01-6506	G1G01-4309	+
TU1G01-314	G1G01-276	+
TU1G01-1314	G1G01-1246 // G1G01-1245	+
TU1G01-6820	G1G01-2833	-
TU1G01-2094	G1G01-1989 // G1G01-1988	-
TU1G01-3810	G1G01-3573	+
TU1G01-4466	G1G01-4201	+
TU1G01-752	G1G01-722	+
TU1G01-5152	G1G01-4858 // G1G01-4857	-
TU1G01-5814	G1G01-5496	-
TU1G01-6478	G1G01-4422	+
TU1G01-3110	G1G01-2908	-
TU1G01-1284	G1G01-1227	+
TU1G01-6794	G1G01-3078	+
TU1G01-2064	G1G01-1960 // G1G01-1959	-
TU1G01-3782	G1G01-3554 // G1G01-3553	+
TU1G01-4438	G1G01-4182 // G1G01-4181 // G1G01-4180 // G1G01-4179	+
TU1G01-7445	G1G01-4619 // G1G01-4620	-
TU1G01-2730	G1G01-2564 // G1G01-2563	-
TU1G01-5122	G1G01-4830	-
TU1G01-5786	G1G01-5468	+
TU1G01-6448	G1G01-4563	-
TU1G01-3080	G1G01-2877	-
TU1G01-1254	G1G01-1200 // G1G01-1199	+
TU1G01-6764	G1G01-3197	+
TU1G01-2036	G1G01-1939	+
TU1G01-3754	G1G01-3530	+
TU1G01-4408	G1G01-4139	-
TU1G01-7426	G1G01-77	-
TU1G01-2700	G1G01-2536	+
TU1G01-5094	G1G01-4806	+
TU1G01-5758	G1G01-5432	+
TU1G01-642	G1G01-623 // G1G01-622	+
TU1G01-3048	G1G01-2847 // G1G01-2846	-
TU1G01-1224	G1G01-1174	+
TU1G01-6736	G1G01-3370	-
TU1G01-2006	G1G01-1908	+
TU1G01-3724	G1G01-3488 // G1G01-3487	+
TU1G01-4380	G1G01-4103	-
TU1G01-74	G1G01-54	-
TU1G01-2672	G1G01-2499	+
TU1G01-5064	G1G01-4765 // G1G01-4764	-
TU1G01-5728	G1G01-5404	-
TU1G01-6392	G1G01-4829	+
TU1G01-302	G1G01-265 // G1G01-264	-
TU1G01-1198	G1G01-1152 // G1G01-1151	-
TU1G01-6706	G1G01-3529	-
TU1G01-1978	G1G01-1874	+
TU1G01-3696	G1G01-3458	+
TU1G01-4352	G1G01-4081 // G1G01-4080	-
TU1G01-7370	G1G01-294	+
TU1G01-2642	G1G01-2474	+
TU1G01-5036	G1G01-4743 // G1G01-4742	-
TU1G01-570	G1G01-545	-
TU1G01-6362	G1G01-4902	-
TU1G01-2992	G1G01-2785 // G1G01-2784	+
TU1G01-1162	G1G01-1103	+
TU1G01-1948	G1G01-1849	-
TU1G01-3666	G1G01-3433 // G1G01-3432 // G1G01-3431 // G1G01-3430	-
TU1G01-4322	G1G01-4044 // G1G01-4043 // G1G01-4042 // G1G01-4041 // G1G01-4040 // G1G01-4039 // G1G01-4038	+
TU1G01-7340	G1G01-363	+
TU1G01-2614	G1G01-2458	+
TU1G01-5006	G1G01-4720	+
TU1G01-5670	G1G01-5348	+
TU1G01-6334	G1G01-4950	-
TU1G01-2962	G1G01-2753	-
TU1G01-1132	G1G01-1077	-
TU1G01-192	G1G01-163 // G1G01-162	-
TU1G01-3636	G1G01-3403	-
TU1G01-4294	G1G01-4014 // G1G01-4013 // G1G01-4012 // G1G01-4011	-
TU1G01-7312	G1G01-533	-
TU1G01-2586	G1G01-2431	+
TU1G01-498	G1G01-458 // G1G01-457 // G1G01-456	+
TU1G01-5640	G1G01-5325	+
TU1G01-6304	G1G01-5059	+
TU1G01-2934	G1G01-2732 // G1G01-2731	+
TU1G01-1102	G1G01-1049	-
TU1G01-1890	G1G01-1796 // G1G01-1795	+
TU1G01-3606	G1G01-3386 // G1G01-3385	+
TU1G01-4264	G1G01-3973	-
TU1G01-7282	G1G01-692	+
TU1G01-2558	G1G01-2396	-
TU1G01-4950	G1G01-4684	+
TU1G01-5612	G1G01-5297	+
TU1G01-6276	G1G01-5242	+
TU1G01-2904	G1G01-2707	+
TU1G01-1074	G1G01-1007	+
TU1G01-1860	G1G01-1767	+
TU1G01-358	G1G01-319	+
TU1G01-4236	G1G01-3947 // G1G01-3946 // G1G01-3945 // G1G01-3944 // G1G01-3943 // G1G01-3942	-
TU1G01-7254	G1G01-870	-
TU1G01-2528	G1G01-2375	+
TU1G01-4918	G1G01-4655 // G1G01-4656	-
TU1G01-5584	G1G01-5272 // G1G01-5271	-
TU1G01-6246	G1G01-5354	+
TU1G01-2876	G1G01-2687	-
TU1G01-1044	G1G01-986 // G1G01-985	-
TU1G01-1832	G1G01-1738	-
TU1G01-3544	G1G01-3328	+
TU1G01-4206	G1G01-3922	+
TU1G01-7224	G1G01-1048	+
TU1G01-250	G1G01-214 // G1G01-213	+
TU1G01-488	G1G01-447 // G1G01-446	+
TU1G01-5556	G1G01-5243	-
TU1G01-6218	G1G01-5477	-
TU1G01-2846	G1G01-2668 // G1G01-2667 // G1G01-2666	-
TU1G01-1016	G1G01-957	-
TU1G01-1802	G1G01-1717 // G1G01-1716 // G1G01-1715	+
TU1G01-3516	G1G01-3303	+
TU1G01-418	G1G01-381	-
TU1G01-7198	G1G01-1157	+
TU1G01-2470	G1G01-2317	-
TU1G01-4850	G1G01-4582	+
TU1G01-5526	G1G01-5213	-
TU1G01-6190	G1G01-5533	+
TU1G01-2818	G1G01-2646	+
TU1G01-1776	G1G01-1689	+
TU1G01-3486	G1G01-3272 // G1G01-3271 // G1G01-3270 // G1G01-3269 // G1G01-3268	-
TU1G01-4150	G1G01-3881	+
TU1G01-7168	G1G01-1318	-
TU1G01-244	G1G01-207 // G1G01-206 // G1G01-205 // G1G01-204	+
TU1G01-4818	G1G01-4552	-
TU1G01-5496	G1G01-5181	+
TU1G01-6160	G1G01-5618	-
TU1G01-2790	G1G01-2618 // G1G01-2617	+
TU1G01-6156	G1G01-5620	-
TU1G01-2784	G1G01-2610	-
TU1G01-1740	G1G01-1644	+
TU1G01-3452	G1G01-3224	-
TU1G01-4116	G1G01-3845	-
TU1G01-7134	G1G01-1483	-
TU1G01-2404	G1G01-2264 // G1G01-2263	+
TU1G01-4784	G1G01-4519	-
TU1G01-5460	G1G01-5153 // G1G01-5152 // G1G01-5151	-
TU1G01-6126	G1G01-5714	+
TU1G01-2756	G1G01-2588	-
TU1G01-1712	G1G01-1612	-
TU1G01-3422	G1G01-3193	+
TU1G01-4086	G1G01-3818	-
TU1G01-7104	G1G01-1683	+
TU1G01-2378	G1G01-2247	+
TU1G01-4756	G1G01-4487	-
TU1G01-5432	G1G01-5121 // G1G01-5120 // G1G01-5119	+
TU1G01-6098	G1G01-5755	-
TU1G01-1682	G1G01-1587	+
TU1G01-3394	G1G01-3172	+
TU1G01-7076	G1G01-1840	+
TU1G01-2348	G1G01-2223 // G1G01-2222	+
TU1G01-4062	G1G01-3804	-
TU1G01-4726	G1G01-4450	-
TU1G01-5402	G1G01-5100	+
TU1G01-6068	G1G01-5746 // G1G01-5745 // G1G01-5744 // G1G01-5743	+
TU1G01-1654	G1G01-1561	+
TU1G01-3364	G1G01-3145 // G1G01-3144	+
TU1G01-7046	G1G01-1925	-
TU1G01-232	G1G01-192	+
TU1G01-4034	G1G01-3782	+
TU1G01-4698	G1G01-4417 // G1G01-4416 // G1G01-4415 // G1G01-4414 // G1G01-4413	+
TU1G01-978	G1G01-912	+
TU1G01-5380	G1G01-5082	-
TU1G01-604	G1G01-587	-
TU1G01-1624	G1G01-1538	-
TU1G01-3336	G1G01-3120	+
TU1G01-7018	G1G01-1974	+
TU1G01-2290	G1G01-2173	-
TU1G01-4004	G1G01-3758	-
TU1G01-4668	G1G01-4379	-
TU1G01-948	G1G01-884	+
TU1G01-5348	G1G01-5055	-
TU1G01-6010	G1G01-5678	+
TU1G01-1598	G1G01-1515	-
TU1G01-6674	G1G01-3729	+
TU1G01-3306	G1G01-3093	+
TU1G01-6990	G1G01-2191	+
TU1G01-2260	G1G01-2139 // G1G01-2138	-
TU1G01-398	G1G01-361	+
TU1G01-464	G1G01-421	-
TU1G01-92	G1G01-71	-
TU1G01-532	G1G01-489	+
TU1G01-5984	G1G01-5657	+
TU1G01-1568	G1G01-1493	-
TU1G01-6644	G1G01-3840	-
TU1G01-3278	G1G01-3074	-
TU1G01-6960	G1G01-2305	-
TU1G01-2232	G1G01-2115	-
TU1G01-3950	G1G01-3704	+
TU1G01-4610	G1G01-4331 // G1G01-4330 // G1G01-4329 // G1G01-4328	+
TU1G01-890	G1G01-838 // G1G01-837	-
TU1G01-5290	G1G01-4998 // G1G01-4997 // G1G01-4996	-
TU1G01-5956	G1G01-5633	+
TU1G01-154	G1G01-132 // G1G01-131	+
TU1G01-6616	G1G01-3908	-
TU1G01-3248	G1G01-3051	+
TU1G01-1422	G1G01-1336	+
TU1G01-6932	G1G01-2387	-
TU1G01-2202	G1G01-2087 // G1G01-2086 // G1G01-2085	-
TU1G01-3920	G1G01-3676	+
TU1G01-4582	G1G01-4299	-
TU1G01-860	G1G01-806 // G1G01-805	-
TU1G01-5260	G1G01-4971	+
TU1G01-5926	G1G01-5609	-
TU1G01-1510	G1G01-1441	+
TU1G01-6588	G1G01-3996	+
TU1G01-322	G1G01-286 // G1G01-285 // G1G01-284	-
TU1G01-1396	G1G01-1313	-
TU1G01-6902	G1G01-2532	+
TU1G01-2176	G1G01-2071 // G1G01-2070 // G1G01-2069	+
TU1G01-3892	G1G01-3654	-
TU1G01-4550	G1G01-4279	+
TU1G01-832	G1G01-778 // G1G01-777	-
TU1G01-5232	G1G01-4946 // G1G01-4945 // G1G01-4944 // G1G01-4943	+
TU1G01-5898	G1G01-5586	-
TU1G01-1480	G1G01-1401	-
TU1G01-656	G1G01-636 // G1G01-635	-
TU1G01-3192	G1G01-3000	-
TU1G01-1366	G1G01-1284 // G1G01-1283	-
TU1G01-6874	G1G01-2616	-
TU1G01-2146	G1G01-2045 // G1G01-2044 // G1G01-2043 // G1G01-2042 // G1G01-2041 // G1G01-2040 // G1G01-2039	-
TU1G01-3862	G1G01-3632	+
TU1G01-452	G1G01-415 // G1G01-414 // G1G01-413 // G1G01-412 // G1G01-411 // G1G01-410	-
TU1G01-802	G1G01-755	+
TU1G01-5202	G1G01-4911	-
TU1G01-5866	G1G01-5550 // G1G01-5549 // G1G01-5548	+
TU1G01-1450	G1G01-1376	-
TU1G01-6530	G1G01-4178	-
TU1G01-3162	G1G01-2969	-
TU1G01-1338	G1G01-1264 // G1G01-1263	+
TU1G01-6844	G1G01-2736	-
TU1G01-2118	G1G01-2008	+
TU1G01-3834	G1G01-3603 // G1G01-3602	-
TU1G01-4490	G1G01-4221 // G1G01-4220 // G1G01-4219	+
TU1G01-776	G1G01-742	-
TU1G01-5176	G1G01-4882 // G1G01-4881	+
TU1G01-5838	G1G01-5526	-
TU1G01-6500	G1G01-4332	-
TU1G01-3134	G1G01-2933	+
TU1G01-1308	G1G01-1240	+
TU1G01-6816	G1G01-2883	-
TU1G01-2088	G1G01-1978 // G1G01-1977	+
TU1G01-3804	G1G01-3570	-
TU1G01-4460	G1G01-4197	+
TU1G01-746	G1G01-718	+
TU1G01-2754	G1G01-2587	-
TU1G01-5146	G1G01-4853	-
TU1G01-5808	G1G01-5491 // G1G01-5490	-
TU1G01-6472	G1G01-4448	+
TU1G01-3104	G1G01-2904	-
TU1G01-128	G1G01-104	+
TU1G01-6788	G1G01-3103	+
TU1G01-206	G1G01-172	+
TU1G01-3778	G1G01-3548 // G1G01-3547	-
TU1G01-4432	G1G01-4172	+
TU1G01-7442	G1G01-1086 // G1G01-1085 // G1G01-1083 // G1G01-1084	+
TU1G01-2724	G1G01-2558	+
TU1G01-5118	G1G01-4826	+
TU1G01-5780	G1G01-5463 // G1G01-5462	-
TU1G01-6442	G1G01-4573	-
TU1G01-3076	G1G01-2873 // G1G01-2872 // G1G01-2871 // G1G01-2870	-
TU1G01-1248	G1G01-1193	-
TU1G01-676	G1G01-652	+
TU1G01-2030	G1G01-1934	-
TU1G01-3748	G1G01-3526 // G1G01-3525 // G1G01-3524	+
TU1G01-4402	G1G01-4130 // G1G01-4129 // G1G01-4128 // G1G01-4127 // G1G01-4126 // G1G01-4125 // G1G01-4124 // G1G01-4123 // G1G01-4122 // G1G01-4121 // G1G01-4120	-
TU1G01-7420	G1G01-85	+
TU1G01-2696	G1G01-2534 // G1G01-2533	-
TU1G01-5088	G1G01-4802 // G1G01-4801 // G1G01-4800	-
TU1G01-5752	G1G01-5429	-
TU1G01-6414	G1G01-4791	-
TU1G01-3042	G1G01-2842 // G1G01-2841	+
TU1G01-122	G1G01-99	-
TU1G01-6730	G1G01-3436	+
TU1G01-2000	G1G01-1901 // G1G01-1900 // G1G01-1899	+
TU1G01-372	G1G01-334 // G1G01-333	-
TU1G01-4376	G1G01-4099	+
TU1G01-7394	G1G01-202	-
TU1G01-2666	G1G01-2496 // G1G01-2495 // G1G01-2494	+
TU1G01-506	G1G01-465	-
TU1G01-5722	G1G01-5400	+
TU1G01-6386	G1G01-4836	+
TU1G01-3014	G1G01-2822 // G1G01-2821	-
TU1G01-1186	G1G01-1143 // G1G01-1142 // G1G01-1141	-
TU1G01-6700	G1G01-3558	-
TU1G01-1972	G1G01-1869 // G1G01-1868	+
TU1G01-3690	G1G01-3453	-
TU1G01-4346	G1G01-4077	-
TU1G01-7364	G1G01-299	+
TU1G01-2638	G1G01-2472	-
TU1G01-5030	G1G01-4739 // G1G01-4738	-
TU1G01-5694	G1G01-5373 // G1G01-5372	-
TU1G01-6358	G1G01-4904	-
TU1G01-2986	G1G01-2780	+
TU1G01-1158	G1G01-1101	-
TU1G01-1942	G1G01-1846	+
TU1G01-3660	G1G01-3422 // G1G01-3421	+
TU1G01-4318	G1G01-4034	-
TU1G01-7336	G1G01-390	-
TU1G01-2608	G1G01-2455	+
TU1G01-5000	G1G01-4716	+
TU1G01-5664	G1G01-5345	+
TU1G01-6328	G1G01-4958	+
TU1G01-2958	G1G01-2751	+
TU1G01-1126	G1G01-1069	-
TU1G01-1914	G1G01-1819	-
TU1G01-3630	G1G01-3398	+
TU1G01-4288	G1G01-4003	+
TU1G01-7306	G1G01-552	+
TU1G01-2580	G1G01-2424 // G1G01-2423 // G1G01-2422 // G1G01-2421	+
TU1G01-4974	G1G01-4699	+
TU1G01-5636	G1G01-5323	+
TU1G01-630	G1G01-612	-
TU1G01-2928	G1G01-2725	-
TU1G01-1098	G1G01-1044 // G1G01-1043	+
TU1G01-1884	G1G01-1792	-
TU1G01-3600	G1G01-3379	+
TU1G01-426	G1G01-388 // G1G01-387	-
TU1G01-7278	G1G01-709	-
TU1G01-2552	G1G01-2393 // G1G01-2392	+
TU1G01-4944	G1G01-4677	-
TU1G01-5606	G1G01-5294 // G1G01-5293 // G1G01-5292	+
TU1G01-6270	G1G01-5252	+
TU1G01-290	G1G01-251	+
TU1G01-1068	G1G01-1002	-
