ReferenceGene,Subsystem,General_subsystem,CP043320,CP063780,CP039749,AP022324,CP000712,CP026386,CP012831,CP015225,CP043179,CP041013,CP061848,CP053697,CP076683,CP020100,CP060288,AP014655.1,CP007511.1,CP065866,CP022562,LS483372,CP069317,CP014784,CP065867,CP024478,CP013144,CP073105,CP038001,CP022561,CP045416,CP045349,AE004091.2,CP068238,CP012830,LR590473,CP065865,CP008896,CP061335,CP032419,CP045359,AP024503,CP008749.1,CP070982,CP050291,CP022560,CP058975
PA14_52690,Arginine and Proline Metabolism,Amino acids,,IH404_21650,FA030_20445,PPTS312_40970,Pput_1436,C3F42_25175,AO356_18735,TK06_28215,FQ342_19795,FIU24_09140,IE322_03260,HNE05_05350,,BVH74_10310,H7683_18690,,,I9X27_21845,CHR29_19955,NCTC10038_04712,JQN61_09485,A0T30_14675,I9X29_22565,CS390_07045,AOU28_27720,,DCC84_25965,CHN49_07460,,FIV02_08475,PA0897,JHW37_21830,AO353_03015,NCTC13359_05118,I9X26_24900,HZ99_09905,ICJ54_20390,D3880_07850,FIU98_08455,PproGo58_43590,OU9_00907,JYG34_18530,HAV28_07275,CHR26_16450,HXW90_24340
PA14_12010,Arginine and Proline Metabolism,Amino acids,FXF61_03725,IH404_24985,FA030_01705,PPTS312_49520,Pput_4686,C3F42_14105,AO356_15290,TK06_24925,FQ342_14925,FIU24_27890,IE322_24565,HNE05_14955,KQ248_07685,BVH74_09130,H7683_05535,MT1_0943,CL52_18220,I9X27_04745,CHR29_24635,NCTC10038_05352,JQN61_18285,A0T30_05090,I9X29_04820,CS390_21455,AOU28_15185,KCX70_19305,DCC84_30005,CHN49_24675,FIU84_18990,FIV02_20280,PA4007,JHW37_04605,AO353_06495,NCTC13359_01402,I9X26_05090,HZ99_13605,ICJ54_24520,D3880_19555,FIU98_20265,PproGo58_51620,OU9_04058,JYG34_22795,HAV28_22410,CHR26_10755,HXW90_27775
PA14_60420,Arginine and Proline Metabolism,Amino acids,FXF61_09275,IH404_23605,FA030_23820,PPTS312_11760,Pput_0723,C3F42_13035,AO356_15815,TK06_25450,FQ342_15555,FIU24_05765,IE322_17840,HNE05_14495,KQ248_00300,BVH74_08455,H7683_04870,MT1_4007,CL52_04075,I9X27_24540,CHR29_04000,NCTC10038_05119,,A0T30_18870,I9X29_25575,CS390_03600,AOU28_25180,KCX70_03720,DCC84_29430,CHN49_03595,FIU84_04485,FIV02_19530,PA4565,JHW37_24480,AO353_14115,NCTC13359_05794,I9X26_28340,HZ99_12980,ICJ54_05600,D3880_19095,FIU98_19515,PproGo58_50340,OU9_04642,JYG34_03860,HAV28_03615,CHR26_03855,HXW90_26345
PA14_18610,Arginine and Proline Metabolism,Amino acids,FXF61_08520,IH404_07040,FA030_04490,PPTS312_43820,Pput_1120,C3F42_23900,AO356_18275,TK06_27800,FQ342_17910,FIU24_25105,IE322_01705,HNE05_11615,KQ248_11470,BVH74_10910,H7683_03195,MT1_1599,CL52_06195,I9X27_07260,CHR29_21815,NCTC10038_01336,JQN61_11015,A0T30_15645,I9X29_07540,CS390_19130,AOU28_12760,KCX70_07225,DCC84_27680,CHN49_05620,FIU84_15470,FIV02_17735,PA3537,JHW37_07150,AO353_04155,NCTC13359_01951,I9X26_07915,HZ99_11370,ICJ54_21945,D3880_16525,FIU98_17720,PproGo58_46080,OU9_03576,JYG34_05605,HAV28_19970,CHR26_13745,HXW90_06435
PA14_68340,Arginine and Proline Metabolism,Amino acids,FXF61_08520,IH404_22265,FA030_27260,PPTS312_14780,Pput_1037,C3F42_22915,AO356_05275,TK06_14590,FQ342_19190,FIU24_02325,IE322_16485,HNE05_14600,KQ248_06480,BVH74_09380,H7683_15705,MT1_0739,CL52_08860,I9X27_27720,CHR29_05355,NCTC10038_04854,JQN61_11410,A0T30_00280,I9X29_28805,CS390_05110,AOU28_21915,KCX70_20470,DCC84_26775,CHN49_05225,FIU84_19870,FIV02_05470,PA5172,JHW37_27700,AO353_03475,NCTC13359_06483,I9X26_31785,HZ99_10470,ICJ54_06995,D3880_21035,FIU98_05460,PproGo58_44760,OU9_05280,JYG34_21030,HAV28_05350,CHR26_02450,HXW90_24905
PA14_58630,Arginine and Proline Metabolism,Amino acids,FXF61_01485,IH404_05430,FA030_22910,PPTS312_13820,Pput_0894,C3F42_22645,AO356_07310,TK06_16650,FQ342_06530,FIU24_06675,IE322_16950,HNE05_01535,KQ248_09515,BVH74_07890,H7683_14530,MT1_1226,CL52_04250,I9X27_24280,CHR29_04875,NCTC10038_01002,JQN61_12075,A0T30_05390,I9X29_25315,CS390_04720,AOU28_25475,KCX70_04495,DCC84_29165,CHN49_04535,FIU84_04660,FIV02_04180,PA4519,JHW37_24155,AO353_05445,NCTC13359_05620,I9X26_27460,HZ99_12710,ICJ54_06530,D3880_18770,FIU98_04170,PproGo58_08450,OU9_04593,JYG34_04870,HAV28_04555,CHR26_02920,HXW90_04675
PA14_03430,Arginine and Proline Metabolism,Amino acids,FXF61_13880,IH404_01900,FA030_30740,PPTS312_06920,Pput_0228,C3F42_18370,AO356_10720,TK06_20075,FQ342_10000,FIU24_31750,IE322_20305,HNE05_17180,KQ248_05020,BVH74_02390,H7683_11320,MT1_0435,CL52_00825,I9X27_01345,CHR29_01170,NCTC10038_00208,JQN61_01180,A0T30_02725,I9X29_01350,CS390_14150,AOU28_18920,KCX70_22105,DCC84_00910,CHN49_00950,FIU84_10675,FIV02_01155,PA0265,JHW37_01225,AO353_11505,NCTC13359_00632,I9X26_01385,HZ99_03395,ICJ54_02930,D3880_00565,FIU98_01155,PproGo58_01780,OU9_00268,JYG34_00905,HAV28_24280,CHR26_06545,HXW90_00975
PA14_54170,Arginine and Proline Metabolism,Amino acids,FXF61_13880,IH404_03135,FA030_21055,PPTS312_50830,Pput_4819,C3F42_20355,AO356_09015,TK06_18425,FQ342_08445,FIU24_08530,IE322_23875,HNE05_15075,KQ248_20580,BVH74_14595,H7683_15720,MT1_3504,CL52_15195,I9X27_22440,CHR29_25280,NCTC10038_00497,JQN61_18995,A0T30_07185,I9X29_23170,CS390_02410,AOU28_27230,KCX70_16480,DCC84_02400,CHN49_25395,FIU84_06065,FIV02_05485,PA0782,JHW37_22470,AO353_12810,NCTC13359_05243,I9X26_25630,HZ99_20370,ICJ54_25365,D3880_16725,FIU98_05475,PproGo58_04930,OU9_00795,JYG34_23570,HAV28_02330,CHR26_10095,HXW90_02245
PA14_05150,Arginine and Proline Metabolism,Amino acids,FXF61_01410,IH404_26770,FA030_31425,PPTS312_01940,Pput_4968,C3F42_19595,AO356_13420,TK06_23020,FQ342_12975,FIU24_31065,IE322_23110,HNE05_16875,KQ248_06540,BVH74_05850,H7683_07315,MT1_0751,CL52_19060,I9X27_02010,CHR29_26035,NCTC10038_05733,JQN61_19780,A0T30_03480,I9X29_02020,CS390_01655,AOU28_19585,KCX70_20410,DCC84_31895,CHN49_26160,FIU84_19910,FIV02_22110,PA0393,JHW37_01865,AO353_08165,NCTC13359_00774,I9X26_02045,HZ99_15920,ICJ54_00245,D3880_01450,FIU98_22090,PproGo58_55200,OU9_00403,JYG34_01450,HAV28_01560,CHR26_09340,HXW90_29470
PA14_52660,Arginine and Proline Metabolism,Amino acids,,IH404_21640,FA030_20435,PPTS312_40950,Pput_1438,C3F42_25185,AO356_18745,TK06_28225,FQ342_19805,FIU24_09150,IE322_03270,HNE05_05360,,,H7683_18700,,,I9X27_21835,CHR29_19945,NCTC10038_04710,JQN61_09475,A0T30_14665,I9X29_22555,CS390_07055,AOU28_27730,,DCC84_25955,CHN49_07470,,FIV02_08485,PA0899,JHW37_21820,AO353_03005,NCTC13359_05116,I9X26_24890,HZ99_09895,ICJ54_20380,D3880_07860,FIU98_08465,PproGo58_43570,OU9_00909,JYG34_18520,HAV28_07285,CHR26_16460,HXW90_24330
PA14_52630,Arginine and Proline Metabolism,Amino acids,,IH404_21630,FA030_20425,PPTS312_40930,Pput_1440,C3F42_25195,AO356_18755,TK06_28235,FQ342_19815,FIU24_09160,IE322_03280,HNE05_05370,KQ248_18300,,H7683_18710,MT1_2955,,I9X27_21825,CHR29_19935,NCTC10038_04708,JQN61_09465,A0T30_14655,I9X29_22545,CS390_07065,AOU28_27740,KCX70_08790,DCC84_25945,CHN49_07480,FIU84_07935,FIV02_08495,PA0901,JHW37_21810,AO353_02995,NCTC13359_05114,I9X26_24880,HZ99_09885,ICJ54_20370,D3880_07870,FIU98_08475,PproGo58_43550,OU9_00911,JYG34_18510,HAV28_07295,CHR26_16470,HXW90_24320
PA14_52670,Arginine and Proline Metabolism,Amino acids,FXF61_13880,IH404_21645,FA030_20440,PPTS312_40960,Pput_1437,C3F42_25180,AO356_18740,TK06_28220,FQ342_19800,FIU24_09145,IE322_03265,HNE05_05355,KQ248_15785,BVH74_06005,H7683_18695,MT1_2442,CL52_00825,I9X27_21840,CHR29_19950,NCTC10038_04711,JQN61_09480,A0T30_14670,I9X29_22560,CS390_07050,AOU28_27725,KCX70_11340,DCC84_25960,CHN49_07465,FIU84_10675,FIV02_08480,PA0898,JHW37_21825,AO353_03010,NCTC13359_05117,I9X26_24895,HZ99_09900,ICJ54_20385,D3880_07855,FIU98_08460,PproGo58_43580,OU9_00908,JYG34_18525,HAV28_07280,CHR26_16455,HXW90_24335
PA14_42690,Arginine and Proline Metabolism,Amino acids,FXF61_07505,IH404_09850,FA030_16300,PPTS312_18870,Pput_3848,C3F42_08340,AO356_03115,TK06_12360,FQ342_21125,FIU24_13290,IE322_14515,HNE05_06375,KQ248_16885,BVH74_15895,H7683_21845,MT1_2672,CL52_07985,I9X27_17305,CHR29_07360,NCTC10038_01948,JQN61_14275,A0T30_10990,I9X29_17695,CS390_17770,AOU28_03370,KCX70_09745,DCC84_09545,CHN49_20300,FIU84_12305,FIV02_12175,PA1687,JHW37_16945,AO353_02195,NCTC13359_04295,I9X26_20475,HZ99_27450,,D3880_13270,FIU98_12155,PproGo58_40990,OU9_01697,JYG34_07485,,CHR26_00430,HXW90_09335
PA14_03810,Arginine and Proline Metabolism,Amino acids,,IH404_02405,FA030_30885,PPTS312_07450,Pput_0281,C3F42_15755,AO356_10030,TK06_19385,FQ342_09380,FIU24_31605,IE322_20040,HNE05_19000,KQ248_05140,BVH74_06315,H7683_11875,MT1_0463,CL52_20000,I9X27_01480,CHR29_01460,NCTC10038_00300,JQN61_01425,A0T30_02985,I9X29_01485,CS390_23210,AOU28_19055,KCX70_21995,DCC84_01430,CHN49_01225,FIU84_00300,FIV02_01750,PA0292,JHW37_01350,AO353_11915,NCTC13359_00660,I9X26_01520,HZ99_19535,ICJ54_03195,D3880_00945,FIU98_01750,PproGo58_03050,OU9_00296,JYG34_01200,HAV28_24005,CHR26_06275,HXW90_01350
PA14_62930,Arginine and Proline Metabolism,Amino acids,FXF61_10295,IH404_24150,FA030_24980,PPTS312_48230,Pput_4590,C3F42_21075,AO356_07485,TK06_16820,FQ342_06725,FIU24_04605,IE322_25020,HNE05_14300,KQ248_21560,BVH74_02155,H7683_04585,MT1_3703,CL52_04430,I9X27_25600,CHR29_23900,NCTC10038_05522,JQN61_17705,A0T30_18175,I9X29_26650,CS390_20970,AOU28_24040,KCX70_17505,DCC84_04040,CHN49_24180,FIU84_17025,FIV02_19255,PA4758,JHW37_25585,AO353_05635,NCTC13359_01031,I9X26_29400,HZ99_22180,ICJ54_04040,D3880_04200,FIU98_19240,PproGo58_08060,OU9_04856,JYG34_03630,HAV28_21900,CHR26_11640,HXW90_26870
PA14_62910,Arginine and Proline Metabolism,Amino acids,FXF61_10285,IH404_24145,FA030_24970,PPTS312_48220,Pput_4589,C3F42_21080,AO356_07480,TK06_16815,FQ342_06720,FIU24_04615,IE322_25025,HNE05_14295,KQ248_21555,BVH74_02150,H7683_04580,MT1_3702,CL52_04435,I9X27_25590,CHR29_23895,NCTC10038_05229,JQN61_17700,A0T30_18170,I9X29_26640,CS390_20965,,KCX70_17500,DCC84_04045,CHN49_24175,FIU84_17020,FIV02_19250,PA4756,JHW37_25575,AO353_05630,NCTC13359_06023,I9X26_29390,HZ99_22185,ICJ54_23945,D3880_04205,FIU98_19235,PproGo58_08070,OU9_04854,JYG34_03635,HAV28_21895,CHR26_11645,HXW90_26865
PA14_03900,Arginine and Proline Metabolism,Amino acids,FXF61_13040,IH404_27185,FA030_30920,PPTS312_02870,Pput_5089,C3F42_18580,AO356_13150,TK06_22595,FQ342_12535,FIU24_31570,IE322_22610,HNE05_19035,KQ248_05175,BVH74_06275,H7683_20490,MT1_0471,CL52_20035,I9X27_01515,CHR29_26490,NCTC10038_05821,JQN61_20210,A0T30_03020,I9X29_01520,CS390_23535,AOU28_19090,KCX70_21960,DCC84_32340,CHN49_26600,FIU84_00330,FIV02_01785,PA0299,JHW37_01385,AO353_08585,NCTC13359_00668,I9X26_01555,HZ99_16295,ICJ54_00745,D3880_00980,FIU98_01785,PproGo58_56040,OU9_00304,JYG34_24990,HAV28_00955,CHR26_08870,HXW90_29870
PA14_63120,Arginine and Proline Metabolism,Amino acids,FXF61_07505,IH404_09010,FA030_25065,PPTS312_18870,,C3F42_08340,AO356_04375,TK06_13645,FQ342_03335,FIU24_04520,IE322_14515,HNE05_06375,KQ248_16885,BVH74_17460,H7683_00175,MT1_2672,CL52_07985,I9X27_25680,CHR29_07360,NCTC10038_01772,JQN61_05375,A0T30_10990,I9X29_26730,CS390_17770,AOU28_23960,KCX70_09745,DCC84_07690,,FIU84_12305,FIV02_09115,PA4774,JHW37_25665,AO353_02195,NCTC13359_06041,I9X26_29480,HZ99_02495,,D3880_13270,FIU98_09095,PproGo58_14800,OU9_04873,JYG34_07485,,CHR26_00430,HXW90_08265
PA14_48470,Arginine and Proline Metabolism,Amino acids,FXF61_10950,IH404_08030,FA030_30890,PPTS312_08720,Pput_0406,C3F42_12635,AO356_14225,TK06_23825,FQ342_09385,FIU24_31600,IE322_02095,HNE05_19005,KQ248_05145,BVH74_06310,H7683_11880,MT1_0464,CL52_20005,I9X27_01485,CHR29_21400,NCTC10038_05560,JQN61_02035,A0T30_08040,I9X29_20090,CS390_23215,AOU28_19060,KCX70_04615,DCC84_01425,CHN49_01910,FIU84_00305,FIV02_01755,PA0293,JHW37_01355,AO353_28740,NCTC13359_00661,I9X26_01525,HZ99_07785,ICJ54_21555,D3880_05150,FIU98_01755,PproGo58_23380,OU9_00297,JYG34_21905,HAV28_21390,CHR26_12180,HXW90_28685
PA14_03830,Arginine and Proline Metabolism,Amino acids,FXF61_10950,IH404_08030,FA030_30890,PPTS312_08720,Pput_1192,C3F42_12635,AO356_00365,TK06_23825,FQ342_09385,FIU24_31600,IE322_02095,HNE05_19005,KQ248_05145,BVH74_06310,H7683_11880,MT1_0464,CL52_20005,I9X27_01485,CHR29_21400,NCTC10038_01303,JQN61_10625,A0T30_02990,I9X29_01490,CS390_23215,AOU28_19060,KCX70_06370,DCC84_01425,CHN49_06015,FIU84_00305,FIV02_01755,PA0293,JHW37_01355,AO353_11910,NCTC13359_00661,I9X26_01525,HZ99_19530,ICJ54_21555,D3880_00950,FIU98_01755,PproGo58_03040,OU9_00297,JYG34_21905,HAV28_21390,CHR26_12180,HXW90_11170
PA14_51430,Aromatic Compound Degradation,Xenobiotics,FXF61_10975,IH404_11890,FA030_19960,PPTS312_12840,Pput_0791,C3F42_02935,AO356_26470,TK06_08190,FQ342_25015,FIU24_09625,IE322_17460,HNE05_08505,KQ248_14945,BVH74_14860,H7683_04775,MT1_2324,CL52_10090,I9X27_20830,CHR29_04370,NCTC10038_02578,JQN61_12570,A0T30_12925,I9X29_21410,CS390_09925,AOU28_16275,KCX70_12050,DCC84_18195,CHN49_03990,FIU84_09345,FIV02_19435,PA0996,JHW37_20630,AO353_23995,NCTC13359_05023,I9X26_24380,HZ99_18440,ICJ54_06020,D3880_21090,FIU98_19420,PproGo58_34380,OU9_01005,JYG34_12150,HAV28_15350,CHR26_03500,HXW90_19255
PA14_10990,Benzoate degradation,Xenobiotics,,IH404_18470,FA030_01275,PPTS312_35880,Pput_3055,C3F42_02370,AO356_25550,TK06_06690,FQ342_25750,FIU24_28320,IE322_07030,,KQ248_04915,BVH74_16385,,,,I9X27_04320,CHR29_11510,,JQN61_05670,,I9X29_04395,CS390_10030,AOU28_15615,,DCC84_13560,CHN49_13095,,FIV02_05650,PA4092,JHW37_04180,,NCTC13359_01315,I9X26_04665,HZ99_04675,ICJ54_17135,D3880_11845,FIU98_05640,PproGo58_34550,OU9_04145,JYG34_22460,HAV28_09900,CHR26_22685,HXW90_12235
PA14_11000,Benzoate degradation,Xenobiotics,,,FA030_01280,,,,,,FQ342_25755,FIU24_28315,,,,,,,,I9X27_04325,,,,,I9X29_04400,,AOU28_15610,,,,,,PA4091,JHW37_04185,,NCTC13359_01316,I9X26_04670,,,,,,OU9_04144,,,,
PA14_38640,Benzoate degradation,Xenobiotics,FXF61_08590,IH404_11190,FA030_14175,PPTS312_30970,Pput_2593,C3F42_00545,AO356_21645,TK06_10670,FQ342_31005,FIU24_15420,IE322_08715,HNE05_09180,KQ248_14760,,H7683_15865,MT1_2221,CL52_19645,I9X27_15700,CHR29_13670,NCTC10038_02254,JQN61_07030,,I9X29_15715,CS390_11670,AOU28_04980,KCX70_12170,DCC84_20865,CHN49_14525,FIU84_16480,FIV02_05625,PA2000,JHW37_15560,AO353_27940,NCTC13359_03869,I9X26_18495,HZ99_06490,ICJ54_15500,D3880_08095,FIU98_05615,PproGo58_22170,OU9_02025,JYG34_11940,HAV28_11295,CHR26_21740,HXW90_11085
PA14_32240,Benzoate degradation,Xenobiotics,,IH404_23715,FA030_11080,PPTS312_24950,Pput_2055,C3F42_21505,AO356_04925,TK06_05015,FQ342_23085,FIU24_18515,IE322_08950,,,,H7683_05835,,CL52_07450,I9X27_13000,CHR29_11330,NCTC10038_05147,JQN61_06305,,I9X29_13180,CS390_24440,AOU28_07480,KCX70_18000,DCC84_03760,CHN49_10950,FIU84_08045,,PA2507,JHW37_13325,AO353_23525,NCTC13359_03273,I9X26_15435,HZ99_07105,ICJ54_17320,D3880_08590,,PproGo58_37420,OU9_02531,JYG34_15050,HAV28_09825,CHR26_20335,HXW90_26460
PA14_02830,Benzoate degradation,Xenobiotics,FXF61_07235,IH404_08315,FA030_30560,PPTS312_45340,Pput_4344,C3F42_11330,AO356_04910,TK06_14225,FQ342_04235,FIU24_31930,IE322_01095,HNE05_18490,KQ248_05740,BVH74_10575,H7683_05795,MT1_0583,CL52_10860,I9X27_01175,CHR29_22360,NCTC10038_01556,JQN61_16395,A0T30_14955,I9X29_01160,CS390_19620,AOU28_18740,KCX70_17980,DCC84_06810,CHN49_22875,FIU84_11770,FIV02_08640,PA0230,JHW37_01110,AO353_17225,NCTC13359_00596,I9X26_01210,HZ99_24580,ICJ54_22425,D3880_08645,FIU98_08620,PproGo58_13140,OU9_00233,JYG34_05435,HAV28_20460,CHR26_13240,HXW90_07515
PA14_32230,Benzoate degradation,Xenobiotics,,IH404_23720,FA030_11075,PPTS312_24940,Pput_2054,,,,FQ342_23080,FIU24_18520,IE322_06850,HNE05_09340,,,,,CL52_07445,I9X27_12995,CHR29_11325,NCTC10038_05148,JQN61_06310,,I9X29_13175,CS390_24445,AOU28_07485,,DCC84_03755,CHN49_10945,FIU84_08040,,PA2508,JHW37_13320,AO353_23520,NCTC13359_03272,I9X26_15430,,ICJ54_17325,D3880_08585,,PproGo58_37430,OU9_02532,JYG34_15055,HAV28_09820,CHR26_20330,HXW90_26465
PA14_38660,Benzoate degradation,Xenobiotics,FXF61_08595,IH404_11195,FA030_14180,PPTS312_30980,Pput_2594,C3F42_00540,AO356_21650,TK06_10665,FQ342_31000,FIU24_15415,IE322_08710,HNE05_09185,KQ248_14765,BVH74_17670,H7683_15870,MT1_2222,CL52_19640,I9X27_15705,CHR29_13665,NCTC10038_02255,JQN61_07025,,I9X29_15720,CS390_11665,AOU28_04975,KCX70_12165,DCC84_20860,CHN49_14530,FIU84_16475,FIV02_05630,PA1999,JHW37_15565,AO353_27935,NCTC13359_03100,I9X26_18500,HZ99_06485,ICJ54_15505,D3880_08090,FIU98_05620,PproGo58_22180,OU9_02024,JYG34_11935,HAV28_11290,CHR26_21735,HXW90_11090
PA14_02840,Benzoate degradation,Xenobiotics,,IH404_08320,FA030_30565,PPTS312_45320,Pput_4343,C3F42_11325,AO356_04905,TK06_14220,FQ342_04230,FIU24_31925,IE322_01100,HNE05_12145,KQ248_14800,BVH74_17040,H7683_05790,MT1_2229,CL52_07405,I9X27_01180,CHR29_22355,NCTC10038_01557,JQN61_16390,A0T30_08510,I9X29_01165,CS390_19615,AOU28_18745,KCX70_12130,DCC84_06815,CHN49_22870,FIU84_06115,FIV02_06505,PA0231,JHW37_01115,AO353_17230,NCTC13359_00597,I9X26_01215,HZ99_24585,ICJ54_22420,D3880_08650,FIU98_06490,PproGo58_13150,OU9_00234,JYG34_05440,HAV28_20455,CHR26_13245,HXW90_07520
PA14_01910,Benzoate degradation,Xenobiotics,,IH404_08305,FA030_30185,PPTS312_47440,Pput_4517,C3F42_21510,AO356_04920,TK06_14235,FQ342_15225,FIU24_32300,IE322_00025,,,,H7683_05830,,,I9X27_00790,CHR29_23430,NCTC10038_01554,JQN61_17305,,I9X29_00810,CS390_03355,AOU28_18390,KCX70_17995,DCC84_06800,CHN49_23760,,,PA0154,JHW37_00775,AO353_17215,NCTC13359_00525,I9X26_00855,HZ99_24570,ICJ54_23490,D3880_08535,,PproGo58_51000,OU9_00157,JYG34_22570,HAV28_21515,CHR26_12060,HXW90_10120
PA14_01900,Benzoate degradation,Xenobiotics,,IH404_08300,FA030_30180,PPTS312_47450,Pput_4518,C3F42_21505,AO356_04925,TK06_14240,FQ342_15220,FIU24_32305,IE322_00020,,,,H7683_05835,,CL52_07450,I9X27_00785,CHR29_23435,NCTC10038_01553,JQN61_17310,,I9X29_00805,CS390_03350,AOU28_18385,KCX70_18000,DCC84_06795,CHN49_23765,FIU84_08045,,PA0153,JHW37_00770,AO353_17210,NCTC13359_00524,I9X26_00850,HZ99_24565,ICJ54_23495,D3880_08530,,PproGo58_51010,OU9_00156,JYG34_22575,HAV28_21520,CHR26_12055,HXW90_10115
PA14_33740,Biosynthesis of siderophore group nonribosomal peptides,Other,,IH404_12450,FA030_11750,PPTS312_38950,Pput_1644,C3F42_06880,AO356_21150,TK06_00060,FQ342_21960,FIU24_17845,IE322_04335,,,,,,,I9X27_13615,CHR29_18940,NCTC10038_03491,JQN61_08155,,I9X29_13785,,AOU28_06865,,DCC84_23140,CHN49_08515,,,PA2392,JHW37_13880,,NCTC13359_03395,I9X26_16030,HZ99_00270,ICJ54_19290,,,PproGo58_39500,OU9_02408,JYG34_17465,HAV28_04660,CHR26_17740,HXW90_13285
PA14_33710,Biosynthesis of siderophore group nonribosomal peptides,Other,,IH404_12435,FA030_11735,PPTS312_38970,Pput_1679,C3F42_03565,AO356_21130,TK06_00045,FQ342_21945,FIU24_17860,IE322_02815,,,BVH74_11680,H7683_06450,,,I9X27_13600,CHR29_18950,NCTC10038_03494,JQN61_07990,,I9X29_13770,CS390_13990,AOU28_06880,,DCC84_23155,CHN49_08690,,FIV02_21280,PA2395,JHW37_13865,AO353_09515,NCTC13359_03392,I9X26_16015,HZ99_00255,ICJ54_20855,,FIU98_21265,PproGo58_39530,OU9_02411,JYG34_15405,,CHR26_17730,HXW90_13275
PA14_33720,Biosynthesis of siderophore group nonribosomal peptides,Other,FXF61_03290,IH404_12440,FA030_11740,PPTS312_29430,Pput_1642,C3F42_28745,AO356_21135,TK06_00050,FQ342_21950,FIU24_17855,IE322_04325,HNE05_05855,KQ248_19110,BVH74_13175,H7683_01460,MT1_3212,CL52_14005,I9X27_13605,CHR29_16250,NCTC10038_03493,JQN61_08165,A0T30_07295,I9X29_13775,CS390_17410,AOU28_06875,KCX70_14995,DCC84_23150,CHN49_08505,FIU84_14555,FIV02_16490,PA2394,JHW37_13870,AO353_01320,NCTC13359_03393,I9X26_16020,HZ99_00260,ICJ54_19300,D3880_06605,FIU98_16470,PproGo58_39520,OU9_02410,JYG34_15400,HAV28_05995,CHR26_01805,HXW90_07015
PA14_38750,Butanoate metabolism,Carbohdyrate metabolism,FXF61_09400,IH404_08500,FA030_14220,PPTS312_26390,Pput_3080,C3F42_03235,AO356_28020,TK06_07000,FQ342_31495,FIU24_15375,IE322_10860,HNE05_13200,KQ248_15600,BVH74_16785,H7683_23745,MT1_2410,CL52_09130,I9X27_15745,CHR29_12095,NCTC10038_01591,JQN61_05750,A0T30_17305,I9X29_15760,CS390_15940,AOU28_04935,KCX70_11505,DCC84_23005,CHN49_11615,FIU84_10240,FIV02_14455,PA1991,JHW37_15605,AO353_22415,NCTC13359_03877,I9X26_18540,HZ99_24790,ICJ54_12690,D3880_21105,FIU98_14435,PproGo58_21160,OU9_02016,JYG34_14140,HAV28_12785,CHR26_25870,HXW90_19590
PA14_38490,Butanoate metabolism,Carbohdyrate metabolism,FXF61_12105,IH404_17710,FA030_14120,PPTS312_33250,Pput_2234,C3F42_00445,AO356_01570,TK06_11045,FQ342_22710,FIU24_15475,IE322_07530,HNE05_07940,KQ248_14915,BVH74_16645,H7683_21245,MT1_2252,CL52_04920,I9X27_15645,CHR29_15305,NCTC10038_03861,,A0T30_12660,I9X29_15660,CS390_15680,AOU28_05035,KCX70_11980,DCC84_22520,CHN49_16120,FIU84_16470,FIV02_12800,PA2011,JHW37_15490,AO353_20365,NCTC13359_03858,I9X26_18440,HZ99_05970,ICJ54_16630,D3880_11265,FIU98_12780,PproGo58_38130,OU9_02036,JYG34_14330,HAV28_13830,CHR26_21045,HXW90_19190
PA14_17190,Cell Envelope Biosynthesis,Cell envelope,FXF61_09100,IH404_07730,FA030_03915,PPTS312_16380,Pput_4175,C3F42_23570,AO356_05985,TK06_15295,FQ342_04925,FIU24_25680,IE322_15695,HNE05_03290,KQ248_19745,BVH74_00185,H7683_01365,MT1_3332,CL52_12950,I9X27_06705,CHR29_06105,NCTC10038_01461,JQN61_15550,A0T30_07385,I9X29_06995,CS390_05750,AOU28_13310,KCX70_15565,DCC84_06295,CHN49_22015,FIU84_07405,FIV02_16390,PA3645,JHW37_06635,AO353_16515,NCTC13359_01837,I9X26_07040,HZ99_24200,ICJ54_07830,D3880_06690,FIU98_16370,PproGo58_11620,OU9_03685,JYG34_19985,HAV28_06085,CHR26_01710,HXW90_07115
PA14_43680,Cell Envelope Biosynthesis,Cell envelope,FXF61_07470,IH404_10285,FA030_16705,PPTS312_38570,Pput_1694,C3F42_26285,AO356_19775,TK06_29235,FQ342_02150,FIU24_12885,IE322_04520,HNE05_08530,KQ248_13865,BVH74_14900,H7683_23090,MT1_2036,CL52_08375,I9X27_17705,CHR29_18750,NCTC10038_02056,JQN61_07915,A0T30_12950,I9X29_18095,CS390_08345,AOU28_02965,KCX70_10105,DCC84_24280,CHN49_08765,FIU84_09225,FIV02_11140,PA1610,JHW37_17340,AO353_01755,NCTC13359_04376,I9X26_20875,HZ99_26325,ICJ54_19105,D3880_13900,FIU98_11120,PproGo58_17080,OU9_01617,JYG34_17275,HAV28_08425,CHR26_17940,HXW90_09795
