Transcription-Units	Direction	Genes of transcription unit
TU8J2-967	+	BSU_TRNA_44 // BSU_TRNA_43 // BSU_TRNA_42 // BSU_TRNA_41 // BSU_TRNA_40 // BSU_TRNA_39 // BSU_TRNA_38 // BSU_TRNA_37 // BSU_TRNA_36 // BSU_TRNA_35 // BSU_TRNA_34 // BSU_TRNA_33 // BSU_TRNA_32 // BSU_TRNA_31 // BSU_TRNA_30 // BSU_TRNA_29 // BSU_RRNA_18 // BSU_RRNA_17 // BSU_RRNA_22
TU8J2-126	-	BSU11420
TU8J2-16108	+	BSU05590 // BSU05580
TU8J2-1088	-	BSU04130
TU8J2-16964	+	BSU34940
TU8J2-172	-	BSU27240 // BSU27250 // BSU27260 // BSU27270 // BSU27280
TU8J2-15910	+	BSU16799 // BSU16790
TU8J2-16046	-	BSU03250 // BSU03240
TU8J2-1089	+	BSU04120
TU8J2-1094	+	BSU04010
TU8J2-17434	-	BSU32930
TU8J2-17310	+	BSU34729
TU8J2-1306	-	BSU_36499 // BSU36480 // BSU36490 // BSU36500
TU8J2-15988	+	BSU01360 // BSU01350 // BSU01340 // BSU01330 // BSU01320 // BSU01310 // BSU01300 // BSU01290 // BSU01280 // BSU01270 // BSU01260 // BSU01250 // BSU01240 // BSU01230 // BSU01220 // BSU01210 // BSU01200
TU8J2-576	-	BSU29000
TU8J2-17316	+	BSU36160
TU8J2-16663	-	BSU22890
TU8J2-16096	+	BSU05320
TU8J2-578	-	BSU28950
TU8J2-48	-	BSU30650
TU8J2-16002	+	BSU_TRNA_28 // BSU_TRNA_27 // BSU_TRNA_26 // BSU_TRNA_25 // BSU_TRNA_24 // BSU_TRNA_23
TU8J2-437	-	BSU34520
TU8J2-16747	-	BSU26400
TU8J2-16211	+	BSU09790
TU8J2-81	+	BSU36530
TU8J2-467	-	BSU32470 // BSU32480 // BSU32490 // BSU32500 // BSU32510
TU8J2-16221	-	BSU10080
TU8J2-115	-	BSU34690 // BSU34700
TU8J2-16709	-	BSU25020
TU8J2-418	+	BSU35770
TU8J2-801	-	BSU17850
TU8J2-16334	+	BSU13980
TU8J2-937	+	BSU09830
TU8J2-992	+	BSU08280 // BSU08270 // BSU08260
TU8J2-3032	-	BSU03730 // BSU03740
TU8J2-16488	+	BSU18870
TU8J2-528	+	BSU30300
TU8J2-17222	+	BSU22510
TU8J2-439	+	BSU34470 // BSU34460 // BSU34450
TU8J2-15967	+	BSU00460
TU8J2-438	-	BSU34510
TU8J2-699	+	BSU23720
TU8J2-16800	-	BSU27400 // BSU27390 // BSU27380
TU8J2-774	-	BSU18840
TU8J2-987	-	BSU08370 // BSU08380
TU8J2-648	+	BSU26390 // BSU25760
TU8J2-16791	+	BSU27090 // BSU_27085
TU8J2-599	+	BSU28460
TU8J2-149	+	BSU09930 // BSU09920 // BSU09910
TU8J2-15943	-	BSU19290
TU8J2-520	-	BSU30550
TU8J2-3009	-	BSU36290 // BSU36300
TU8J2-16278	+	BSU11960
TU8J2-16095	-	BSU05270
TU8J2-16225	+	BSU10180
TU8J2-16281	-	BSU12040
TU8J2-16633	-	BSU21900 // BSU21890
TU8J2-3025	+	BSU04400
TU8J2-1055	+	BSU06130
TU8J2-129	-	BSU10670 // BSU10680 // BSU10690 // BSU10700 // BSU10710 // BSU10720
TU8J2-16127	+	BSU06040
TU8J2-827	+	BSU16000 // BSU15990
TU8J2-17195	-	BSU19260
TU8J2-458	-	BSU33040
TU8J2-16968	-	BSU35220
TU8J2-16733	-	BSU26160
TU8J2-127	+	BSU00130
TU8J2-817	+	BSU16940
TU8J2-805	+	BSU17610 // BSU17600
TU8J2-16760	-	BSU26558
TU8J2-16432	+	BSU17360
TU8J2-435	-	BSU35100 // BSU35110 // BSU35120 // BSU35130
TU8J2-214	+	BSU40650
TU8J2-17227	+	BSU24780
TU8J2-16008	+	BSU_RRNA_28
TU8J2-647	-	BSU25770
TU8J2-16375	-	BSU15069 // BSU15060
TU8J2-16063	+	BSU04420 // BSU04410
TU8J2-1202	+	BSU00380
TU8J2-17043	-	BSU40230
TU8J2-686	-	BSU24030 // BSU24040 // BSU24050 // BSU24060 // BSU24070 // BSU24080 // BSU24090
TU8J2-17173	-	BSU15820
TU8J2-16751	+	BSU_26449
TU8J2-19	-	BSU28190 // BSU28200
TU8J2-17131	+	BSU10880
TU8J2-16966	+	BSU35190
TU8J2-16471	-	BSU18560 // BSU18550
TU8J2-741	-	BSU21960
TU8J2-3002	+	BSU27009
TU8J2-16215	+	BSU09940
TU8J2-1247	-	BSU40890 // BSU40900 // BSU40910
TU8J2-16573	-	BSU20670
TU8J2-17216	-	BSU21080
TU8J2-1058	+	BSU06030 // BSU06020
TU8J2-16116	+	BSU_TRNA_80 // BSU_TRNA_79
TU8J2-2998	-	BSU28900 // BSU28910
TU8J2-16771	-	BSU26760
TU8J2-16560	-	BSU20420
TU8J2-16855	-	BSU30580
TU8J2-17274	+	BSU31140
TU8J2-16456	-	BSU18060
TU8J2-609	-	BSU28220
TU8J2-15933	-	BSU30470
TU8J2-16259	+	BSU11290
TU8J2-15897	-	BSU08140 // BSU08150 // BSU08160 // BSU08170
TU8J2-16146	+	BSU06710
TU8J2-15999	+	BSU_RRNA_23
TU8J2-16239	-	BSU10600
TU8J2-746	-	BSU21870
TU8J2-16423	-	BSU17250
TU8J2-16801	-	BSU27410
TU8J2-705	-	BSU23570 // BSU23580
TU8J2-16446	-	BSU17690 // BSU_17689
TU8J2-63	-	BSU10610
TU8J2-739	-	BSU22010
TU8J2-833	+	BSU_MISC_RNA_28 // BSU_MISC_RNA_27 // BSU_MISC_RNA_26 // BSU15560 // BSU15550 // BSU15540 // BSU15530 // BSU15520 // BSU15510 // BSU15500 // BSU15490 // BSU15480 // BSU15470
TU8J2-16873	-	BSU31279
TU8J2-16998	-	BSU37010 // BSU37000
TU8J2-524	-	BSU30370
TU8J2-16748	-	BSU26410
TU8J2-17254	+	BSU27785
TU8J2-882	+	BSU13040
TU8J2-10	-	BSU14870
TU8J2-634	-	BSU27470
TU8J2-166	+	BSU13540 // BSU13530
TU8J2-1150	+	BSU02690
TU8J2-16119	+	BSU_TRNA_22 // BSU_TRNA_21 // BSU_RRNA_13
TU8J2-1097	+	BSU03970
TU8J2-17436	-	BSU35700
TU8J2-16915	+	BSU32880 // BSU32870
TU8J2-16517	+	BSU19450 // BSU19440
TU8J2-16152	-	BSU06790
TU8J2-17211	+	BSU20560
TU8J2-942	-	BSU09500 // BSU09510 // BSU09520
TU8J2-16381	+	BSU15430
TU8J2-16321	+	BSU13500
TU8J2-711	-	BSU23360
TU8J2-16333	+	BSU13960
TU8J2-1017	+	BSU07620 // BSU07610
TU8J2-16528	-	BSU19749 // G8J2-176 // BSU19740 // BSU19730 // BSU19720 // BSU19710
TU8J2-137	-	BSU27730 // BSU27740
TU8J2-529	-	BSU30250
TU8J2-766	-	BSU_MISC_RNA_32
TU8J2-16077	+	BSU05090
TU8J2-16645	-	BSU_22205
TU8J2-16194	+	BSU09220
TU8J2-16494	-	BSU18970
TU8J2-183	-	BSU13570
TU8J2-15906	-	BSU29180 // BSU29190
TU8J2-16794	-	BSU_27185
TU8J2-16466	-	BSU18340 // BSU18330 // BSU18320 // BSU18310 // BSU18300
TU8J2-17165	-	BSU14420
TU8J2-1109	+	BSU03660
TU8J2-852	+	BSU14400 // BSU14390 // BSU14380
TU8J2-616	-	BSU28070
TU8J2-17426	-	BSU23060
TU8J2-16377	+	BSU15300
TU8J2-78	+	BSU09420
TU8J2-16609	+	BSU21330
TU8J2-16772	-	BSU26770
TU8J2-16499	+	BSU19020
TU8J2-16626	-	BSU_21638
TU8J2-17157	-	BSU13520
TU8J2-1208	+	BSU_MISC_RNA_2 // BSU00180
TU8J2-933	-	BSU10100
TU8J2-80	-	BSU08620
TU8J2-16031	+	BSU02320
TU8J2-16931	+	BSU33390
TU8J2-1048	+	BSU06250
TU8J2-789	+	BSU18120
TU8J2-517	-	BSU30630
TU8J2-919	-	BSU10470
TU8J2-938	-	BSU09750
TU8J2-724	-	BSU22800
TU8J2-332	-	BSU37930 // BSU37940 // BSU37950
TU8J2-877	-	BSU13310
TU8J2-398	+	BSU36280
TU8J2-17	+	BSU35670
TU8J2-16674	-	BSU23160
TU8J2-698	+	BSU23740 // BSU23730
TU8J2-17004	-	BSU37440
TU8J2-16824	-	BSU_28475
TU8J2-17077	-	G8J2-172
TU8J2-17058	+	BSU40810 // BSU40800
TU8J2-762	+	BSU19580
TU8J2-1193	+	BSU00560
TU8J2-965	+	BSU08810
TU8J2-16701	-	BSU24860 // BSU24850
TU8J2-16991	-	BSU36669
TU8J2-16453	+	BSU_MISC_RNA_73
TU8J2-683	-	BSU24120 // BSU24130 // BSU24140 // BSU24150 // BSU24160 // BSU24170
TU8J2-989	+	BSU08350
TU8J2-17107	-	BSU08779
TU8J2-276	+	BSU39100
TU8J2-1066	+	BSU05490
TU8J2-5	-	BSU33049 // BSU33040
TU8J2-153	-	BSU17260
TU8J2-16428	+	BSU17320
TU8J2-157	+	BSU11130
TU8J2-638	+	BSU27130 // BSU27120
TU8J2-747	-	BSU21860
TU8J2-20	-	BSU35620 // BSU35630 // BSU35640
TU8J2-16774	-	BSU26790
TU8J2-869	+	BSU13710
TU8J2-16541	-	BSU20050
TU8J2-15912	-	BSU38190 // BSU38200
TU8J2-17087	-	BSU05310
TU8J2-1283	-	BSU_MISC_RNA_55 // BSU33600
TU8J2-3017	-	BSU14460 // BSU14470
TU8J2-17112	-	BSU09120
TU8J2-16743	-	BSU26320 // BSU26310 // BSU_26305
TU8J2-618	-	BSU27990 // BSU28000 // BSU28010 // BSU28020 // BSU28030
TU8J2-16938	+	BSU33670 // BSU33660
TU8J2-682	+	BSU24210
TU8J2-16019	+	BSU02019
TU8J2-434	-	BSU35150
TU8J2-660	+	BSU25220
TU8J2-16844	-	BSU29920
TU8J2-632	+	BSU27580
TU8J2-16935	-	BSU33550
TU8J2-871	-	BSU13680 // BSU13690
TU8J2-16553	-	BSU20220 // BSU20210
TU8J2-253	-	BSU39820
TU8J2-16992	-	BSU_36739
TU8J2-1076	+	BSU04540
TU8J2-885	+	BSU12910
TU8J2-16739	-	BSU26260 // BSU26259
TU8J2-61	+	BSU17420
TU8J2-17288	-	BSU32330
TU8J2-358	-	BSU37160 // BSU37170 // BSU37180
TU8J2-319	-	BSU38190 // BSU38200
TU8J2-15925	-	BSU14030
TU8J2-690	-	BSU23860 // BSU23870
TU8J2-378	-	BSU36700
TU8J2-15920	-	BSU18690
TU8J2-15949	-	BSU25700
TU8J2-16202	+	BSU09570
TU8J2-17306	+	BSU34530
TU8J2-17102	-	BSU07220
TU8J2-17035	-	BSU39180
TU8J2-17153	+	BSU13200
TU8J2-501	-	BSU31260
TU8J2-16389	+	BSU15860 // BSU15850
TU8J2-17268	+	BSU30340
TU8J2-675	-	BSU24360 // BSU24370 // BSU24380 // BSU24390 // BSU24400 // BSU24410 // BSU24420 // BSU24430 // BSU24440
TU8J2-17149	-	BSU12450
TU8J2-16906	-	BSU32710 // BSU32700 // BSU32690 // BSU32680 // BSU32670
TU8J2-1019	+	BSU07570
TU8J2-16640	+	BSU22140 // BSU22130
TU8J2-1052	+	BSU06210 // BSU06200 // BSU06190 // BSU06180
TU8J2-116	-	BSU30370 // BSU30380
TU8J2-16340	+	BSU14090
TU8J2-17034	-	BSU39170 // BSU39160 // BSU39150 // BSU39140 // BSU39139
TU8J2-16977	+	BSU35980
TU8J2-16100	+	BSU05344
TU8J2-17250	+	BSU27290
TU8J2-409	-	BSU35990
TU8J2-1180	-	BSU01550
TU8J2-16114	-	BSU05770 // BSU05760
TU8J2-855	+	BSU14240
TU8J2-16351	-	BSU14450
TU8J2-1266	+	BSU00540
TU8J2-16737	-	BSU26240
TU8J2-174	+	BSU08870 // BSU08860 // BSU08850 // BSU08840 // BSU08830
TU8J2-17151	-	BSU12470
TU8J2-385	-	BSU36550
TU8J2-1072	+	BSU04630
TU8J2-1093	-	BSU04020
TU8J2-16241	+	BSU10750
TU8J2-94	-	BSU08890
TU8J2-16758	-	BSU26540
TU8J2-1148	-	BSU02730
TU8J2-16929	+	BSU33360
TU8J2-173	+	BSU09130
TU8J2-317	-	BSU38260 // BSU38270 // BSU38280
TU8J2-16950	-	BSU34090 // BSU34080 // BSU34070 // BSU34060
TU8J2-2954	+	BSU31322 // BSU31321
TU8J2-1254	-	BSU22490 // BSU22500 // BSU22440 // BSU22450 // BSU22460 // BSU22470 // BSU22480
TU8J2-499	-	BSU31290
TU8J2-16804	-	BSU27490 // BSU27480
TU8J2-16043	+	BSU03080
TU8J2-878	-	BSU13170
TU8J2-17171	-	BSU14940
TU8J2-15887	-	BSU09140
TU8J2-17247	+	BSU26880
TU8J2-16039	+	BSU02630 // BSU02640
TU8J2-96	+	BSU35520 // BSU35510
TU8J2-16190	+	BSU08790
TU8J2-1155	+	BSU02600
TU8J2-15898	-	BSU25210 // BSU25230
TU8J2-17253	+	BSU27690
TU8J2-16608	-	BSU21329 // BSU21320
TU8J2-772	-	BSU18980
TU8J2-567	-	BSU29220
TU8J2-197	+	BSU14980 // BSU14970
TU8J2-17257	+	BSU28099
TU8J2-17011	-	BSU37630
TU8J2-433	-	BSU35160 // BSU35170
TU8J2-16197	+	BSU09310
TU8J2-1263	+	BSU_TRNA_20 // BSU_TRNA_19 // BSU_TRNA_18 // BSU_TRNA_17 // BSU_TRNA_16 // BSU_TRNA_15 // BSU_TRNA_14 // BSU_TRNA_13 // BSU_TRNA_12 // BSU_RRNA_8 // BSU_RRNA_7 // BSU_RRNA_6
TU8J2-943	+	BSU09490
TU8J2-894	-	BSU12120
TU8J2-668	-	BSU24740
TU8J2-1279	+	BSU13300
TU8J2-17055	-	BSU40710
TU8J2-16427	-	BSU17300 // BSU17290
TU8J2-16057	+	BSU04170
TU8J2-1038	+	BSU06880 // BSU06870
TU8J2-16468	-	BSU18490
TU8J2-1091	+	BSU04040
TU8J2-2999	+	BSU04770 // BSU04760 // BSU04750
TU8J2-17329	+	BSU40840
TU8J2-15913	-	BSU24190 // BSU24200
TU8J2-15984	+	BSU01120
TU8J2-1198	+	BSU00440
TU8J2-844	-	BSU14870
TU8J2-16134	+	BSU06170
TU8J2-16814	+	BSU27809 // BSU27800
TU8J2-1084	+	BSU04340
TU8J2-687	+	BSU24020 // BSU24010 // BSU24000
TU8J2-842	+	BSU14960 // BSU14950
TU8J2-745	-	BSU21880
TU8J2-1302	+	BSU03230
TU8J2-530	-	BSU30180 // BSU30190 // BSU30200 // BSU30210 // BSU30220 // BSU30230 // BSU30240
TU8J2-16426	+	BSU17280
TU8J2-1189	+	BSU00690
TU8J2-543	-	BSU29720 // BSU29730 // BSU29740
TU8J2-17314	-	BSU35660
TU8J2-16807	-	BSU27560 // BSU27550
TU8J2-492	+	BSU31420
TU8J2-17282	-	BSU32120
TU8J2-1133	+	BSU03060 // BSU03050
TU8J2-16429	+	BSU17330
TU8J2-17218	-	BSU21600
TU8J2-1277	+	BSU13000 // BSU12990 // BSU12980 // BSU12970
TU8J2-364	-	BSU37070
TU8J2-832	+	BSU15630 // BSU15620 // BSU15610 // BSU15600 // BSU15590 // BSU15580 // BSU15570
TU8J2-16717	-	BSU25289
TU8J2-1003	-	BSU07990
TU8J2-147	-	BSU12500
TU8J2-17289	+	BSU32340
TU8J2-1032	-	BSU07340
TU8J2-15899	-	BSU23510 // BSU23519
TU8J2-16179	+	BSU08330 // BSU08320 // BSU08310
TU8J2-17042	-	BSU40220 // BSU40210 // BSU40200
TU8J2-743	-	BSU21940
TU8J2-16086	+	BSU05180
TU8J2-160	+	BSU10770
TU8J2-88	-	BSU36540
TU8J2-771	+	BSU19030
TU8J2-1199	+	BSU00430
TU8J2-1141	+	BSU02870 // BSU02860 // BSU02850
TU8J2-16482	+	BSU18740 // BSU18730
TU8J2-16599	+	BSU_21058
TU8J2-1200	+	BSU00420 // BSU00410
TU8J2-602	-	BSU28380
TU8J2-278	+	BSU39060
TU8J2-988	+	BSU08360
TU8J2-16177	-	BSU07870
TU8J2-684	+	BSU24110
TU8J2-16886	+	BSU31945
TU8J2-334	-	BSU37800
TU8J2-16430	+	BSU17340
TU8J2-17323	+	BSU37300
TU8J2-16579	-	BSU20820 // BSU20810
TU8J2-512	+	BSU30840
TU8J2-243	+	BSU40000
TU8J2-621	-	BSU27920 // BSU27930
TU8J2-16308	+	BSU13270 // BSU13260 // BSU13250
TU8J2-1265	-	BSU34820
TU8J2-52	-	BSU18350 // BSU18360
TU8J2-1128	-	BSU03140
TU8J2-786	-	BSU18350 // BSU18360
TU8J2-16610	+	BSU21340
TU8J2-376	-	BSU36730
TU8J2-15907	+	BSU33770 // BSU33760 // BSU33750
TU8J2-286	+	BSU38920
TU8J2-16677	+	BSU_23349
TU8J2-371	-	BSU36890
TU8J2-727	-	BSU22600 // BSU22610 // BSU22620 // BSU22630 // BSU22640 // BSU22650 // BSU22660 // BSU22670 // BSU22680
TU8J2-1310	+	BSU09200 // BSU09190
TU8J2-540	-	BSU29790
TU8J2-424	+	BSU35520
TU8J2-16832	-	BSU28970
TU8J2-591	-	BSU28630
TU8J2-16159	+	BSU06960 // BSU06950 // BSU06940
TU8J2-16678	+	BSU23350
TU8J2-1211	+	BSU00120 // BSU00110
TU8J2-17118	+	BSU09670
TU8J2-16022	+	BSU02170 // BSU02160
TU8J2-734	-	BSU22090 // BSU22100 // BSU22110 // BSU22120
TU8J2-227	+	BSU40350
TU8J2-16006	+	BSU_RRNA_25
TU8J2-16193	+	BSU08930
TU8J2-138	+	BSU24750
TU8J2-1080	+	BSU04400
TU8J2-15968	+	BSU00530
TU8J2-51	-	BSU29100 // BSU29110
TU8J2-488	+	BSU31500 // BSU31490
TU8J2-472	-	BSU32010
TU8J2-593	-	BSU28600
TU8J2-16497	-	BSU19000 // BSU18990
TU8J2-16959	-	BSU34780 // BSU34770 // BSU34760 // BSU34750 // BSU34740 // BSU34730
TU8J2-1246	-	BSU35790
TU8J2-16298	+	BSU13030
TU8J2-1195	+	BSU00490
TU8J2-16657	-	BSU22720
TU8J2-608	-	BSU28230
TU8J2-16799	-	BSU27360 // BSU27350 // BSU27340 // BSU27330
TU8J2-16876	-	BSU31410 // BSU31400
TU8J2-354	-	BSU37250 // BSU37260 // BSU37270 // BSU37280
TU8J2-1233	+	BSU37680
TU8J2-3019	+	BSU09420
TU8J2-883	-	BSU13010 // BSU13020
TU8J2-2962	+	BSU02240
TU8J2-99	-	BSU35250 // BSU35260
TU8J2-16047	-	BSU03260
TU8J2-16090	-	BSU05220
TU8J2-16363	-	BSU14750
TU8J2-1061	-	BSU05730 // BSU05740
TU8J2-15944	-	BSU02030
TU8J2-16075	+	BSU05070
TU8J2-16628	-	BSU21640
TU8J2-17036	-	BSU39190
TU8J2-16349	+	BSU14430
TU8J2-787	-	BSU18239 // BSU18210 // BSU18220 // BSU18230 // BSU18240 // BSU18250 // BSU18260
TU8J2-1153	+	BSU02620
TU8J2-993	+	BSU08250
TU8J2-16223	+	BSU10150
TU8J2-1203	-	BSU00370
TU8J2-16404	+	BSU16690
TU8J2-17161	-	BSU13760
TU8J2-16606	+	BSU21300 // BSU21290 // BSU21280
TU8J2-16331	+	BSU13870
TU8J2-16909	-	BSU32720
TU8J2-178	+	BSU33770 // BSU33760 // BSU33750
TU8J2-367	-	BSU36970
TU8J2-469	-	BSU32410
TU8J2-16649	-	BSU22360
TU8J2-15970	+	BSU00650
TU8J2-1217	+	BSU02230
TU8J2-16003	+	BSU_RRNA_16
TU8J2-16448	-	BSU17710
TU8J2-3034	+	BSU03780 // BSU03770 // BSU03760 // BSU03750
TU8J2-635	+	BSU27460 // BSU27450 // BSU27440 // BSU27430
TU8J2-16004	+	BSU_RRNA_29
TU8J2-1171	+	BSU01980 // BSU01970 // BSU01960 // BSU01950 // BSU01935 // BSU01920 // BSU01910
TU8J2-17006	-	BSU37530 // BSU37520
TU8J2-1124	-	BSU03280 // BSU03290 // BSU03300 // BSU03310 // BSU03320
TU8J2-384	-	BSU36580
TU8J2-15928	-	BSU12500
TU8J2-962	+	BSU08970
TU8J2-1226	+	G8J2-5
TU8J2-16828	-	BSU_28709
TU8J2-16360	+	BSU14660
TU8J2-156	+	BSU05420 // BSU05410
TU8J2-16811	-	BSU27650
TU8J2-53	+	BSU24500 // BSU24490
TU8J2-17192	-	BSU19120
TU8J2-262	+	BSU39580
TU8J2-581	-	BSU28900
TU8J2-16379	+	BSU15360
TU8J2-2957	+	BSU17220 // BSU17210 // BSU17200 // BSU17190 // BSU17180 // BSU17170 // BSU17160 // BSU17150 // BSU17140 // BSU17130 // BSU17120 // BSU17110 // BSU17100
TU8J2-356	-	BSU37220
TU8J2-16435	+	BSU17490
TU8J2-902	+	BSU11730
TU8J2-16035	+	BSU02450 // BSU02440
TU8J2-158	-	BSU25240 // BSU25250
TU8J2-16705	-	BSU24900
TU8J2-1069	+	BSU05020 // BSU05010
TU8J2-1261	-	BSU_MISC_RNA_32 // BSU19230
TU8J2-118	-	BSU18420
TU8J2-16874	-	BSU31310
TU8J2-208	+	BSU40820
TU8J2-625	-	BSU27830 // BSU27840
TU8J2-819	+	BSU16720
TU8J2-17256	+	BSU_27935
TU8J2-17175	+	BSU17630
TU8J2-17143	-	BSU11910
TU8J2-16683	+	G8J2-21
TU8J2-17116	-	BSU09480
TU8J2-15915	-	BSU11040 // BSU11055 // BSU11070
TU8J2-17188	-	BSU18860
TU8J2-16354	-	BSU14560
TU8J2-17086	+	BSU05300
TU8J2-17020	-	BSU38390
TU8J2-977	+	BSU08530 // BSU08520
TU8J2-1417	+	BSU14640
TU8J2-619	-	BSU27970 // BSU27980
TU8J2-1096	+	BSU03982 // BSU03990 // BSU03981
TU8J2-836	+	BSU15270 // BSU15260 // BSU15250 // BSU15240 // BSU15230 // BSU15220 // BSU15210 // BSU15200 // BSU15190 // BSU15180
TU8J2-1272	-	BSU05800
TU8J2-16044	+	BSU03170
TU8J2-1108	-	BSU03670
TU8J2-17062	-	BSU41050
TU8J2-16795	-	BSU27190
TU8J2-244	-	BSU39990
TU8J2-16829	-	BSU28710
TU8J2-17012	-	BSU37990
TU8J2-432	-	BSU35180
TU8J2-16837	+	BSU29249
TU8J2-715	-	BSU23200 // BSU23210 // BSU23220
TU8J2-17186	+	BSU18820
TU8J2-15961	+	BSU00220 // BSU00210 // BSU00200 // BSU00190
TU8J2-16514	-	BSU19400
TU8J2-16883	-	BSU31820
TU8J2-16390	+	BSU15870
TU8J2-1100	+	BSU03910 // BSU03900
TU8J2-17258	+	BSU_28645
TU8J2-897	-	BSU12050
TU8J2-16102	-	BSU05400
TU8J2-16549	-	BSU20160 // BSU20150 // BSU20140
TU8J2-1268	+	BSU13130 // BSU13120
TU8J2-1317	-	BSU02650
TU8J2-350	+	BSU37430 // BSU37420 // BSU37410 // BSU37400 // BSU37390 // BSU37380 // BSU37370 // BSU37360 // BSU37350
TU8J2-15997	+	BSU01510
TU8J2-559	-	BSU29470
TU8J2-1033	-	BSU07330
TU8J2-854	-	BSU14250
TU8J2-3026	-	BSU31960 // BSU31970 // BSU31980 // BSU31990 // BSU32000
TU8J2-17293	-	BSU33029
TU8J2-17300	+	BSU33840
TU8J2-870	-	BSU13700
TU8J2-868	+	BSU13789 // BSU13790 // BSU13780
TU8J2-16889	-	BSU32050
TU8J2-16796	-	BSU27200
TU8J2-15966	+	BSU00390
TU8J2-318	-	BSU38250
TU8J2-443	-	BSU34120 // BSU34130 // BSU34140 // BSU34150 // BSU34160
TU8J2-523	-	G8J2-13 // BSU30410 // BSU30420 // BSU30430 // BSU30440 // BSU30450 // BSU30460
TU8J2-17164	-	BSU13970
TU8J2-2965	+	BSU_MISC_RNA_3 // BSU01050 // BSU01040
TU8J2-16782	-	BSU26860
TU8J2-16932	-	BSU33420
TU8J2-643	+	BSU26600 // BSU26590
TU8J2-446	-	BSU33900 // BSU33910 // BSU33920 // BSU33930 // BSU33940 // BSU33950
TU8J2-16525	-	BSU19670
TU8J2-16231	+	BSU10310
TU8J2-17013	-	BSU38018 // BSU38000
TU8J2-566	+	BSU29240 // BSU29239
TU8J2-236	+	BSU40130
TU8J2-493	-	BSU31390
TU8J2-16168	+	BSU07190
TU8J2-1289	-	BSU33800 // BSU33810 // BSU33820 // BSU33830
TU8J2-630	-	BSU27630
TU8J2-1307	+	BSU27150 // BSU27140 // BSU27130 // BSU27120
TU8J2-16512	+	BSU19330 // BSU19320
TU8J2-16323	+	BSU_13545
TU8J2-728	-	BSU22540 // BSU22550 // BSU22560
TU8J2-15981	+	BSU01060
TU8J2-808	+	BSU17470
TU8J2-17239	+	BSU25720
TU8J2-17201	-	BSU19590
TU8J2-511	+	BSU30880
TU8J2-16958	-	BSU34670 // BSU34660
TU8J2-17119	+	BSU09880
TU8J2-16011	-	BSU01700 // BSU01690 // BSU01680
TU8J2-671	-	BSU24620 // BSU24630 // BSU24640
TU8J2-16891	-	BSU32090
TU8J2-709	-	BSU23450 // BSU23460 // BSU23470 // BSU23480
TU8J2-16961	-	BSU34810
TU8J2-1259	-	BSU35060 // BSU35070
TU8J2-16271	-	BSU11850 // BSU11840
TU8J2-1439	+	BSU18800
TU8J2-2951	-	BSU02350 // BSU02360
TU8J2-152	-	BSU35680 // BSU35690
TU8J2-193	+	BSU10950 // BSU10940
TU8J2-748	-	BSU21850
TU8J2-17094	+	BSU05750
TU8J2-16621	-	BSU21580 // BSU21570
TU8J2-16237	-	BSU10570
TU8J2-1255	+	BSU05720
TU8J2-104	+	BSU25870 // BSU25860
TU8J2-17291	+	BSU32849
TU8J2-16121	+	BSU05970 // BSU05960
TU8J2-689	+	BSU23890
TU8J2-17095	-	BSU05950
TU8J2-16564	+	BSU20490
TU8J2-1151	-	BSU02670 // BSU02680
TU8J2-17273	+	BSU31030
TU8J2-17054	-	BSU40579
TU8J2-16707	-	BSU25000
TU8J2-59	-	BSU22800
TU8J2-718	-	BSU23090 // BSU23100
TU8J2-1144	-	BSU02780
TU8J2-839	+	BSU15120
TU8J2-928	-	BSU10300
TU8J2-1007	+	BSU07930 // BSU07920
TU8J2-16520	-	BSU19620
TU8J2-16546	-	BSU20110 // BSU20100
TU8J2-614	-	BSU28100 // BSU28110
TU8J2-910	+	BSU11310 // BSU11300
TU8J2-838	+	BSU15160 // BSU15150 // BSU15140 // BSU15130
TU8J2-16697	+	BSU24590 // BSU24580
TU8J2-15959	+	BSU_TRNA_7
TU8J2-16027	-	BSU02220 // BSU02210
TU8J2-1098	-	BSU03960
TU8J2-16232	+	BSU10320
TU8J2-1002	-	BSU08000
TU8J2-1292	-	BSU34400 // BSU34410 // BSU34420
TU8J2-108	-	BSU22270 // BSU22280
TU8J2-16455	+	BSU18050 // BSU18040
TU8J2-17322	+	BSU36980
TU8J2-202	+	BSU40980
TU8J2-402	-	BSU36100
TU8J2-16928	+	BSU33350
TU8J2-549	+	BSU29640
TU8J2-1287	+	BSU35030 // BSU35020 // BSU35010
TU8J2-16151	+	BSU06780
TU8J2-16287	+	BSU12190
TU8J2-16612	+	BSU21380 // BSU21370 // BSU21360
TU8J2-1	-	BSU14700
TU8J2-15885	-	BSU40529
TU8J2-15922	-	BSU18400
TU8J2-896	-	BSU12090
TU8J2-536	-	BSU29980
TU8J2-167	+	BSU17720
TU8J2-17280	+	BSU32060
TU8J2-16406	+	BSU16810
TU8J2-16513	-	BSU19390 // BSU19380
TU8J2-22	+	BSU11310 // BSU11300
TU8J2-16912	-	BSU32800
TU8J2-16337	-	BSU14050
TU8J2-16220	-	BSU10070
TU8J2-16706	-	BSU24920 // BSU24910
TU8J2-16568	-	BSU20590
TU8J2-2963	+	BSU38460 // BSU38450
TU8J2-274	-	BSU39220 // BSU39230
TU8J2-16483	+	BSU18750
