Proteins	Genes	Accession-1 of Gene	Left-End-Position of Gene	Right-End-Position of Gene	Genes of polypeptide, complex, or RNA	Common-Name	Locations
BSU38100-MONOMER	BSU38100	BSU38100	3910302	3911303	BSU38100	putative monooxygenase	CCI-CYTOSOL-GP
BSU34940-MONOMER	BSU34940	BSU34940	3589611	3590363	BSU34940	putative hydratase	
BSU12190-MONOMER	BSU12190	BSU12190	1290018	1290644	BSU12190	putative ADP-ribose pyrophosphatase	
BSU24640-MONOMER	BSU24640	BSU24640	2554486	2555247	BSU24640	lipoprotein for biofilm formation	CCI-CW-BAC-POS-GP // CCI-EXTRACELLULAR-GP
CPLX8J2-156	BSU00290	BSU00290	39871	40200	BSU00290	c-di-AMP receptor	
CPLX8J2-298	BSU16970	BSU16970	1768941	1769735	BSU16970	cyclic nucleotide monophosphate phosphodiesterase	
BSU33320-MONOMER	BSU33320	BSU33320	3418474	3419421	BSU33320	iron(III) hydroxamate ABC transporter ferrichrome-binding lipoprotein	CCI-PM-BAC-POS-GP
BSU34240-MONOMER	BSU34240	BSU34240	3516233	3516883	BSU34240	UDP-N-acetylbacillosamine N-acetyltransferase; synthesis of N,N'-diacetylbacillosamine and in biofilm matrix formation	CCI-PM-BAC-POS-GP
BSU23730-MONOMER	BSU23730	BSU23730	2466721	2467953	BSU23730	putative efflux transporter	CCI-PM-BAC-POS-GP
BSU27560-MONOMER	BSU27560	BSU27560	2816535	2817809	BSU27560	histidyl-tRNA synthetase	CCI-CYTOSOL-GP
BSU13730-MONOMER	BSU13730	BSU13730	1440100	1440549	BSU13730	6-carboxy-5,6,7,8-tetrahydropterin synthase; queuosine biosynthesis	
CPLX8J2-160	BSU31210		3201027	3201803	BSU31210	RhaR-L-rhamnulose 1-phosphate	
BSU28310-MONOMER	BSU28310	BSU28310	2895248	2896972	BSU28310	acetohydroxy-acid synthase (large subunit)	CCI-CYTOSOL-GP
CPLX8J2-247	BSU32260	BSU32260	3314828	3316129	BSU32260		
BSU36360-MONOMER	BSU36360	BSU36360	3743267	3743659	BSU36360	large conductance mechanosensitive channel protein	CCI-PM-BAC-POS-GP
BSU02070-MONOMER	BSU02070	BSU02070	228066	228314	BSU02070	sporulation-specific SASP protein	
BSU21120-MONOMER	BSU21120	BSU21120	2232682	2234202	BSU21120	lethal factor in the presence of SpbK expression; phage SPbeta	
CPLX8J2-205	BSU06090 // BSU06100 // BSU06110		659623	660564	BSU06090 // BSU06100 // BSU06110	type-2 restriction enzyme BsuMI	
BSU22510-MONOMER	BSU22510	BSU22510	2360630	2361502	BSU22510	putative integral inner membrane protein	CCI-PM-BAC-POS-GP
BSU14500-MONOMER	BSU14500	BSU14500	1519635	1520468	BSU14500	putative gamma-glutamylcyclotransferase (bacillithiol degradation)	CCI-CYTOSOL-GP
BSU06620-MONOMER	BSU06620	BSU06620	721613	723619	BSU06620	DNA ligase (NAD(+)-dependent)	CCI-CYTOSOL-GP
BSU11400-MONOMER	BSU11400	BSU11400	1216210	1217121	BSU11400	oligopeptide ABC transporter membrane subunit AppC	CCI-PM-BAC-POS-GP
CPLX8J2-62	BSU41050 // BSU_MISC_RNA_35		4214753	4215103	BSU41050 // BSU_MISC_RNA_35	ribonuclease P	
BSU08810-MONOMER	BSU08810	BSU08810	959311	959508	BSU08810	transcriptional regulator (repressor of ScoC)	
BSU08910-MONOMER	BSU08910	BSU08910	967935	969095	BSU08910	epoxyqueuosine reductase	CCI-CYTOSOL-GP
BSU29460-MONOMER	BSU29460	BSU29460	3014514	3015026	BSU29460	molybdopterin GTP-binding precursor Z biosynthesis component	CCI-CYTOSOL-GP
CPLX8J2-281	BSU33630 // BSU01360 // BSU01000 // BSU27650 // BSU41040 // BSU23890		3455093	3455323	BSU33630 // BSU01360 // BSU01000 // BSU27650 // BSU41040 // BSU23890	Sec holo-translocon	
BSU33750-MONOMER	BSU33750	BSU33750	3464289	3464765	BSU33750	export step of killing factor SdpC	CCI-CYTOSOL-GP
BSU39350-MONOMER	BSU39350	BSU39350	4042051	4043577	BSU39350		CCI-CYTOSOL-GP
CPLX8J2-49	BSU14540 // BSU15690 // BSU37160 // BSU01430 // BSU01080 // BSU01070 // BSU23100		1524791	1525000	BSU14540 // BSU15690 // BSU37160 // BSU01430 // BSU01080 // BSU01070 // BSU23100	RNA polymerase, &sigma;X	
BSU39780-MONOMER	BSU39780	BSU39780	4085608	4086540	BSU39780	putative aldo-keto reductase	CCI-CYTOSOL-GP
BSU28800-MONOMER	BSU28800	BSU28800	2947385	2948875	BSU28800	L-arabinose isomerase	CCI-CYTOSOL-GP
BSU39380-MONOMER	BSU39380	BSU39380	4046503	4047462	BSU39380	formiminoglutamate formiminohydrolase subunit	
BSU29480-MONOMER	BSU29480	BSU29480	3016646	3017635	BSU29480	putative N-6 adenine-specific DNA methyltransferase	
BSU21270-MONOMER	BSU21270	BSU21270	2243989	2244180	BSU21270	structural tail protein; phage SPbeta	
BSU14640-MONOMER	BSU14640	BSU14640	1535936	1536202	BSU14640	conserved protein of unknown function	
BSU18570-MONOMER	BSU18570	BSU18570	2025400	2027442	BSU18570	putative formate dehydrogenase or molybdopterin cofactor oxido-reductase	
BSU20520-MONOMER	BSU20520	BSU20520	2193827	2193976	BSU20520	conserved hypothetical protein; phage SPbeta	CCI-PM-BAC-POS-GP
BSU09830-MONOMER	BSU09830	BSU09830	1056702	1057568	BSU09830	putative hydrolase present in spores	CCI-CYTOSOL-GP
BSU30370-MONOMER	BSU30370	BSU30370	3109397	3111337	BSU30370	ABC transporter (bacitracin resistance), membrane subunit BceB	CCI-PM-BAC-POS-GP
BSU23090-MONOMER	BSU23090	BSU23090	2413585	2414691	BSU23090	negative regulator of sigma(X) activity	CCI-PM-BAC-POS-GP
BSU_34399-MONOMER	BSU_34399	BSU_34399	3532107	3532298	BSU_34399	hypothetical protein	CCI-PM-BAC-POS-GP
BSU11480-MONOMER	BSU11480	BSU11480	1225557	1226774	BSU11480	putative exporter	CCI-PM-BAC-POS-GP
BSU40170-MONOMER	BSU40170	BSU40170	4126481	4127440	BSU40170	AdoMet radical amino acid epimerase modifying the EpeX pre-pro-peptide	CCI-CYTOSOL-GP
BSU20920-MONOMER	BSU20920	BSU20920	2212245	2212496	BSU20920	conserved membrane protein of unknown function; phage SPbeta	CCI-PM-BAC-POS-GP
BSU23020-MONOMER	BSU23020	BSU23020	2406922	2408412	BSU23020	ATP-dependent DNA helicase	CCI-BAC-NUCLEOID-GP // CCI-CYTOSOL-GP
BSU09940-MONOMER	BSU09940	BSU09940	1070111	1070323	BSU09940	sporulation factor	CCI-PM-BAC-POS-GP
BSU13819-MONOMER	BSU13819	BSU13819	1448013	1448207	BSU13819	conserved hypothetical protein (HGT island)	
CPLX8J2-214	BSU30220	BSU30220	3092184	3093353	BSU30220		
BSU17190-MONOMER	BSU17190	BSU17190	1807921	1821537	BSU17190	bacillaene polyketide synthase PksL	CCI-PM-BAC-POS-GP // CCI-CYTOSOL-GP
BSU11170-MONOMER	BSU11170	BSU11170	1192858	1194288	BSU11170	putative FMN/FAD-binding oxidoreductase	
CPLX8J2-293	BSU24520	BSU24520	2543440	2543868	BSU24520	transcriptional regulator for manganese transport MntR	
BSU02620-MONOMER	BSU02620	BSU02620	284011	285762	BSU02620	secreted phosphodiesterase (endo-hydrolysis at non-specific sites throughout the cell wall teichoic acid polymer)	
BSU39550-MONOMER	BSU39550	BSU39550	4063684	4064496	BSU39550	sugar-phosphate hydrolase (promiscuous)	CCI-CYTOSOL-GP
BSU00030-MONOMER	BSU00030	BSU00030	3206	3421	BSU00030	RNA binding protein involved in ribosome 50S subunit maturation	CCI-CYTOSOL-GP
BSU23520-MONOMER	BSU23520	BSU23520	2449841	2450290	BSU23520	transcriptional regulator for iron transport and metabolism (Fur::Fe2+)	CCI-CYTOSOL-GP
MONOMER8J2-33	BSU19200	BSU19200	2091705	2092304	BSU19200	DesR two-component response regulator, phosphorylated	CCI-CYTOSOL-GP
BSU14110-MONOMER	BSU14110	BSU14110	1484466	1484984	BSU14110	putative RNA-binding enzyme component	
BSU33510-MONOMER	BSU33510	BSU33510	3443613	3443822	BSU33510	copper chaperone CopZ	CCI-CYTOSOL-GP
BSU08780-MONOMER	BSU08780	BSU08780	954893	955585	BSU08780	putative peptidase	
BSU12660-MONOMER	BSU12660	BSU12660	1333804	1334247	BSU12660	phage PBSX; putative tail tube protein	
BSU41030-MONOMER	BSU41030	BSU41030	4213200	4213826	BSU41030	SpoIIIJ-associated RNA/ssDNA-binding protein	CCI-CYTOSOL-GP
BSU12510-MONOMER	BSU12510	BSU12510	1321329	1321670	BSU12510	phage PBSX transcriptional regulator	
BSU11530-MONOMER	BSU11530	BSU11530	1229915	1231036	BSU11530	protein involved in establishment of DNA transport in competence	CCI-CYTOSOL-GP
BSU18370-MONOMER	BSU18370	BSU18370	2000960	2002351	BSU18370	putative Na+-driven efflux transporter	CCI-PM-BAC-POS-GP
BSU26430-MONOMER	BSU26430	BSU26430	2704435	2705130	BSU26430	two-component response regulator [YrkQ]	CCI-CYTOSOL-GP
BSU23930-MONOMER	BSU23930	BSU23930	2488329	2488751	BSU23930	putative methylmalonyl-CoA epimerase	
BSU32300-MONOMER	BSU32300	BSU32300	3318828	3319262	BSU32300	conserved protein of unknown function	
BSU34470-MONOMER	BSU34470	BSU34470	3539165	3540727	BSU34470	L-aspartate/L-glutamate / proton permease	CCI-PM-BAC-POS-GP
MONOMER8J2-7	G8J2-7	BSU_09959	1071613	1071699	G8J2-7	spore and germination protein	CCI-PM-BAC-POS-GP
BSU08400-MONOMER	BSU08400	BSU08400	914457	916013	BSU08400	putative efflux transporter for mercapturic acids	CCI-PM-BAC-POS-GP
BSU38580-MONOMER	BSU38580	BSU38580	3960192	3961550	BSU38580	phosphotransferase system (PTS) lichenan-specific enzyme IIC component	CCI-PM-BAC-POS-GP
BSU17390-MONOMER	BSU17390	BSU17390	1871089	1872078	BSU17390	ribonucleoside-diphosphate reductase (minor subunit)	CCI-CYTOSOL-GP
CPLX8J2-296	BSU05920 // BSU05940		642111	642800	BSU05920 // BSU05940	TsaB-TsaD complex	
BSU13720-MONOMER	BSU13720	BSU13720	1439448	1440107	BSU13720	7-cyano-7-deazaguanine (preQ0) synthase	CCI-CYTOSOL-GP
BSU34290-MONOMER	BSU34290	BSU34290	3520030	3521106	BSU34290	putative polysaccharide pyruvyl transferase involved in biofilm matrix formation	
BSU01200-MONOMER	BSU01200	BSU01200	138202	138480	BSU01200	ribosomal protein S19 (BS19)	CCI-CYTOSOL-GP // CCI-RIBOSOME-GP
MONOMER8J2-30	BSU35500	BSU35500	3645379	3646536	BSU35500	DegS two-component sensory histidine kinase, phosphorylated	
BSU04190-MONOMER	BSU04190	BSU04190	471709	472569	BSU04190	putative dehydrogenase	
BSU40190-MONOMER	BSU40190	BSU40190	4128119	4130044	BSU40190	fructose-1,6-bisphosphatase	
BSU11690-MONOMER	BSU11690	BSU11690	1245041	1245811	BSU11690	thiazole synthase	CCI-CYTOSOL-GP
BSU00150-MONOMER	BSU00150	BSU00150	23146	23769	BSU00150	deoxyguanosine kinase	CCI-CYTOSOL-GP
BSU09060-MONOMER	BSU09060	BSU09060	981237	981602	BSU09060	putative transcriptional regulator (GntR family)	
BSU_01790-MONOMER	BSU_01790	BSU_01790	202126	202266	BSU_01790	hypothetical protein	
BSU31260-MONOMER	BSU31260	BSU31260	3210445	3212433	BSU31260	methyl-accepting chemotaxis protein	CCI-PM-BAC-POS-GP
BSU15900-MONOMER	BSU15900	BSU15900	1663567	1664520	BSU15900	malonyl CoA:acyl carrier protein transacylase	CCI-CYTOSOL-GP
BSU32080-MONOMER	BSU32080	BSU32080	3299344	3299664	BSU32080	conserved protein of unknown function	CCI-PM-BAC-POS-GP
BSU24880-MONOMER	BSU24880	BSU24880	2573520	2573693	BSU24880	conserved protein of unknown function	
BSU10410-MONOMER	BSU10410	BSU10410	1116583	1116816	BSU10410	conserved protein of unknown function	
BSU25410-MONOMER	BSU25410	BSU25410	2620371	2620544	BSU25410	ribosomal protein S21	CCI-RIBOSOME-GP
BSU29370-MONOMER	BSU29370	BSU29370	3006600	3007412	BSU29370	S-alkyl cysteine ABC transporter substrate-binding lipoprotein TcyK	CCI-PM-BAC-POS-GP
BSU12060-MONOMER	BSU12060	BSU12060	1277686	1278165	BSU12060	cys-tRNApro deacetylase; tRNA editing	
BSU14320-MONOMER	BSU14320	BSU14320	1499889	1501646	BSU14320	ABC family transporter ATP-binding/membrane protein YknU	CCI-PM-BAC-POS-GP
BSU13020-MONOMER	BSU13020	BSU13020	1371015	1371875	BSU13020	N(G),N(G)-dimethylarginine dimethylaminohydrolase	
BSU17320-MONOMER	BSU17320	BSU17320	1865876	1866289	BSU17320	putative sporulation-related protein of unknown function	
BSU08490-MONOMER	BSU08490	BSU08490	924210	924401	BSU08490	conserved stress-related spore protein	
BSU20130-MONOMER	BSU20130	BSU20130	2167570	2167932	BSU20130	conserved protein of unknown function; phage SPbeta	
BSU08530-MONOMER	BSU08530	BSU08530	926429	926743	BSU08530	putative nucleic acid binding protein	
BSU01640-MONOMER	BSU01640	BSU01640	183414	185003	BSU01640	transcriptional activator (AraC/XylS family) of synthesis and uptake of the siderophore bacillibactin	CCI-CYTOSOL-GP
BSU11360-MONOMER	BSU11360	BSU11360	1211477	1212463	BSU11360	oligopeptide ABC transporter ATP-binding protein AppD	CCI-PM-BAC-POS-GP
BSU_18595-MONOMER	BSU_18595	BSU_18595	2028665	2028784	BSU_18595	hypothetical protein	
BSU37170-MONOMER	BSU37170	BSU37170	3813246	3814385	BSU37170	acyl-CoA dehydrogenase	
CPLX8J2-277	BSU14590 // BSU14580 // BSU14600 // BSU14610		1529445	1530422	BSU14590 // BSU14580 // BSU14600 // BSU14610	pyruvate dehydrogenase system	
BSU07140-MONOMER	BSU07140	BSU07140	784381	785076	BSU07140	conserved membrane protein	CCI-PM-BAC-POS-GP
BSU08470-MONOMER	BSU08470	BSU08470	922618	923499	BSU08470	putative isomerase	CCI-CYTOSOL-GP
BSU08550-MONOMER	BSU08550	BSU08550	928112	928264	BSU08550	small acid-soluble spore protein	
BSU29280-MONOMER	BSU29280	BSU29280	2998796	2999698	BSU29280	putative transporter	CCI-PM-BAC-POS-GP
BSU23960-MONOMER	BSU23960	BSU23960	2490574	2491296	BSU23960	arginine ABC transporter ATP-binding protein	CCI-PM-BAC-POS-GP
BSU08210-MONOMER	BSU08210	BSU08210	893904	895625	BSU08210	ABC family transporter ATP-binding/membrane protein YfiB	CCI-PM-BAC-POS-GP
BSU26180-MONOMER	BSU26180	BSU26180	2686770	2688302	BSU26180	putative phage capsid portal protein; skin element	
BSU05880-MONOMER	BSU05880	BSU05880	632774	633862	BSU05880	exported mannan endo-1,4-beta-mannosidase	CCI-EXTRACELLULAR-GP
BSU17370-MONOMER	BSU17370	BSU17370	1868617	1869009	BSU17370	flavodoxin activase of ribonucleotide diphosphate reductase	CCI-CYTOSOL-GP
BSU23640-MONOMER	BSU23640	BSU23640	2460664	2461581	BSU23640	putative hydrolase	CCI-PM-BAC-POS-GP
BSU13510-MONOMER	BSU13510	BSU13510	1417719	1417895	BSU13510	conserved spore-associated protein of unknown function	
BSU35310-MONOMER	BSU35310	BSU35310	3631003	3631572	BSU35310	ribosome-associated sigma 54 modulation protein; ribosome dimerisation factor	CCI-CYTOSOL-GP
BSU17580-MONOMER	BSU17580	BSU17580	1888774	1890375	BSU17580	xylan beta-1,4-xylosidase	CCI-CYTOSOL-GP // CCI-PM-BAC-POS-GP
BSU31230-MONOMER	BSU31230	BSU31230	3204067	3206055	BSU31230	methyl-accepting chemotaxis protein	CCI-PM-BAC-POS-GP
BSU02640-MONOMER	BSU02640	BSU02640	286048	286776	BSU02640	component of the twin-arginine pre-protein translocation pathway	CCI-PM-BAC-POS-GP
BSU12930-MONOMER	BSU12930	BSU12930	1361242	1362168	BSU12930	dipeptide ABC transporter membrane subunit DppB	CCI-PM-BAC-POS-GP
BSU08460-MONOMER	BSU08460	BSU08460	921472	922503	BSU08460	xenosiderophore schizokinen (dihydroxamate) transporter (permease)	CCI-PM-BAC-POS-GP
BSU33140-MONOMER	BSU33140	BSU33140	3399092	3400360	BSU33140	putative efflux protein	CCI-PM-BAC-POS-GP
BSU08700-MONOMER	BSU08700	BSU08700	941168	942229	BSU08700	putative aromatic compound exporter	CCI-PM-BAC-POS-GP
BSU07700-MONOMER	BSU07700	BSU07700	840656	842014	BSU07700	phosphotransferase system (PTS) N-acetylglucosamine-specific enzyme IICB component	CCI-PM-BAC-POS-GP
BSU15500-MONOMER	BSU15500	BSU15500	1621374	1622660	BSU15500	dihydroorotase	CCI-CYTOSOL-GP
BSU01100-MONOMER	BSU01100	BSU01100	129702	130118	BSU01100	ribosomal protein S12 (BS12)	CCI-RIBOSOME-GP
BSU31960-MONOMER	BSU31960	BSU31960	3280519	3287655	BSU31960	inactive <i>apo</i>-DhbF protein	CCI-CYTOSOL-GP
CPLX8J2-179	BSU32110	BSU32110	3301586	3302584	BSU32110	ferredoxin/flavodoxin&mdash;NADP<sup>+</sup> reductase	
BSU16750-MONOMER	BSU16750	BSU16750	1745991	1747031	BSU16750	aspartate-semialdehyde dehydrogenase	
BSU11040-MONOMER	BSU11040	BSU11040	1182448	1183032	BSU11040	biofilm-associated toxin	CCI-PM-BAC-POS-GP
CPLX8J2-145	BSU03890	BSU03890	440025	441464	BSU03890	transcriptional dual regulator GabR (GntR/MocR family)	
BSU29640-MONOMER	BSU29640	BSU29640	3033167	3033658	BSU29640	free methionine-(R)-sulfoxide reductase	CCI-CYTOSOL-GP
BSU35610-MONOMER	BSU35610	BSU35610	3658351	3658892	BSU35610	undecaprenyl-phosphate <i>N</i>-acetylgalactosaminyl 1-phosphate transferase	CCI-PM-BAC-POS-GP
BSU08640-MONOMER	BSU08640	BSU08640	936773	936997	BSU08640	regulator of cell size and division; protein related to sporulation	CCI-CYTOSOL-GP
BSU35790-MONOMER	BSU35790	BSU35790	3687597	3688547	BSU35790	aldose-6-phosphate isomerase (active on aldose substrates with hydroxyl groups oriented in the same direction at the C-2 and C-3 positions as in mannose)	CCI-CYTOSOL-GP
BSU23580-MONOMER	BSU23580	BSU23580	2455819	2456808	BSU23580	l-asparaginase	CCI-CYTOSOL-GP
BSU19670-MONOMER	BSU19670	BSU19670	2138037	2138717	BSU19670	conserved hypothetical protein	
BSU12390-MONOMER	BSU12390	BSU12390	1311319	1312812	BSU12390	altronate dehydratase	
CPLX8J2-148	BSU35240	BSU35240	3622356	3623798	BSU35240	PDZ-containing carboxyl-terminal protease processing protease	
BSU00250-MONOMER	BSU00250	BSU00250	35845	36459	BSU00250	phosphatase (unknown specificity)	CCI-PM-BAC-POS-GP
BSU20700-MONOMER	BSU20700	BSU20700	2201125	2201475	BSU20700	conserved protein of unknown function; phage SPbeta	
BSU27090-MONOMER	BSU27090	BSU27090	2766558	2767946	BSU27090	small amino acid permease	CCI-PM-BAC-POS-GP
BSU32340-MONOMER	BSU32340	BSU32340	3321455	3322435	BSU32340	sporulation-specific L-Ala-D-Glu endopeptidase involved in endospore cortex maturation	
BSU24780-MONOMER	BSU24780	BSU24780	2564638	2564883	BSU24780	conserved protein of unknown function	CCI-PM-BAC-POS-GP
BSU22370-MONOMER	BSU22370	BSU22370	2347660	2348841	BSU22370	anabolic oxaloacetate / glutamate aminotransferase (PLP-dependent)	CCI-CYTOSOL-GP
BSU05280-MONOMER	BSU05280	BSU05280	574690	575562	BSU05280	putative integral membrane protein	CCI-PM-BAC-POS-GP
BSU18090-MONOMER	BSU18090	BSU18090	1933477	1935444	BSU18090	subunit B of DNA topoisomerase IV (ATP-dependent)	
BSU19320-MONOMER	BSU19320	BSU19320	2102168	2104066	BSU19320	tetraprenyl-beta-curcumene cyclase; squalene-hopene cyclase; sporulenol synthase (spore protection)	CCI-PM-BAC-POS-GP
BSU22940-MONOMER	BSU22940	BSU22940	2400208	2400864	BSU22940	protease required for RsiW anti-sigma(W) degradation	CCI-PM-BAC-POS-GP
BSU37550-MONOMER	BSU37550	BSU37550	3853717	3854136	BSU37550	putative transcriptional regulator (MarR family)	
BSU13040-MONOMER	BSU13040	BSU13040	1372792	1373991	BSU13040	flavohemoglobin	
BSU32750-MONOMER	BSU32750	BSU32750	3363266	3364291	BSU32750	methionine ABC transporter ATP-binding protein	CCI-PM-BAC-POS-GP
BSU23990-MONOMER	BSU23990	BSU23990	2493064	2493501	BSU23990	bacilliredoxin B (de-bacillithiolation)	
BSU26970-MONOMER	BSU26970	BSU26970	2753452	2754588	BSU26970	putative oxidoreductase (involving CoAlation), forespore specific	
BSU40610-MONOMER	BSU40610	BSU40610	4175117	4175872	BSU40610	putative transporter permease subunit	
BSU11660-MONOMER	BSU11660	BSU11660	1243134	1243751	BSU11660	thiazole tautomerase	CCI-CYTOSOL-GP
BSU05230-MONOMER	BSU05230	BSU05230	570371	571234	BSU05230	putative permease	CCI-PM-BAC-POS-GP
CPLX8J2-146	BSU17460	BSU17460	1878425	1879759	BSU17460		
BSU30520-MONOMER	BSU30520	BSU30520	3123490	3124005	BSU30520	putative transferase	
BSU30020-MONOMER	BSU30020	BSU30020	3072401	3072622	BSU30020	putative transcriptional regulator (DeoR family)	
BSU33120-MONOMER	BSU33120	BSU33120	3397846	3398523	BSU33120	modulator of liaIHGFSR (yvqIHGFEC) operon expression	CCI-CYTOSOL-GP
MONOMER8J2-40	BSU36520	BSU36520	3758016	3758366	BSU36520	nitrogen-regulated PII-like regulator protein	
BSU40830-MONOMER	BSU40830	BSU40830	4193264	4194163	BSU40830	putative integral inner membrane protease	CCI-PM-BAC-POS-GP
BSU09450-MONOMER	BSU09450	BSU09450	1022231	1023100	BSU09450	putative NAD(P)-dependent dehydrogenase	
BSU30690-MONOMER	BSU30690	BSU30690	3138321	3138884	BSU30690	carbonic anhydrase	
CPLX8J2-201	BSU29730 // BSU29720		3043284	3044102	BSU29730 // BSU29720	sodium channel stator-force generator complex	
CPLX8J2-80	BSU16730 // BSU16740		1744367	1745260	BSU16730 // BSU16740	spore dipicolinate synthase	
BSU10920-MONOMER	BSU10920	BSU10920	1170473	1171642	BSU10920	putative sulfate adenylyltransferase	
BSU02540-MONOMER	BSU02540	BSU02540	277342	278280	BSU02540	putative tryptophan or indole exporter	CCI-PM-BAC-POS-GP
BSU27870-MONOMER	BSU27870	BSU27870	2847871	2849466	BSU27870	L-aspartate oxidase	CCI-CYTOSOL-GP
BSU37640-MONOMER	BSU37640	BSU37640	3863415	3864260	BSU37640	GcvH:[lipoyl domain] amidotransferase	
BSU01970-MONOMER	BSU01970	BSU01970	219087	219602	BSU01970	sporulation killing factor biosynthesis and export	
BSU01810-MONOMER	BSU01810	BSU01810	203729	204364	BSU01810	methylphosphotriester-DNA alkyltransferase and transcriptional regulator (AraC/XylS family)	
BSU04490-MONOMER	BSU04490	BSU04490	502908	503834	BSU04490	putative ABC efflux transporter ATP-binding subunit YdbJ	
BSU07370-MONOMER	BSU07370	BSU07370	809557	811446	BSU07370	translation factor that prevents ribosome stalling	CCI-PM-BAC-POS-GP
BSU27430-MONOMER	BSU27430	BSU27430	2802358	2803086	BSU27430	putative L-glutamine ABC transporter ATP-binding protein	CCI-PM-BAC-POS-GP
BSU22330-MONOMER	BSU22330	BSU22330	2344264	2344758	BSU22330	conserved protein of unknown function	
BSU16680-MONOMER	BSU16680	BSU16680	1738941	1739210	BSU16680	ribosomal protein S15 (BS18)	CCI-CYTOSOL-GP // CCI-RIBOSOME-GP
BSU39220-MONOMER	BSU39220	BSU39220	4023054	4023482	BSU39220	antitoxin of WapA tRNase (immunity protein)	
CPLX8J2-123	BSU23250	BSU23250	2427892	2428356	BSU23250	6,7-dimethyl-8-ribityllumazine synthase	
BSU_37569-MONOMER	BSU_37569	BSU_37569	3856782	3856937	BSU_37569	hypothetical protein	
BSU22430-MONOMER	BSU22430	BSU22430	2353839	2354672	BSU22430	ketopantoate hydroxymethyltransferase	CCI-CYTOSOL-GP
BSU24320-MONOMER	BSU24320	BSU24320	2529267	2529662	BSU24320	transcription antitermination factor	CCI-CYTOSOL-GP
BSU11990-MONOMER	BSU11990	BSU11990	1269733	1270080	BSU11990	putative exported protein; phage island	
CPLX8J2-3	BSU29210 // BSU29200		2988693	2989565	BSU29210 // BSU29200	acetyl-CoA carboxylase	
BSU_21638-MONOMER	BSU_21638	BSU_21638	2282505	2282639	BSU_21638	hypothetical protein; phage SPbeta	
BSU_26449-MONOMER	BSU_26449	BSU_26449	2706534	2706782	BSU_26449	hypothetical protein	
BSU38018-MONOMER	BSU38018	BSU38018	3900481	3900819	BSU38018	putative transcriptional regulator, PadR family	
BSU36630-MONOMER	BSU36630	BSU36630	3766178	3766579	BSU36630	putative transcriptional regulator	CCI-CYTOSOL-GP
BSU04040-MONOMER	BSU04040	BSU04040	456068	456817	BSU04040	5-amino-6-ribitylamino-2,4(1H,3H)-pyrimidinedione 5'-phosphate phosphatase / 5' nucleotidase (promiscuous)	CCI-CYTOSOL-GP
CPLX-9285	BSU37540	BSU37540	3853486	3853674	BSU37540	1,3-keto-enol tautomerase	
BSU36790-MONOMER	BSU36790	BSU36790	3780562	3781035	BSU36790	conserved protein of unknown function	
CPLX8J2-11	BSU28640 // BSU28630		2929438	2930472	BSU28640 // BSU28630	phenylalanyl-tRNA synthetase	
BSU27930-MONOMER	BSU27930	BSU27930	2853981	2854559	BSU27930	sporulation initiation phosphotransferase	CCI-CYTOSOL-GP
BSU28280-MONOMER	BSU28280	BSU28280	2892138	2893694	BSU28280	2-isopropylmalate synthase	CCI-CYTOSOL-GP
BSU04760-MONOMER	BSU04760	BSU04760	524782	525222	BSU04760	conserved protein of unknown function	
BSU19120-MONOMER	BSU19120	BSU19120	2084786	2085109	BSU19120	transcriptional regulator (multiple metal-sensing ArsR-SmtB transcriptional repressor favouring Zn(2+))	CCI-CYTOSOL-GP
BSU06320-MONOMER	BSU06320	BSU06320	686962	687834	BSU06320	Mn<sup>2+</sup> efflux transporter MneS	CCI-PM-BAC-POS-GP
BSU38340-MONOMER	BSU38340	BSU38340	3934358	3935557	BSU38340	putative sugar permease	CCI-PM-BAC-POS-GP
BSU31200-MONOMER	BSU31200	BSU31200	3199565	3201022	BSU31200	rhamnulokinase	CCI-CYTOSOL-GP
BSU18630-MONOMER	BSU18630	BSU18630	2032927	2033625	BSU18630	extracellular endoglucanase precursor (expansin)	CCI-CW-BAC-POS-GP // CCI-EXTRACELLULAR-GP
BSU21090-MONOMER	BSU21090	BSU21090	2229385	2229885	BSU21090	conserved protein of unknown function; phage SPbeta	
BSU29050-MONOMER	BSU29050	BSU29050	2970038	2970880	BSU29050	promiscuous aldo/keto reductase	
BSU35960-MONOMER	BSU35960	BSU35960	3706145	3707062	BSU35960	ribose ABC transporter substrate-binding lipoprotein	CCI-PM-BAC-POS-GP
BSU26120-MONOMER	BSU26120	BSU26120	2682486	2682881	BSU26120	portal gatekeeper phage protein; skin element	
BSU34640-MONOMER	BSU34640	BSU34640	3558940	3559515	BSU34640	putative modified purine riboside 5'-monophosphate phosphoribohydrolase	CCI-CYTOSOL-GP
BSU13710-MONOMER	BSU13710	BSU13710	1438092	1439135	BSU13710	putative transporter	CCI-PM-BAC-POS-GP
BSU05670-MONOMER	BSU05670	BSU05670	612836	613330	BSU05670	putative transcriptional regulator (MarR family)	
BSU34120-MONOMER	BSU34120	BSU34120	3501651	3502940	BSU34120	arabinogalactan endo-1,4-&beta;-galactosidase	CCI-EXTRACELLULAR-GP
BSU28540-MONOMER	BSU28540	BSU28540	2917166	2917942	BSU28540	enoyl-CoA hydratase; 3-hydroxyacyl-CoA dehydratase	CCI-CYTOSOL-GP
