Modified_enzyme	Core_enzyme	Modifications	Source
G6880-MONOMER_mod_mg2(1)	G6880-MONOMER	mg2(1)	M_protein_recon
EG10943-MONOMER_mod_mg2(1)	EG10943-MONOMER	mg2(1)	M_protein_recon
H2NEOPTERINP3PYROPHOSPHOHYDRO-MONOMER_mod_mg2(1)	H2NEOPTERINP3PYROPHOSPHOHYDRO-MONOMER	mg2(1)	M_protein_recon
ArgS_mono_mod_mg2(1)	ArgS_mono	mg2(1)	M_protein_recon
TREHALOSEPHOSPHASYN-MONOMER_mod_mg2(1)	TREHALOSEPHOSPHASYN-MONOMER	mg2(1)	M_protein_recon
PHOSPHAGLYPSYN-MONOMER_mod_mg2(1)	PHOSPHAGLYPSYN-MONOMER	mg2(1)	M_protein_recon
DTDPGLUCOSEPP-MONOMER_mod_mg2(1)	DTDPGLUCOSEPP-MONOMER	mg2(1)	M_protein_recon
UDK-MONOMER_mod_mg2(1)	UDK-MONOMER	mg2(1)	M_protein_recon
O-SUCCINYLBENZOATE-COA-SYN-MONOMER_mod_mg2(1)	O-SUCCINYLBENZOATE-COA-SYN-MONOMER	mg2(1)	M_protein_recon
EG10534-MONOMER_mod_mg2(1)	EG10534-MONOMER	mg2(1)	M_protein_recon
EG10983-MONOMER_mod_mg2(1)	EG10983-MONOMER	mg2(1)	M_protein_recon
FGAMSYN-MONOMER_mod_mg2(1)	FGAMSYN-MONOMER	mg2(1)	M_protein_recon
GLUTCYSLIG-MONOMER_mod_mg2(1)	GLUTCYSLIG-MONOMER	mg2(1)	M_protein_recon
G7408-MONOMER_mod_mg2(1)	G7408-MONOMER	mg2(1)	M_protein_recon
FUCULOKIN-MONOMER_mod_mg2(1)	FUCULOKIN-MONOMER	mg2(1)	M_protein_recon
G7496-MONOMER_mod_mg2(1)	G7496-MONOMER	mg2(1)	M_protein_recon
MALSYNG-MONOMER_mod_mg2(1)	MALSYNG-MONOMER	mg2(1)	M_protein_recon
GLYCPDIESTER-CYTO-MONOMER_mod_mg2(1)	GLYCPDIESTER-CYTO-MONOMER	mg2(1)	M_protein_recon
DEOXYGLUCONOKIN-MONOMER_mod_mg2(1)	DEOXYGLUCONOKIN-MONOMER	mg2(1)	M_protein_recon
GLCNACPTRANS-MONOMER_mod_mg2(1)	GLCNACPTRANS-MONOMER	mg2(1)	M_protein_recon
ADENYLATECYC-MONOMER_mod_mg2(1)	ADENYLATECYC-MONOMER	mg2(1)	M_protein_recon
EG11470-MONOMER_mod_mg2(1)	EG11470-MONOMER	mg2(1)	M_protein_recon
RHAMNULOKIN-MONOMER_mod_mg2(1)	RHAMNULOKIN-MONOMER	mg2(1)	M_protein_recon
DMK-MONOMER_mod_mg2(1)	DMK-MONOMER	mg2(1)	M_protein_recon
THIE-MONOMER_mod_mg2(1)	THIE-MONOMER	mg2(1)	M_protein_recon
4OHBENZOATE-OCTAPRENYLTRANSFER-MONOMER_mod_mg2(1)	4OHBENZOATE-OCTAPRENYLTRANSFER-MONOMER	mg2(1)	M_protein_recon
EG10043-MONOMER_mod_mg2(1)	EG10043-MONOMER	mg2(1)	M_protein_recon
EG12440-MONOMER_mod_mg2(1)	EG12440-MONOMER	mg2(1)	M_protein_recon
ValS_mono_mod_mg2(1)	ValS_mono	mg2(1)	M_protein_recon
PSERPHOSPHA-MONOMER_mod_mg2(1)	PSERPHOSPHA-MONOMER	mg2(1)	M_protein_recon
PRPPSYN-MONOMER_mod_mg2(1)_mod_pi(1)	PRPPSYN-MONOMER	mg2(1) AND pi(1)	M_protein_recon
PRPPSYN-MONOMER_mod_mn2(1)_mod_pi(1)	PRPPSYN-MONOMER	mn2(1) AND pi(1)	M_protein_recon
GPH-MONOMER_mod_mg2(1)_mod_cl(1)	GPH-MONOMER	mg2(1) AND cl(1)	M_protein_recon
CDPDIGLYSYN-MONOMER_mod_mg2(1)_mod_k(1)	CDPDIGLYSYN-MONOMER	mg2(1) AND k(1)	M_protein_recon
Fmt_mono_mod_mg2(1)_mod_k(1)	Fmt_mono	mg2(1) AND k(1)	M_protein_recon
CPLX0-7525_mod_mg2(1)_mod_mn2(1)_mod_thmpp(1)	CPLX0-7525	mg2(1) AND mn2(1) AND thmpp(1)	M_protein_recon
3-ISOPROPYLMALDEHYDROG-CPLX_mod_mg2(1)_mod_mn2(1)	3-ISOPROPYLMALDEHYDROG-CPLX	mg2(1) AND mn2(1)	M_protein_recon
GltX_mono_mod_mg2(1)_mod_zn2(1)	GltX_mono	mg2(1) AND zn2(1)	M_protein_recon
GLYOCARBOLIG-CPLX_mod_mg2(1)_mod_thmpp(1)_mod_fad(1)	GLYOCARBOLIG-CPLX	mg2(1) AND thmpp(1) AND fad(1)	M_protein_recon
CPLX0-234_mod_mg2(1)	CPLX0-234	mg2(1)	M_protein_recon
CPLX0-234_mod_mn2(1)	CPLX0-234	mn2(1)	M_protein_recon
CPLX0-234_mod_cobalt2(1)	CPLX0-234	cobalt2(1)	M_protein_recon
CPLX0-238_mod_mg2(1)	CPLX0-238	mg2(1)	M_protein_recon
CPLX0-243_mod_mg2(1)	CPLX0-243	mg2(1)	M_protein_recon
CPLX0-3482_mod_mg2(1)	CPLX0-3482	mg2(1)	M_protein_recon
CPLX0-3721_mod_mg2(1)	CPLX0-3721	mg2(1)	M_protein_recon
CPLX0-3841_mod_mg2(1)	CPLX0-3841	mg2(1)	M_protein_recon
CPLX0-3948_mod_mg2(1)	CPLX0-3948	mg2(1)	M_protein_recon
CPLX0-682_mod_mg2(1)	CPLX0-682	mg2(1)	M_protein_recon
CPLX0-7426_mod_mg2(1)	CPLX0-7426	mg2(1)	M_protein_recon
CPLX0-7615_mod_mg2(1)	CPLX0-7615	mg2(1)	M_protein_recon
CPLX0-7692_mod_mg2(1)	CPLX0-7692	mg2(1)	M_protein_recon
CPLX0-7704_mod_mg2(1)	CPLX0-7704	mg2(1)	M_protein_recon
CPLX0-7709_mod_mg2(1)	CPLX0-7709	mg2(1)	M_protein_recon
CPLX0-7744_mod_mg2(1)	CPLX0-7744	mg2(1)	M_protein_recon
CPLX0-7826_mod_mg2(1)	CPLX0-7826	mg2(1)	M_protein_recon
CTPSYN-CPLX_mod_mg2(1)	CTPSYN-CPLX	mg2(1)	M_protein_recon
DETHIOBIOTIN-SYN-CPLX_mod_mg2(1)	DETHIOBIOTIN-SYN-CPLX	mg2(1)	M_protein_recon
DGTPTRIPHYDRO-CPLX_mod_mg2(1)	DGTPTRIPHYDRO-CPLX	mg2(1)	M_protein_recon
DIOHBUTANONEPSYN-CPLX_mod_mg2(1)	DIOHBUTANONEPSYN-CPLX	mg2(1)	M_protein_recon
Eno_dim_mod_mg2(4)	Eno_dim	mg2(4)	M_protein_recon
F16B-CPLX_mod_mg2(1)	F16B-CPLX	mg2(1)	M_protein_recon
GLUC1PADENYLTRANS-CPLX_mod_mg2(1)	GLUC1PADENYLTRANS-CPLX	mg2(1)	M_protein_recon
GLUCONOKINII-CPLX_mod_mg2(1)	GLUCONOKINII-CPLX	mg2(1)	M_protein_recon
GLUTATHIONE-SYN-CPLX_mod_mg2(1)	GLUTATHIONE-SYN-CPLX	mg2(1)	M_protein_recon
GLUTKIN-CPLX_mod_mg2(1)	GLUTKIN-CPLX	mg2(1)	M_protein_recon
H2PTEROATESYNTH-CPLX_mod_mg2(1)	H2PTEROATESYNTH-CPLX	mg2(1)	M_protein_recon
His_RS_dim_mod_mg2(4)	His_RS_dim	mg2(4)	M_protein_recon
KDO-8PPHOSPHAT-CPLX_mod_mg2(1)	KDO-8PPHOSPHAT-CPLX	mg2(1)	M_protein_recon
MENE-CPLX_mod_mg2(1)	MENE-CPLX	mg2(1)	M_protein_recon
MENF-CPLX_mod_mg2(1)	MENF-CPLX	mg2(1)	M_protein_recon
NAG1P-URIDYLTRANS-CPLX_mod_mg2(1)	NAG1P-URIDYLTRANS-CPLX	mg2(1)	M_protein_recon
OROPRIBTRANS-CPLX_mod_mg2(1)	OROPRIBTRANS-CPLX	mg2(1)	M_protein_recon
PANTOTHENATE-KIN-CPLX_mod_mg2(1)	PANTOTHENATE-KIN-CPLX	mg2(1)	M_protein_recon
PEPCARBOX-CPLX_mod_mg2(1)	PEPCARBOX-CPLX	mg2(1)	M_protein_recon
PEPSYNTH-CPLX_mod_mg2(1)	PEPSYNTH-CPLX	mg2(1)	M_protein_recon
PPX-CPLX_mod_mg2(1)	PPX-CPLX	mg2(1)	M_protein_recon
PRPPAMIDOTRANS-CPLX_mod_mg2(1)	PRPPAMIDOTRANS-CPLX	mg2(1)	M_protein_recon
QUINOPRIBOTRANS-CPLX_mod_mg2(1)	QUINOPRIBOTRANS-CPLX	mg2(1)	M_protein_recon
THYMIDYLATESYN-CPLX_mod_mg2(1)	THYMIDYLATESYN-CPLX	mg2(1)	M_protein_recon
UPPSYN-CPLX_mod_mg2(1)	UPPSYN-CPLX	mg2(1)	M_protein_recon
H2PTERIDINEPYROPHOSPHOKIN-MONOMER_mod_mg2(1)	H2PTERIDINEPYROPHOSPHOKIN-MONOMER	mg2(1)	M_protein_recon
DXPREDISOM-CPLX_mod_mn2(1)	DXPREDISOM-CPLX	mn2(1)	M_protein_recon
DXPREDISOM-CPLX_mod_cobalt2(1)	DXPREDISOM-CPLX	cobalt2(1)	M_protein_recon
DXPREDISOM-CPLX_mod_mg2(1)	DXPREDISOM-CPLX	mg2(1)	M_protein_recon
MALIC-NAD-CPLX_mod_mn2(1)	MALIC-NAD-CPLX	mn2(1)	M_protein_recon
MALIC-NAD-CPLX_mod_mg2(1)	MALIC-NAD-CPLX	mg2(1)	M_protein_recon
MALIC-NADP-CPLX_mod_mn2(1)	MALIC-NADP-CPLX	mn2(1)	M_protein_recon
MALIC-NADP-CPLX_mod_mg2(1)	MALIC-NADP-CPLX	mg2(1)	M_protein_recon
SUPEROX-DISMUTMN-CPLX_mod_mn2(1)	SUPEROX-DISMUTMN-CPLX	mn2(1)	M_protein_recon
AGMATIN-CPLX_mod_mn2(2)	AGMATIN-CPLX	mn2(2)	M_protein_recon
ALPHAGALACTOSID-CPLX_mod_mn2(1)	ALPHAGALACTOSID-CPLX	mn2(1)	M_protein_recon
EG12115-MONOMER_mod_mn2(1)	EG12115-MONOMER	mn2(1)	M_protein_recon
PPENTOMUT-MONOMER_mod_mn2(1)	PPENTOMUT-MONOMER	mn2(1)	M_protein_recon
TRANSKETOI-CPLX_mod_thmpp(1)_mod_mn2(1)_mod_mg2(1)	TRANSKETOI-CPLX	thmpp(1) AND mn2(1) AND mg2(1)	M_protein_recon
EG10626-MONOMER_mod_mn2(1)_mod_mg2(1)	EG10626-MONOMER	mn2(1) AND mg2(1)	M_protein_recon
ARABISOM-CPLX_mod_mn2(1)	ARABISOM-CPLX	mn2(1)	M_protein_recon
CPLX0-1683_mod_mn2(1)	CPLX0-1683	mn2(1)	M_protein_recon
CPLX0-303_mod_mn2(1)	CPLX0-303	mn2(1)	M_protein_recon
CPLX0-721_mod_mn2(1)	CPLX0-721	mn2(1)	M_protein_recon
CPLX0-7631_mod_mn2(1)	CPLX0-7631	mn2(1)	M_protein_recon
CPLX0-7776_mod_mn2(1)	CPLX0-7776	mn2(1)	M_protein_recon
CPLX0-7808_mod_mn2(1)	CPLX0-7808	mn2(1)	M_protein_recon
CPLX0-7848_mod_mn2(1)	CPLX0-7848	mn2(1)	M_protein_recon
CPLX-7524_mod_mn2(1)	CPLX-7524	mn2(1)	M_protein_recon
GLUTAMINESYN-OLIGOMER_mod_mn2(1)	GLUTAMINESYN-OLIGOMER	mn2(1)	M_protein_recon
HISTDEHYD-CPLX_mod_mn2(1)	HISTDEHYD-CPLX	mn2(1)	M_protein_recon
XYLISOM-CPLX_mod_mn2(1)	XYLISOM-CPLX	mn2(1)	M_protein_recon
EG10124-MONOMER_mod_bmocogdp(1)	EG10124-MONOMER	bmocogdp(1)	M_protein_recon
CPLX0-3681_mod_nadp(1)	CPLX0-3681	nadp(1)	M_protein_recon
CPLX0-7564_mod_nadph(1)_mod_nadh(1)_mod_fad(1)_mod_cobalt2(1)	CPLX0-7564	nadph(1) AND nadh(1) AND fad(1) AND cobalt2(1)	M_protein_recon
GLYOXI-CPLX_mod_ni2(1)	GLYOXI-CPLX	ni2(1)	M_protein_recon
CPLX0-7838_mod_pydx5p(1)	CPLX0-7838	pydx5p(1)	M_protein_recon
DIAMINOPIMDECARB-CPLX_mod_pydx5p(1)	DIAMINOPIMDECARB-CPLX	pydx5p(1)	M_protein_recon
CPLX0-743_mod_thmpp(1)	CPLX0-743	thmpp(1)	M_protein_recon
G6701-MONOMER_mod_thmpp(1)	G6701-MONOMER	thmpp(1)	M_protein_recon
HOMOCYSMETB12-MONOMER_mod_zn2(1)_mod_cbl1(1)	HOMOCYSMETB12-MONOMER	zn2(1) AND cbl1(1)	M_protein_recon
Ala_RS_tetra_mod_zn2(4)	Ala_RS_tetra	zn2(4)	M_protein_recon
ADHC-CPLX_mod_zn2(1)	ADHC-CPLX	zn2(1)	M_protein_recon
ACETYLORNDEACET-CPLX_mod_zn2(1)	ACETYLORNDEACET-CPLX	zn2(1)	M_protein_recon
CPLX0-7521_mod_zn2(1)	CPLX0-7521	zn2(1)	M_protein_recon
CysS_mono_mod_zn2(1)	CysS_mono	zn2(1)	M_protein_recon
G7502-MONOMER_mod_zn2(1)	G7502-MONOMER	zn2(1)	M_protein_recon
HOMOCYSMET-MONOMER_mod_zn2(1)	HOMOCYSMET-MONOMER	zn2(1)	M_protein_recon
CPLX-64_mod_cobalt2(1)_mod_zn2(1)	CPLX-64	cobalt2(1) AND zn2(1)	M_protein_recon
CPLX-64_mod_mn2(1)_mod_zn2(1)	CPLX-64	mn2(1) AND zn2(1)	M_protein_recon
CPLX-64_mod_ni2(1)_mod_zn2(1)	CPLX-64	ni2(1) AND zn2(1)	M_protein_recon
CPLX0-3161_mod_zn2(1)_mod_cobalt2(1)	CPLX0-3161	zn2(1) AND cobalt2(1)	M_protein_recon
CYTDEAM-MONOMER_mod_fe2(1)_mod_zn2(1)	CYTDEAM-MONOMER	fe2(1) AND zn2(1)	M_protein_recon
CYTDEAM-MONOMER_mod_mn2(1)_mod_zn2(1)	CYTDEAM-MONOMER	mn2(1) AND zn2(1)	M_protein_recon
CYTDEAM-MONOMER_mod_cobalt2(1)_mod_zn2(1)	CYTDEAM-MONOMER	cobalt2(1) AND zn2(1)	M_protein_recon
EG11095-MONOMER_mod_zn2(1)_mod_fe2(1)_mod_cobalt2(1)_mod_mg2(1)_mod_mn2(1)	EG11095-MONOMER	zn2(1) AND fe2(1) AND cobalt2(1) AND mg2(1) AND mn2(1)	M_protein_recon
IPPISOM-MONOMER_mod_mg2(1)_mod_zn2(1)	IPPISOM-MONOMER	mg2(1) AND zn2(1)	M_protein_recon
IPPISOM-MONOMER_mod_mn2(1)_mod_zn2(1)	IPPISOM-MONOMER	mn2(1) AND zn2(1)	M_protein_recon
DIHYDROOROT-CPLX_mod_zn2(2)	DIHYDROOROT-CPLX	zn2(2)	M_protein_recon
CPLX0-3061_mod_zn2(1)	CPLX0-3061	zn2(1)	M_protein_recon
CPLX0-7633_mod_zn2(1)	CPLX0-7633	zn2(1)	M_protein_recon
CYTIDEAM-CPLX_mod_zn2(1)	CYTIDEAM-CPLX	zn2(1)	M_protein_recon
DUTP-PYROP-CPLX_mod_zn2(1)	DUTP-PYROP-CPLX	zn2(1)	M_protein_recon
FOLE-CPLX_mod_zn2(1)	FOLE-CPLX	zn2(1)	M_protein_recon
Met_RS_dim_mod_zn2(2)	Met_RS_dim	zn2(2)	M_protein_recon
NAG6PDEACET-CPLX_mod_zn2(1)	NAG6PDEACET-CPLX	zn2(1)	M_protein_recon
PORPHOBILSYNTH-CPLX_mod_zn2(1)	PORPHOBILSYNTH-CPLX	zn2(1)	M_protein_recon
RIBULPEPIM-CPLX_mod_zn2(1)	RIBULPEPIM-CPLX	zn2(1)	M_protein_recon
Thr_RS_dim_mod_zn2(1)	Thr_RS_dim	zn2(1)	M_protein_recon
IleS_mono_mod_zn2(2)	IleS_mono	zn2(2)	M_protein_recon
GLYOXII-MONOMER_mod_zn2(1)	GLYOXII-MONOMER	zn2(1)	M_protein_recon
CPLX0-7760_mod_4fe4s(1)	CPLX0-7760	4fe4s(1)	M_protein_recon
CPLX0-7761_mod_4fe4s(1)	CPLX0-7761	4fe4s(1)	M_protein_recon
DIHYDROXYACIDDEHYDRAT-CPLX_mod_4fe4s(1)	DIHYDROXYACIDDEHYDRAT-CPLX	4fe4s(1)	M_protein_recon
FUMARASE-A_mod_4fe4s(1)	FUMARASE-A	4fe4s(1)	M_protein_recon
FUMARASE-B_mod_4fe4s(1)	FUMARASE-B	4fe4s(1)	M_protein_recon
HEMN-MONOMER_mod_4fe4s(1)	HEMN-MONOMER	4fe4s(1)	M_protein_recon
BIOTIN-SYN-CPLX_mod_4fe4s(1)_mod_2fe2s(1)	BIOTIN-SYN-CPLX	4fe4s(1) AND 2fe2s(1)	M_protein_recon
OHMETHYLBILANESYN-MONOMER_mod_dpm(1)	OHMETHYLBILANESYN-MONOMER	dpm(1)	M_protein_recon
DIHYDROPTERIREDUCT-CPLX_mod_fad(1)	DIHYDROPTERIREDUCT-CPLX	fad(1)	M_protein_recon
GLUTATHIONE-REDUCT-NADPH-CPLX_mod_fad(1)	GLUTATHIONE-REDUCT-NADPH-CPLX	fad(1)	M_protein_recon
SARCOX-MONOMER_mod_fad(1)	SARCOX-MONOMER	fad(1)	M_protein_recon
GALPMUT-MONOMER_mod_fad(1)	GALPMUT-MONOMER	fad(1)	M_protein_recon
DLACTDEHYDROGFAD-MONOMER_mod_fad(1)	DLACTDEHYDROGFAD-MONOMER	fad(1)	M_protein_recon
L-ASPARTATE-OXID-MONOMER_mod_fad(1)	L-ASPARTATE-OXID-MONOMER	fad(1)	M_protein_recon
UDPNACETYLMURAMATEDEHYDROG-MONOMER_mod_fad(1)	UDPNACETYLMURAMATEDEHYDROG-MONOMER	fad(1)	M_protein_recon
EG10456-MONOMER_mod_fad(1)_mod_pheme(1)	EG10456-MONOMER	fad(1) AND pheme(1)	M_protein_recon
PDXH-CPLX_mod_fmn(1)	PDXH-CPLX	fmn(1)	M_protein_recon
L-LACTDEHYDROGFMN-MONOMER_mod_fmn(1)	L-LACTDEHYDROGFMN-MONOMER	fmn(1)	M_protein_recon
HYDROPEROXIDII-CPLX_mod_hemed(6)	HYDROPEROXIDII-CPLX	hemed(6)	M_protein_recon
DTDPGLUCDEHYDRAT-CPLX_mod_nad(1)	DTDPGLUCDEHYDRAT-CPLX	nad(1)	M_protein_recon
UDPGLUCEPIM-CPLX_mod_nad(1)	UDPGLUCEPIM-CPLX	nad(1)	M_protein_recon
HYDROPEROXIDI-CPLX_mod_pheme(1)	HYDROPEROXIDI-CPLX	pheme(1)	M_protein_recon
ADCLY-CPLX_mod_pydx5p(1)	ADCLY-CPLX	pydx5p(1)	M_protein_recon
ARGDECARBOXDEG-CPLX_mod_pydx5p(1)	ARGDECARBOXDEG-CPLX	pydx5p(1)	M_protein_recon
O-SUCCHOMOSERLYASE-CPLX_mod_pydx5p(1)	O-SUCCHOMOSERLYASE-CPLX	pydx5p(1)	M_protein_recon
ACSERLYA-CPLX_mod_pydx5p(2)	ACSERLYA-CPLX	pydx5p(2)	M_protein_recon
GABATRANSAM-CPLX_mod_pydx5p(1)	GABATRANSAM-CPLX	pydx5p(1)	M_protein_recon
VALINE-PYRUVATE-AMINOTRANSFER-MONOMER_mod_pydx5p(1)	VALINE-PYRUVATE-AMINOTRANSFER-MONOMER	pydx5p(1)	M_protein_recon
ACSERLYB-CPLX_mod_pydx5p(1)	ACSERLYB-CPLX	pydx5p(1)	M_protein_recon
AKBLIG-CPLX_mod_pydx5p(1)	AKBLIG-CPLX	pydx5p(1)	M_protein_recon
CPLX0-1401_mod_pydx5p(1)	CPLX0-1401	pydx5p(1)	M_protein_recon
CPLX0-7465_mod_pydx5p(1)	CPLX0-7465	pydx5p(1)	M_protein_recon
DAPASYN-CPLX_mod_pydx5p(1)	DAPASYN-CPLX	pydx5p(1)	M_protein_recon
DCYSDESULF-CPLX_mod_pydx5p(1)	DCYSDESULF-CPLX	pydx5p(1)	M_protein_recon
GLUTDECARBOXA-CPLX_mod_pydx5p(1)	GLUTDECARBOXA-CPLX	pydx5p(1)	M_protein_recon
GLUTDECARBOXB-CPLX_mod_pydx5p(1)	GLUTDECARBOXB-CPLX	pydx5p(1)	M_protein_recon
GLYCOPHOSPHORYL-CPLX_mod_pydx5p(1)	GLYCOPHOSPHORYL-CPLX	pydx5p(1)	M_protein_recon
GSAAMINOTRANS-CPLX_mod_pydx5p(1)	GSAAMINOTRANS-CPLX	pydx5p(1)	M_protein_recon
HISTPHOSTRANS-CPLX_mod_pydx5p(1)	HISTPHOSTRANS-CPLX	pydx5p(1)	M_protein_recon
LDC2-CPLX_mod_pydx5p(1)	LDC2-CPLX	pydx5p(1)	M_protein_recon
LYSDECARBOX-CPLX_mod_pydx5p(1)	LYSDECARBOX-CPLX	pydx5p(1)	M_protein_recon
MALDEXPHOSPHORYL-CPLX_mod_pydx5p(1)	MALDEXPHOSPHORYL-CPLX	pydx5p(1)	M_protein_recon
ORNDECARBOX-BIO-CPLX_mod_pydx5p(1)	ORNDECARBOX-BIO-CPLX	pydx5p(1)	M_protein_recon
ORNDECARBOXDEG-CPLX_mod_pydx5p(1)	ORNDECARBOXDEG-CPLX	pydx5p(1)	M_protein_recon
PSERTRANSAM-CPLX_mod_pydx5p(1)	PSERTRANSAM-CPLX	pydx5p(1)	M_protein_recon
THREDEHYDCAT-CPLX_mod_pydx5p(1)	THREDEHYDCAT-CPLX	pydx5p(1)	M_protein_recon
THREDEHYDSYN-CPLX_mod_pydx5p(1)	THREDEHYDSYN-CPLX	pydx5p(1)	M_protein_recon
THRESYN-MONOMER_mod_pydx5p(1)	THRESYN-MONOMER	pydx5p(1)	M_protein_recon
G7166-MONOMER_mod_pydx5p(1)	G7166-MONOMER	pydx5p(1)	M_protein_recon
DSERDEAM-MONOMER_mod_pydx5p(1)	DSERDEAM-MONOMER	pydx5p(1)	M_protein_recon
G7596-MONOMER_mod_pydx5p(1)	G7596-MONOMER	pydx5p(1)	M_protein_recon
ACETYLORNTRANSAM-CPLX_mod_pydx5p(1)	ACETYLORNTRANSAM-CPLX	pydx5p(1)	M_protein_recon
CARBODEHYDRAT-CPLX_mod_zn2(1)	CARBODEHYDRAT-CPLX	zn2(1)	M_protein_recon
ALKAPHOSPHA-CPLX_mod_zn2(1)_mod_mg2(1)	ALKAPHOSPHA-CPLX	zn2(1) AND mg2(1)	M_protein_recon
THREODEHYD-CPLX_mod_zn2(1)	THREODEHYD-CPLX	zn2(1)	M_protein_recon
CPLX0-7741_mod_adocbl(1)	CPLX0-7741	adocbl(1)	M_protein_recon
CPLX0-7719_mod_4fe4s(1)	CPLX0-7719	4fe4s(1)	M_protein_recon
EG12069-MONOMER_mod_fad(1)	EG12069-MONOMER	fad(1)	M_protein_recon
BETAGALACTOSID-CPLX_mod_mg2(1)	BETAGALACTOSID-CPLX	mg2(1)	M_protein_recon
PGMI-MONOMER_mod_mn2(1)	PGMI-MONOMER	mn2(1)	M_protein_recon
UDPGLCNACEPIM-MONOMER_mod_nad(1)	UDPGLCNACEPIM-MONOMER	nad(1)	M_protein_recon
DTDPGLUCDEHYDRAT2-MONOMER_mod_nad(1)	DTDPGLUCDEHYDRAT2-MONOMER	nad(1)	M_protein_recon
GDPMANDEHYDRA-CPLX_mod_nadp(1)	GDPMANDEHYDRA-CPLX	nadp(1)	M_protein_recon
SelA_deca_mod_pydx5p(10)	SelA_deca	pydx5p(10)	M_protein_recon
LTAA-CPLX_mod_pydx5p(1)	LTAA-CPLX	pydx5p(1)	M_protein_recon
G6646-MONOMER_mod_pydx5p(1)	G6646-MONOMER	pydx5p(1)	M_protein_recon
USHA-MONOMER_mod_zn2(1)	USHA-MONOMER	zn2(1)	M_protein_recon
CPLX0-253_mod_fad(1)	CPLX0-253	fad(1)	M_protein_recon
AROH-CPLX_mod_fe3(1)	AROH-CPLX	fe3(1)	M_protein_recon
GLYCRIBONUCSYN-MONOMER_mod_mg2(1)	GLYCRIBONUCSYN-MONOMER	mg2(1)	M_protein_recon
BRANCHED-CHAINAMINOTRANSFER-CPLX_mod_pydx5p(6)	BRANCHED-CHAINAMINOTRANSFER-CPLX	pydx5p(6)	M_protein_recon
AERGLYC3PDEHYDROG-CPLX_mod_fad(1)	AERGLYC3PDEHYDROG-CPLX	fad(1)	M_protein_recon
SUCCORNTRANSAM-CPLX_mod_pydx5p(1)	SUCCORNTRANSAM-CPLX	pydx5p(1)	M_protein_recon
ISOCITHASE-CPLX_mod_mn2(1)	ISOCITHASE-CPLX	mn2(1)	M_protein_recon
ISOCITHASE-CPLX_mod_mg2(1)	ISOCITHASE-CPLX	mg2(1)	M_protein_recon
CPLX0-250_FORMATEDEHYDROGH-MONOMER_mod_4fe4s(8)_mod_2fe2s(2)_mod_bmocogdp(1)_mod_NiFeCoCN2(1)	CPLX0-250_FORMATEDEHYDROGH-MONOMER	4fe4s(8) AND 2fe2s(2) AND bmocogdp(1) AND NiFeCoCN2(1)	M_protein_recon
G6523-MONOMER_G6518-MONOMER_mod_fmn(1)	G6523-MONOMER_G6518-MONOMER	fmn(1)	M_protein_recon
EG10370-MONOMER_mod_mn2(1)	EG10370-MONOMER	mn2(1)	M_protein_recon
NITRATREDUCTA-CPLX_mod_bmocogdp(1)_mod_3fe4s(1)_mod_4fe4s(1)	NITRATREDUCTA-CPLX	bmocogdp(1) AND 3fe4s(1) AND 4fe4s(1)	M_protein_recon
FLAVONADPREDUCT-MONOMER_mod_fad(1)	FLAVONADPREDUCT-MONOMER	fad(1)	M_protein_recon
NITRATREDUCTZ-CPLX_mod_bmocogdp(1)_mod_pheme(2)_mod_4fe4s(3)_mod_3fe4s(1)	NITRATREDUCTZ-CPLX	bmocogdp(1) AND pheme(2) AND 4fe4s(3) AND 3fe4s(1)	M_protein_recon
GCVMULTI-CPLX_mod_lipoyl(1)	GCVMULTI-CPLX	lipoyl(1)	M_protein_recon
IMIDHISTID-CPLX_mod_mn2(1)	IMIDHISTID-CPLX	mn2(1)	M_protein_recon
CPLX0-341_mod_fmn(1)	CPLX0-341	fmn(1)	M_protein_recon
CPLX0-341_mod_mg2(1)	CPLX0-341	mg2(1)	M_protein_recon
CPLX0-1261_mod_thmpp(1)	CPLX0-1261	thmpp(1)	M_protein_recon
PUTA-CPLX_mod_fad(1)	PUTA-CPLX	fad(1)	M_protein_recon
CPLX0-7652_mod_mn2(1)	CPLX0-7652	mn2(1)	M_protein_recon
CPLX0-7466_mod_mg2(1)	CPLX0-7466	mg2(1)	M_protein_recon
CPLX0-7643_mod_mg2(1)	CPLX0-7643	mg2(1)	M_protein_recon
CPLX0-7904_mod_ca2(1)	CPLX0-7904	ca2(1)	M_protein_recon
CYSTATHIONINE-BETA-LYASE-CPLX_mod_pydx5p(1)	CYSTATHIONINE-BETA-LYASE-CPLX	pydx5p(1)	M_protein_recon
DHHB-METHYLTRANSFER-CPLX_mod_zn2(1)	DHHB-METHYLTRANSFER-CPLX	zn2(1)	M_protein_recon
DHPDIOXYGEN-CPLX_mod_fe2(1)	DHPDIOXYGEN-CPLX	fe2(1)	M_protein_recon
GSP-CPLX_mod_mg2(1)	GSP-CPLX	mg2(1)	M_protein_recon
GUANYL-KIN-CPLX_mod_mg2(1)	GUANYL-KIN-CPLX	mg2(1)	M_protein_recon
LysII_RS_dim_mod_mg2(6)	LysII_RS_dim	mg2(6)	M_protein_recon
LysII_RS_dim_mod_lys__L(1)	LysII_RS_dim	lys__L(1)	M_protein_recon
LYXK-CPLX_mod_mg2(1)	LYXK-CPLX	mg2(1)	M_protein_recon
