Transcription-Units	Direction	Genes of transcription unit
TU1W2W-132	+	EWS79_RS01060 // EWS79_RS01055
TU1W2W-1122	+	EWS79_RS06415
TU1W2W-667	-	EWS79_RS05765 // EWS79_RS05760
TU1W2W-1131	-	EWS79_RS06090
TU1W2W-508	-	EWS79_RS04370
TU1W2W-1067	-	EWS79_RS09055
TU1W2W-716	+	EWS79_RS06135
TU1W2W-462	+	EWS79_RS03975
TU1W2W-384	-	EWS79_RS03265
TU1W2W-138	+	EWS79_RS01120 // EWS79_RS01115
TU1W2W-569	+	EWS79_RS04955
TU1W2W-1157	-	EWS79_RS04615
TU1W2W-1027	-	EWS79_RS08670 // EWS79_RS08665 // EWS79_RS08660 // EWS79_RS08655
TU1W2W-277	+	EWS79_RS02330 // EWS79_RS02325 // EWS79_RS02320 // EWS79_RS02315 // EWS79_RS02310 // EWS79_RS02305
TU1W2W-256	-	EWS79_RS02085
TU1W2W-1176	+	EWS79_RS03950
TU1W2W-824	+	EWS79_RS07005
TU1W2W-1066	-	EWS79_RS09050
TU1W2W-286	-	EWS79_RS02400 // EWS79_RS02395
TU1W2W-257	-	EWS79_RS02090
TU1W2W-684	+	EWS79_RS05925 // EWS79_RS05920 // EWS79_RS05915 // EWS79_RS05910 // EWS79_RS05905
TU1W2W-693	-	EWS79_RS05985
TU1W2W-294	+	EWS79_RS02465
TU1W2W-948	-	EWS79_RS07945
TU1W2W-956	-	EWS79_RS07985
TU1W2W-199	+	EWS79_RS01540
TU1W2W-534	+	EWS79_RS04605
TU1W2W-269	+	EWS79_RS02210 // EWS79_RS02205
TU1W2W-364	-	EWS79_RS03090
TU1W2W-1048	+	EWS79_RS08910
TU1W2W-1025	+	EWS79_RS08645
TU1W2W-865	+	EWS79_RS07330
TU1W2W-1155	+	EWS79_RS04660
TU1W2W-122	-	EWS79_RS00960 // EWS79_RS00955
TU1W2W-287	-	EWS79_RS02405
TU1W2W-895	+	EWS79_RS07560
TU1W2W-1145	+	EWS79_RS05235
TU1W2W-145	-	EWS79_RS01155
TU1W2W-137	+	EWS79_RS01110 // EWS79_RS01105
TU1W2W-1228	-	EWS79_RS01320
TU1W2W-813	+	EWS79_RS06915 // EWS79_RS06910 // EWS79_RS06905 // EWS79_RS06900
TU1W2W-1102	+	EWS79_RS07500
TU1W2W-104	-	EWS79_RS00820 // EWS79_RS00815
TU1W2W-424	-	EWS79_RS03610
TU1W2W-39	-	EWS79_RS00355
TU1W2W-190	+	EWS79_RS01475
TU1W2W-255	+	EWS79_RS02080 // EWS79_RS02075
TU1W2W-309	+	EWS79_RS02605 // EWS79_RS02600
TU1W2W-626	+	EWS79_RS05430
TU1W2W-409	+	EWS79_RS03495
TU1W2W-148	+	EWS79_RS01170
TU1W2W-992	-	EWS79_RS08360
TU1W2W-795	-	EWS79_RS06775
TU1W2W-794	-	EWS79_RS06770
TU1W2W-630	-	EWS79_RS05460 // EWS79_RS05455
TU1W2W-893	+	EWS79_RS07545
TU1W2W-555	+	EWS79_RS04810 // EWS79_RS04805 // EWS79_RS04800 // EWS79_RS04795 // EWS79_RS04790
TU1W2W-463	+	EWS79_RS03985 // EWS79_RS03980
TU1W2W-31	+	EWS79_RS00285
TU1W2W-1200	+	EWS79_RS03070
TU1W2W-181	+	EWS79_RS01420
TU1W2W-713	-	EWS79_RS06120
TU1W2W-147	-	EWS79_RS01165
TU1W2W-678	+	EWS79_RS05855 // EWS79_RS05850
TU1W2W-100	+	EWS79_RS00795 // EWS79_RS00790 // EWS79_RS00785
TU1W2W-1132	+	EWS79_RS05955
TU1W2W-47	-	EWS79_RS00395
TU1W2W-1195	-	EWS79_RS03245
TU1W2W-831	-	EWS79_RS07055
TU1W2W-752	-	EWS79_RS06435 // EWS79_RS06430
TU1W2W-543	+	EWS79_RS04685 // EWS79_RS04680 // EWS79_RS04675
TU1W2W-706	+	EWS79_RS06065
TU1W2W-450	-	EWS79_RS03885 // EWS79_RS03880
TU1W2W-873	+	EWS79_RS07400
TU1W2W-842	+	EWS79_RS07125
TU1W2W-1092	+	EWS79_RS08005
TU1W2W-679	-	EWS79_RS05865 // EWS79_RS05860
TU1W2W-867	-	EWS79_RS07360
TU1W2W-685	+	EWS79_RS05930
TU1W2W-339	-	EWS79_RS02915
TU1W2W-2	-	EWS79_RS00030 // EWS79_RS00025 // EWS79_RS00020 // EWS79_RS00015
TU1W2W-814	+	EWS79_RS06920
TU1W2W-466	-	EWS79_RS04000
TU1W2W-109	-	EWS79_RS00850
TU1W2W-139	-	EWS79_RS01125
TU1W2W-1006	+	EWS79_RS08495
TU1W2W-906	+	EWS79_RS07665 // EWS79_RS07660
TU1W2W-107	+	EWS79_RS00840
TU1W2W-784	-	EWS79_RS06675
TU1W2W-303	+	EWS79_RS02535
TU1W2W-503	+	EWS79_RS04340 // EWS79_RS04335 // EWS79_RS04330
TU1W2W-448	+	EWS79_RS03870 // EWS79_RS03865 // EWS79_RS03860 // EWS79_RS03855 // EWS79_RS03850 // EWS79_RS03845
TU1W2W-338	+	EWS79_RS02910
TU1W2W-1165	-	EWS79_RS04205
TU1W2W-1115	+	EWS79_RS06540
TU1W2W-517	+	EWS79_RS04460
TU1W2W-279	+	EWS79_RS02345 // EWS79_RS02340
TU1W2W-1243	-	EWS79_RS00765
TU1W2W-888	-	EWS79_RS07510 // EWS79_RS07505
TU1W2W-688	+	EWS79_RS05945
TU1W2W-860	-	EWS79_RS07290
TU1W2W-1198	+	EWS79_RS03110
TU1W2W-564	-	EWS79_RS04895
TU1W2W-1093	-	EWS79_RS08000
TU1W2W-588	-	EWS79_RS05105
TU1W2W-87	+	EWS79_RS00675 // EWS79_RS00670 // EWS79_RS00665 // EWS79_RS00660
TU1W2W-92	-	EWS79_RS00700
TU1W2W-357	-	EWS79_RS03050
TU1W2W-749	-	EWS79_RS06395
TU1W2W-177	+	EWS79_RS01390
TU1W2W-616	+	EWS79_RS05360 // EWS79_RS05355
TU1W2W-754	-	EWS79_RS06450
TU1W2W-769	+	EWS79_RS06570
TU1W2W-574	+	EWS79_RS04985
TU1W2W-525	-	EWS79_RS04550 // EWS79_RS04545 // EWS79_RS04540 // EWS79_RS04535
TU1W2W-1229	+	EWS79_RS01315
TU1W2W-1226	-	EWS79_RS01385
TU1W2W-170	-	EWS79_RS01340
TU1W2W-1015	-	EWS79_RS08585 // EWS79_RS08580 // EWS79_RS08575
TU1W2W-748	-	EWS79_RS06390 // EWS79_RS06385 // EWS79_RS06380 // EWS79_RS06375
TU1W2W-504	+	EWS79_RS04345
TU1W2W-1089	+	EWS79_RS08030
TU1W2W-447	+	EWS79_RS03840
TU1W2W-296	+	EWS79_RS02490
TU1W2W-811	+	EWS79_RS06890 // EWS79_RS06885
TU1W2W-15	-	EWS79_RS00150
TU1W2W-1042	+	EWS79_RS08880 // EWS79_RS08875
TU1W2W-198	+	EWS79_RS01535
TU1W2W-1259	+	EWS79_RS00050
TU1W2W-628	+	EWS79_RS05445 // EWS79_RS05440
TU1W2W-17	-	EWS79_RS00170 // EWS79_RS00165
TU1W2W-1018	+	EWS79_RS08610 // EWS79_RS08605
TU1W2W-406	+	EWS79_RS03475
TU1W2W-526	-	EWS79_RS04555
TU1W2W-7	+	EWS79_RS00085
TU1W2W-928	-	EWS79_RS07795
TU1W2W-875	+	EWS79_RS07410
TU1W2W-1021	-	EWS79_RS08625
TU1W2W-576	-	EWS79_RS05010 // EWS79_RS05005
TU1W2W-987	-	EWS79_RS08305
TU1W2W-581	-	EWS79_RS05060
TU1W2W-834	-	EWS79_RS07075
TU1W2W-960	-	EWS79_RS08015
TU1W2W-990	-	EWS79_RS08345 // EWS79_RS08340
TU1W2W-647	-	EWS79_RS05560 // EWS79_RS05555
TU1W2W-1029	+	EWS79_RS08690
TU1W2W-398	-	EWS79_RS03370 // EWS79_RS03365 // EWS79_RS03360 // EWS79_RS03355
TU1W2W-61	+	EWS79_RS00505
TU1W2W-156	-	EWS79_RS01245
TU1W2W-801	-	EWS79_RS06815 // EWS79_RS06810 // EWS79_RS06805
TU1W2W-307	-	EWS79_RS02585 // EWS79_RS02580 // EWS79_RS02575 // EWS79_RS02570 // EWS79_RS02565
TU1W2W-791	-	EWS79_RS06745
TU1W2W-1244	+	EWS79_RS00760
TU1W2W-124	+	EWS79_RS00990
TU1W2W-1072	+	EWS79_RS08700
TU1W2W-452	-	EWS79_RS03905
TU1W2W-152	-	EWS79_RS01200 // EWS79_RS01195 // EWS79_RS01190
TU1W2W-378	+	EWS79_RS03215 // EWS79_RS03210
TU1W2W-93	-	EWS79_RS00715 // EWS79_RS00710
TU1W2W-183	+	EWS79_RS01430
TU1W2W-456	-	EWS79_RS03935
TU1W2W-220	+	EWS79_RS01740 // EWS79_RS01735
TU1W2W-994	-	EWS79_RS08375 // EWS79_RS08370
TU1W2W-513	-	EWS79_RS04430
TU1W2W-1094	+	EWS79_RS07940
TU1W2W-641	-	EWS79_RS05525
TU1W2W-200	+	EWS79_RS01545
TU1W2W-3	-	EWS79_RS00045 // EWS79_RS00040 // EWS79_RS00035
TU1W2W-645	-	EWS79_RS05545
TU1W2W-889	-	EWS79_RS07515
TU1W2W-695	-	EWS79_RS06000
TU1W2W-111	-	EWS79_RS00890 // EWS79_RS00885 // EWS79_RS00880
TU1W2W-909	-	EWS79_RS07680
TU1W2W-874	+	EWS79_RS07405
TU1W2W-1152	+	EWS79_RS04935
TU1W2W-515	+	EWS79_RS04445
TU1W2W-954	-	EWS79_RS07975
TU1W2W-327	+	EWS79_RS02765
TU1W2W-375	+	EWS79_RS03190
TU1W2W-386	+	EWS79_RS03285
TU1W2W-1024	+	EWS79_RS08640
TU1W2W-554	-	EWS79_RS04785 // EWS79_RS04780 // EWS79_RS04775
TU1W2W-1085	+	EWS79_RS08285
TU1W2W-985	-	EWS79_RS08295 // EWS79_RS08290
TU1W2W-187	+	EWS79_RS01450
TU1W2W-83	+	EWS79_RS00640
TU1W2W-194	+	EWS79_RS01510 // EWS79_RS01505 // EWS79_RS01500
TU1W2W-119	+	EWS79_RS00940
TU1W2W-506	-	EWS79_RS04355
TU1W2W-1047	-	EWS79_RS08905
TU1W2W-714	-	EWS79_RS06125
TU1W2W-740	-	EWS79_RS06305
TU1W2W-869	+	EWS79_RS07370
TU1W2W-657	+	EWS79_RS05660
TU1W2W-983	-	EWS79_RS08265
TU1W2W-405	+	EWS79_RS03470
TU1W2W-535	+	EWS79_RS04610
TU1W2W-297	-	EWS79_RS02495
TU1W2W-308	-	EWS79_RS02595 // EWS79_RS02590
TU1W2W-591	-	EWS79_RS05155 // EWS79_RS05150 // EWS79_RS05145 // EWS79_RS05140 // EWS79_RS05135 // EWS79_RS05130
TU1W2W-369	+	EWS79_RS03145
TU1W2W-408	+	EWS79_RS03490
TU1W2W-746	+	EWS79_RS06350
TU1W2W-635	+	EWS79_RS05495 // EWS79_RS05490 // EWS79_RS05485
TU1W2W-762	-	EWS79_RS06530
TU1W2W-349	-	EWS79_RS02990
TU1W2W-1080	+	EWS79_RS08380
TU1W2W-792	-	EWS79_RS06755 // EWS79_RS06750
TU1W2W-48	+	EWS79_RS00415 // EWS79_RS00410
TU1W2W-759	+	EWS79_RS06495 // EWS79_RS06490
TU1W2W-1219	-	EWS79_RS01890
TU1W2W-84	-	EWS79_RS00645
TU1W2W-78	-	EWS79_RS00610
TU1W2W-1075	+	EWS79_RS08675
TU1W2W-663	-	EWS79_RS05730
TU1W2W-1242	+	EWS79_RS00770
TU1W2W-1050	-	EWS79_RS08925
TU1W2W-930	-	EWS79_RS07805
TU1W2W-854	-	EWS79_RS07210
TU1W2W-975	+	EWS79_RS08220 // EWS79_RS08215
TU1W2W-154	+	EWS79_RS01235
TU1W2W-95	-	EWS79_RS00730
TU1W2W-1083	-	EWS79_RS08315
TU1W2W-389	+	EWS79_RS03305
TU1W2W-856	+	EWS79_RS07220
TU1W2W-589	-	EWS79_RS05110
TU1W2W-675	-	EWS79_RS05835 // EWS79_RS05830
TU1W2W-1011	-	EWS79_RS08525
TU1W2W-741	-	EWS79_RS06310
TU1W2W-966	+	EWS79_RS08070
TU1W2W-204	+	EWS79_RS01585
TU1W2W-474	+	EWS79_RS04045
TU1W2W-371	+	EWS79_RS03165 // EWS79_RS03160
TU1W2W-953	-	EWS79_RS07970
TU1W2W-1036	-	EWS79_RS08765
TU1W2W-882	+	EWS79_RS07470 // EWS79_RS07465 // EWS79_RS07460 // EWS79_RS07455
TU1W2W-1197	-	EWS79_RS03155
TU1W2W-65	-	EWS79_RS00535
TU1W2W-6	+	EWS79_RS00080 // EWS79_RS00075
TU1W2W-271	+	EWS79_RS02225
TU1W2W-1183	-	EWS79_RS03625
TU1W2W-433	+	EWS79_RS03735 // EWS79_RS03730
TU1W2W-4	-	EWS79_RS00055
TU1W2W-402	+	EWS79_RS03445 // EWS79_RS03440 // EWS79_RS03435
TU1W2W-1215	+	EWS79_RS02000
TU1W2W-782	-	EWS79_RS06660 // EWS79_RS06655
TU1W2W-1064	+	EWS79_RS09040 // EWS79_RS09035
TU1W2W-652	-	EWS79_RS05610 // EWS79_RS05605 // EWS79_RS05600 // EWS79_RS05595 // EWS79_RS05590 // EWS79_RS05585
TU1W2W-894	+	EWS79_RS07550
TU1W2W-682	-	EWS79_RS05890 // EWS79_RS05885
TU1W2W-1189	+	EWS79_RS03405
TU1W2W-623	-	EWS79_RS05415
TU1W2W-81	+	EWS79_RS00625
TU1W2W-215	-	EWS79_RS01700
TU1W2W-809	+	EWS79_RS06865
TU1W2W-140	-	EWS79_RS01130
TU1W2W-615	-	EWS79_RS05350
TU1W2W-280	+	EWS79_RS02350
TU1W2W-1017	-	EWS79_RS08600 // EWS79_RS08595
TU1W2W-263	-	EWS79_RS02150 // EWS79_RS02145
TU1W2W-674	-	EWS79_RS05820
TU1W2W-115	-	EWS79_RS00910
TU1W2W-940	-	EWS79_RS07880
TU1W2W-881	+	EWS79_RS07450 // EWS79_RS07445
TU1W2W-460	-	EWS79_RS03965
TU1W2W-1224	-	EWS79_RS01495
TU1W2W-625	-	EWS79_RS05425
TU1W2W-528	-	EWS79_RS04565
TU1W2W-666	+	EWS79_RS05755 // EWS79_RS05750
TU1W2W-910	-	EWS79_RS07685
TU1W2W-167	-	EWS79_RS01310 // EWS79_RS01305
TU1W2W-420	-	EWS79_RS03585 // EWS79_RS03580 // EWS79_RS03575
TU1W2W-669	+	EWS79_RS05775
TU1W2W-617	+	EWS79_RS05365
TU1W2W-1136	-	EWS79_RS05795
TU1W2W-835	+	EWS79_RS07080
TU1W2W-494	+	EWS79_RS04230
TU1W2W-417	-	EWS79_RS03560 // EWS79_RS03555
TU1W2W-870	+	EWS79_RS07375
TU1W2W-212	+	EWS79_RS01655 // EWS79_RS01650 // EWS79_RS01645 // EWS79_RS01640
TU1W2W-538	+	EWS79_RS04635
TU1W2W-1019	-	EWS79_RS08615
TU1W2W-1232	+	EWS79_RS01205
TU1W2W-1249	-	EWS79_RS00405
TU1W2W-747	-	EWS79_RS06370 // EWS79_RS06365 // EWS79_RS06360 // EWS79_RS06355
TU1W2W-11	+	EWS79_RS00120
TU1W2W-317	-	EWS79_RS02660
TU1W2W-562	+	EWS79_RS04885
TU1W2W-828	-	EWS79_RS07035 // EWS79_RS07030
TU1W2W-354	-	EWS79_RS03035
TU1W2W-443	+	EWS79_RS03820
TU1W2W-803	+	EWS79_RS06830 // EWS79_RS06825
TU1W2W-1127	+	EWS79_RS06165
TU1W2W-962	-	EWS79_RS08040
TU1W2W-1248	-	EWS79_RS00455
TU1W2W-573	+	EWS79_RS04980
TU1W2W-1028	+	EWS79_RS08685
TU1W2W-5	-	EWS79_RS00070 // EWS79_RS00065 // EWS79_RS00060
TU1W2W-455	-	EWS79_RS03930
TU1W2W-193	+	EWS79_RS01490
TU1W2W-704	-	EWS79_RS06050
TU1W2W-411	+	EWS79_RS03510
TU1W2W-929	-	EWS79_RS07800
TU1W2W-1121	-	EWS79_RS06420
TU1W2W-1139	-	EWS79_RS05680
TU1W2W-644	-	EWS79_RS05540
TU1W2W-1071	-	EWS79_RS08740
TU1W2W-88	+	EWS79_RS00680
TU1W2W-355	-	EWS79_RS03040
TU1W2W-52	-	EWS79_RS00440
TU1W2W-9	-	EWS79_RS00110 // EWS79_RS00105 // EWS79_RS00100
TU1W2W-648	+	EWS79_RS05565
TU1W2W-485	+	EWS79_RS04120 // EWS79_RS04115
TU1W2W-934	+	EWS79_RS07850
TU1W2W-391	-	EWS79_RS03315
TU1W2W-1054	-	EWS79_RS08950
TU1W2W-1107	+	EWS79_RS07285
TU1W2W-505	+	EWS79_RS04350
TU1W2W-786	-	EWS79_RS06705 // EWS79_RS06700 // EWS79_RS06695 // EWS79_RS06690 // EWS79_RS06685
TU1W2W-621	-	EWS79_RS05405
TU1W2W-163	+	EWS79_RS01280
TU1W2W-223	-	EWS79_RS01755
TU1W2W-601	+	EWS79_RS05220
TU1W2W-130	-	EWS79_RS01045
TU1W2W-592	-	EWS79_RS05160
TU1W2W-186	+	EWS79_RS01445
TU1W2W-36	-	EWS79_RS00320
TU1W2W-1196	-	EWS79_RS03230
TU1W2W-974	+	EWS79_RS08210
TU1W2W-337	+	EWS79_RS02905
TU1W2W-1032	+	EWS79_RS08720
TU1W2W-1117	-	EWS79_RS06460
TU1W2W-711	-	EWS79_RS06105
TU1W2W-320	-	EWS79_RS02705 // EWS79_RS02700 // EWS79_RS02695
TU1W2W-933	+	EWS79_RS07845
TU1W2W-329	+	EWS79_RS02810 // EWS79_RS02805 // EWS79_RS02800 // EWS79_RS02795 // EWS79_RS02790 // EWS79_RS02785 // EWS79_RS02780
TU1W2W-45	+	EWS79_RS00385
TU1W2W-1013	-	EWS79_RS08545
TU1W2W-160	+	EWS79_RS01265
TU1W2W-175	+	EWS79_RS01375 // EWS79_RS01370
TU1W2W-146	-	EWS79_RS01160
TU1W2W-1204	-	EWS79_RS02480
TU1W2W-1182	-	EWS79_RS03745
TU1W2W-568	-	EWS79_RS04930
TU1W2W-851	+	EWS79_RS07190
TU1W2W-423	-	EWS79_RS03605
TU1W2W-185	-	EWS79_RS01440
TU1W2W-737	-	EWS79_RS06275
TU1W2W-228	+	EWS79_RS01830 // EWS79_RS01825 // EWS79_RS01820 // EWS79_RS01815 // EWS79_RS01810 // EWS79_RS01805 // EWS79_RS01800
TU1W2W-471	-	EWS79_RS04025
TU1W2W-127	+	EWS79_RS01015
TU1W2W-839	-	EWS79_RS07110 // EWS79_RS07105 // EWS79_RS07100
TU1W2W-319	-	EWS79_RS02690 // EWS79_RS02685 // EWS79_RS02680 // EWS79_RS02675
TU1W2W-557	+	EWS79_RS04835 // EWS79_RS04830 // EWS79_RS04825 // EWS79_RS04820
TU1W2W-501	+	EWS79_RS04300
TU1W2W-235	+	EWS79_RS01870
TU1W2W-1257	+	EWS79_RS00145
TU1W2W-942	+	EWS79_RS07895 // EWS79_RS07890
TU1W2W-401	+	EWS79_RS03395
TU1W2W-393	-	EWS79_RS03325
TU1W2W-73	-	EWS79_RS00575
TU1W2W-80	-	EWS79_RS00620
TU1W2W-12	+	EWS79_RS00125
TU1W2W-520	+	EWS79_RS04490
TU1W2W-822	+	EWS79_RS06995 // EWS79_RS06990 // EWS79_RS06985
TU1W2W-512	-	EWS79_RS04425
TU1W2W-705	+	EWS79_RS06060 // EWS79_RS06055
TU1W2W-780	+	EWS79_RS06645
TU1W2W-465	-	EWS79_RS03995
TU1W2W-1148	-	EWS79_RS04965
TU1W2W-165	-	EWS79_RS01295 // EWS79_RS01290
TU1W2W-498	-	EWS79_RS04280
TU1W2W-709	+	EWS79_RS06085
TU1W2W-931	-	EWS79_RS07825 // EWS79_RS07820 // EWS79_RS07815 // EWS79_RS07810
TU1W2W-885	-	EWS79_RS07485
TU1W2W-414	-	EWS79_RS03525
TU1W2W-1051	-	EWS79_RS08930
TU1W2W-710	-	EWS79_RS06100
TU1W2W-902	-	EWS79_RS07620
TU1W2W-1147	+	EWS79_RS05000
TU1W2W-110	-	EWS79_RS00860 // EWS79_RS00855
TU1W2W-289	-	EWS79_RS02430 // EWS79_RS02425 // EWS79_RS02420 // EWS79_RS02415
TU1W2W-259	+	EWS79_RS02110
TU1W2W-1033	+	EWS79_RS08725
TU1W2W-567	-	EWS79_RS04925
TU1W2W-247	+	EWS79_RS01990 // EWS79_RS01985
TU1W2W-924	+	EWS79_RS07770
TU1W2W-694	-	EWS79_RS05995 // EWS79_RS05990
TU1W2W-978	+	EWS79_RS08235
TU1W2W-770	-	EWS79_RS06575
TU1W2W-776	-	EWS79_RS06620
TU1W2W-265	+	EWS79_RS02170
TU1W2W-415	-	EWS79_RS03545 // EWS79_RS03540 // EWS79_RS03535 // EWS79_RS03530
TU1W2W-392	-	EWS79_RS03320
TU1W2W-454	-	EWS79_RS03920 // EWS79_RS03915
TU1W2W-493	+	EWS79_RS04225
TU1W2W-1210	-	EWS79_RS02160
TU1W2W-877	+	EWS79_RS07420
TU1W2W-1114	+	EWS79_RS06615
TU1W2W-300	+	EWS79_RS02515
TU1W2W-365	-	EWS79_RS03100
TU1W2W-841	+	EWS79_RS07120
TU1W2W-541	-	EWS79_RS04655 // EWS79_RS04650
TU1W2W-325	+	EWS79_RS02755 // EWS79_RS02750 // EWS79_RS02745
TU1W2W-665	-	EWS79_RS05745
TU1W2W-896	+	EWS79_RS07565
TU1W2W-708	+	EWS79_RS06080 // EWS79_RS06075
TU1W2W-838	+	EWS79_RS07095
TU1W2W-1053	+	EWS79_RS08945 // EWS79_RS08940
TU1W2W-333	-	EWS79_RS02875
TU1W2W-585	+	EWS79_RS05090 // EWS79_RS05085 // EWS79_RS05080
TU1W2W-326	+	EWS79_RS02760
TU1W2W-34	-	EWS79_RS00310
TU1W2W-783	-	EWS79_RS06665
TU1W2W-1043	-	EWS79_RS08885
TU1W2W-817	+	EWS79_RS06935
TU1W2W-687	+	EWS79_RS05940
TU1W2W-13	+	EWS79_RS00130
TU1W2W-291	-	EWS79_RS02450 // EWS79_RS02445
TU1W2W-696	+	EWS79_RS06010 // EWS79_RS06005
TU1W2W-313	+	EWS79_RS02640 // EWS79_RS02635
TU1W2W-745	+	EWS79_RS06345
TU1W2W-1142	-	EWS79_RS05655
TU1W2W-947	-	EWS79_RS07935
TU1W2W-26	-	EWS79_RS00260
TU1W2W-722	+	EWS79_RS06190 // EWS79_RS06185
TU1W2W-1213	-	EWS79_RS02100
TU1W2W-1130	+	EWS79_RS06095
TU1W2W-131	-	EWS79_RS01050
TU1W2W-643	-	EWS79_RS05535
TU1W2W-70	+	EWS79_RS00560
TU1W2W-350	-	EWS79_RS02995
TU1W2W-216	-	EWS79_RS01710 // EWS79_RS01705
TU1W2W-225	+	EWS79_RS01780 // EWS79_RS01775 // EWS79_RS01770
TU1W2W-631	-	EWS79_RS05465
TU1W2W-633	-	EWS79_RS05475
TU1W2W-1169	+	EWS79_RS04170
TU1W2W-507	-	EWS79_RS04360
TU1W2W-1149	-	EWS79_RS04950
TU1W2W-800	-	EWS79_RS06800
TU1W2W-1209	-	EWS79_RS02175
TU1W2W-1203	+	EWS79_RS02560
TU1W2W-622	-	EWS79_RS05410
TU1W2W-563	-	EWS79_RS04890
TU1W2W-275	+	EWS79_RS02285 // EWS79_RS02280 // EWS79_RS02275
TU1W2W-979	-	EWS79_RS08240
TU1W2W-362	-	EWS79_RS03080
TU1W2W-1097	+	EWS79_RS07745
TU1W2W-1061	+	EWS79_RS09015 // EWS79_RS09010
TU1W2W-233	-	EWS79_RS01860
TU1W2W-612	+	EWS79_RS05335 // EWS79_RS05330 // EWS79_RS05325 // EWS79_RS05320 // EWS79_RS05315
TU1W2W-788	+	EWS79_RS06715
TU1W2W-478	+	EWS79_RS04070
TU1W2W-1239	-	EWS79_RS00870
TU1W2W-986	-	EWS79_RS08300
TU1W2W-1254	-	EWS79_RS00205
TU1W2W-1141	-	EWS79_RS05670
TU1W2W-1241	-	EWS79_RS00775
TU1W2W-981	-	EWS79_RS08255 // EWS79_RS08250
TU1W2W-583	-	EWS79_RS05070
TU1W2W-539	+	EWS79_RS04640
TU1W2W-521	+	EWS79_RS04495
TU1W2W-434	+	EWS79_RS03740
TU1W2W-210	+	EWS79_RS01630 // EWS79_RS01625
TU1W2W-761	-	EWS79_RS06525
TU1W2W-377	+	EWS79_RS03205 // EWS79_RS03200
TU1W2W-765	-	EWS79_RS06550
TU1W2W-1175	-	EWS79_RS04085
TU1W2W-837	+	EWS79_RS07090
TU1W2W-19	-	EWS79_RS00195 // EWS79_RS00190 // EWS79_RS00185 // EWS79_RS00180
TU1W2W-804	+	EWS79_RS06835
TU1W2W-789	+	EWS79_RS06735 // EWS79_RS06730 // EWS79_RS06725
TU1W2W-943	-	EWS79_RS07900
TU1W2W-546	+	EWS79_RS04700
TU1W2W-37	-	EWS79_RS00345 // EWS79_RS00340 // EWS79_RS00335 // EWS79_RS00330 // EWS79_RS00325
TU1W2W-866	-	EWS79_RS07355
TU1W2W-618	+	EWS79_RS05385 // EWS79_RS05380 // EWS79_RS05375 // EWS79_RS05370
TU1W2W-469	+	EWS79_RS04015
TU1W2W-292	+	EWS79_RS02455
TU1W2W-639	+	EWS79_RS05515
TU1W2W-821	-	EWS79_RS06980 // EWS79_RS06975
TU1W2W-833	-	EWS79_RS07070
TU1W2W-977	+	EWS79_RS08230
TU1W2W-903	-	EWS79_RS07625
TU1W2W-1156	+	EWS79_RS04620
TU1W2W-818	+	EWS79_RS06945 // EWS79_RS06940
TU1W2W-332	-	EWS79_RS02870
TU1W2W-1068	-	EWS79_RS09025
TU1W2W-50	+	EWS79_RS00430 // EWS79_RS00425
TU1W2W-172	-	EWS79_RS01355
TU1W2W-497	+	EWS79_RS04265 // EWS79_RS04260 // EWS79_RS04255
TU1W2W-509	-	EWS79_RS04385 // EWS79_RS04380 // EWS79_RS04375
TU1W2W-372	-	EWS79_RS03170
TU1W2W-681	-	EWS79_RS05880
TU1W2W-566	-	EWS79_RS04920 // EWS79_RS04915
TU1W2W-519	+	EWS79_RS04485 // EWS79_RS04480
TU1W2W-379	+	EWS79_RS03220
TU1W2W-1084	+	EWS79_RS08310
TU1W2W-270	+	EWS79_RS02220 // EWS79_RS02215
TU1W2W-290	-	EWS79_RS02440 // EWS79_RS02435
TU1W2W-1126	+	EWS79_RS06300
TU1W2W-192	+	EWS79_RS01485
TU1W2W-944	-	EWS79_RS07905
TU1W2W-467	-	EWS79_RS04005
TU1W2W-537	-	EWS79_RS04630
TU1W2W-559	+	EWS79_RS04850 // EWS79_RS04845
TU1W2W-1134	+	EWS79_RS05825
TU1W2W-880	+	EWS79_RS07440 // EWS79_RS07435
TU1W2W-438	-	EWS79_RS03790 // EWS79_RS03785
TU1W2W-1023	+	EWS79_RS08635
TU1W2W-24	-	EWS79_RS00250
TU1W2W-702	-	EWS79_RS06040
TU1W2W-103	-	EWS79_RS00810
TU1W2W-1007	-	EWS79_RS08500
TU1W2W-1105	+	EWS79_RS07340
TU1W2W-1046	-	EWS79_RS08900
TU1W2W-1133	-	EWS79_RS05950
TU1W2W-412	-	EWS79_RS03515
TU1W2W-246	-	EWS79_RS01980
TU1W2W-1201	+	EWS79_RS02880
TU1W2W-68	+	EWS79_RS00550
TU1W2W-1166	+	EWS79_RS04200
TU1W2W-582	-	EWS79_RS05065
TU1W2W-785	-	EWS79_RS06680
TU1W2W-897	+	EWS79_RS07580 // EWS79_RS07575 // EWS79_RS07570
TU1W2W-999	-	EWS79_RS08415
TU1W2W-920	-	EWS79_RS07740
TU1W2W-470	+	EWS79_RS04020
TU1W2W-352	+	EWS79_RS03025 // EWS79_RS03020
TU1W2W-772	-	EWS79_RS06590 // EWS79_RS06585
TU1W2W-697	-	EWS79_RS06015
